Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tipoff Winner,Tipoff Winner Link,Tipoff Loser,Tipoff Loser Link,Tipoff Winner Scores
199712120UTA,https://www.basketball-reference.com/boxscores/pbp/199712120UTA.html,Utah Jazz,Dallas Mavericks,UTA,DAL,G. Foster,A. Green,K. Reeves,DAL,UTA,D. Scott,/players/s/scottde01.html,DAL,UTA,A. Green,/players/g/greenac01.html,G. Foster,/players/f/fostegr01.html,1
199712120VAN,https://www.basketball-reference.com/boxscores/pbp/199712120VAN.html,Vancouver Grizzlies,Golden State Warriors,VAN,GSW,O. Thorpe,E. Dampier,S. Mack,GSW,VAN,B. Coles,/players/c/colesbi01.html,VAN,GSW,E. Dampier,/players/d/dampier01.html,O. Thorpe,/players/t/thorpot01.html,0
199712130CHI,https://www.basketball-reference.com/boxscores/pbp/199712130CHI.html,Chicago Bulls,Toronto Raptors,CHI,TOR,L. Longley,M. Camby,T. Kukoč,TOR,CHI,Ž. Tabak,/players/t/tabakza01.html,CHI,TOR,M. Camby,/players/c/cambyma01.html,L. Longley,/players/l/longllu01.html,0
199712130CLE,https://www.basketball-reference.com/boxscores/pbp/199712130CLE.html,Cleveland Cavaliers,Charlotte Hornets,CLE,CHH,Z. Ilgauskas,V. Divac,V. Divac,CHH,CLE,D. Wesley,/players/w/wesleda01.html,CHH,CLE,V. Divac,/players/d/divacvl01.html,Z. Ilgauskas,/players/i/ilgauzy01.html,1
199712130DET,https://www.basketball-reference.com/boxscores/pbp/199712130DET.html,Detroit Pistons,Boston Celtics,DET,BOS,B. Dele,W. McCarty,L. Hunter,DET,BOS,L. Hunter,/players/h/hunteli01.html,DET,BOS,B. Dele,/players/d/delebi01.html,W. McCarty,/players/m/mccarwa01.html,1
199712130GSW,https://www.basketball-reference.com/boxscores/pbp/199712130GSW.html,Golden State Warriors,Sacramento Kings,GSW,SAC,E. Dampier,O. Polynice,E. Dampier,GSW,SAC,B. Coles,/players/c/colesbi01.html,GSW,SAC,E. Dampier,/players/d/dampier01.html,O. Polynice,/players/p/polynol01.html,1
199712130IND,https://www.basketball-reference.com/boxscores/pbp/199712130IND.html,Indiana Pacers,Washington Wizards,IND,WAS,D. Davis,L. Williams,C. Cheaney,IND,WAS,M. Jackson,/players/j/jacksma01.html,WAS,IND,D. Davis,/players/d/davisda01.html,L. Williams,/players/w/willilo01.html,0
199712130MIL,https://www.basketball-reference.com/boxscores/pbp/199712130MIL.html,Milwaukee Bucks,Miami Heat,MIL,MIA,E. Johnson,P. Brown,V. Lenard,MIA,MIL,T. Hardaway,/players/h/hardati01.html,MIA,MIL,P. Brown,/players/b/brownpj01.html,E. Johnson,/players/j/johnser02.html,1
199712130MIN,https://www.basketball-reference.com/boxscores/pbp/199712130MIN.html,Minnesota Timberwolves,Phoenix Suns,MIN,PHO,S. Roberts,A. McDyess,C. Ceballos,PHO,MIN,J. Kidd,/players/k/kiddja01.html,PHO,MIN,A. McDyess,/players/m/mcdyean01.html,S. Roberts,/players/r/roberst01.html,1
199712130NJN,https://www.basketball-reference.com/boxscores/pbp/199712130NJN.html,New Jersey Nets,Denver Nuggets,NJN,DEN,J. Williams,T. Battie,T. Battie,DEN,NJN,B. Jackson,/players/j/jacksbo01.html,DEN,NJN,T. Battie,/players/b/battito01.html,J. Williams,/players/w/willija01.html,1
199712130NYK,https://www.basketball-reference.com/boxscores/pbp/199712130NYK.html,New York Knicks,Philadelphia 76ers,NYK,PHI,P. Ewing,E. Montross,J. Jackson,PHI,NYK,A. Iverson,/players/i/iversal01.html,PHI,NYK,E. Montross,/players/m/montrer01.html,P. Ewing,/players/e/ewingpa01.html,1
199712130SAS,https://www.basketball-reference.com/boxscores/pbp/199712130SAS.html,San Antonio Spurs,Orlando Magic,SAS,ORL,D. Robinson,R. Seikaly,T. Duncan,ORL,SAS,B. Outlaw,/players/o/outlabo01.html,SAS,ORL,R. Seikaly,/players/s/seikaro01.html,D. Robinson,/players/r/robinda01.html,0
199712140LAL,https://www.basketball-reference.com/boxscores/pbp/199712140LAL.html,Los Angeles Lakers,Dallas Mavericks,LAL,DAL,E. Campbell,A. Green,E. Campbell,DAL,LAL,E. Strickland,/players/s/stricer01.html,LAL,DAL,A. Green,/players/g/greenac01.html,E. Campbell,/players/c/campbel01.html,0
199712140SAC,https://www.basketball-reference.com/boxscores/pbp/199712140SAC.html,Sacramento Kings,Atlanta Hawks,SAC,ATL,O. Polynice,D. Mutombo,S. Smith,ATL,SAC,M. Blaylock,/players/b/blaylmo01.html,ATL,SAC,D. Mutombo,/players/m/mutomdi01.html,O. Polynice,/players/p/polynol01.html,1
199712140SEA,https://www.basketball-reference.com/boxscores/pbp/199712140SEA.html,Seattle SuperSonics,Los Angeles Clippers,SEA,LAC,V. Baker,K. Closs,D. Schrempf,SEA,LAC,J. McIlvaine,/players/m/mcilvji01.html,SEA,LAC,V. Baker,/players/b/bakervi01.html,K. Closs,/players/c/closske01.html,1
199712140VAN,https://www.basketball-reference.com/boxscores/pbp/199712140VAN.html,Vancouver Grizzlies,Houston Rockets,VAN,HOU,O. Thorpe,K. Willis,S. Mack,VAN,HOU,S. Mack,/players/m/macksa01.html,VAN,HOU,O. Thorpe,/players/t/thorpot01.html,K. Willis,/players/w/willike02.html,1
199712150BOS,https://www.basketball-reference.com/boxscores/pbp/199712150BOS.html,Boston Celtics,Philadelphia 76ers,BOS,PHI,W. McCarty,E. Montross,J. Jackson,PHI,BOS,D. Overton,/players/o/overtdo01.html,PHI,BOS,E. Montross,/players/m/montrer01.html,W. McCarty,/players/m/mccarwa01.html,1
199712150CHI,https://www.basketball-reference.com/boxscores/pbp/199712150CHI.html,Chicago Bulls,Phoenix Suns,CHI,PHO,B. Wennington,A. McDyess,M. Jordan,PHO,CHI,J. Kidd,/players/k/kiddja01.html,CHI,PHO,A. McDyess,/players/m/mcdyean01.html,B. Wennington,/players/w/wennibi01.html,0
199712150POR,https://www.basketball-reference.com/boxscores/pbp/199712150POR.html,Portland Trail Blazers,Atlanta Hawks,POR,ATL,A. Sabonis,D. Mutombo,R. Wallace,ATL,POR,M. Blaylock,/players/b/blaylmo01.html,POR,ATL,D. Mutombo,/players/m/mutomdi01.html,A. Sabonis,/players/s/sabonar01.html,0
199712150TOR,https://www.basketball-reference.com/boxscores/pbp/199712150TOR.html,Toronto Raptors,Indiana Pacers,TOR,IND,M. Camby,D. Davis,R. Smits,TOR,IND,D. Stoudamire,/players/s/stoudda01.html,IND,TOR,M. Camby,/players/c/cambyma01.html,D. Davis,/players/d/davisda01.html,0
199712150WAS,https://www.basketball-reference.com/boxscores/pbp/199712150WAS.html,Washington Wizards,Utah Jazz,WAS,UTA,C. Webber,G. Foster,C. Cheaney,WAS,UTA,T. Davis,/players/d/daviste01.html,WAS,UTA,C. Webber,/players/w/webbech01.html,G. Foster,/players/f/fostegr01.html,1
199712160CLE,https://www.basketball-reference.com/boxscores/pbp/199712160CLE.html,Cleveland Cavaliers,Phoenix Suns,CLE,PHO,Z. Ilgauskas,A. McDyess,B. Knight,CLE,PHO,B. Knight,/players/k/knighbr01.html,CLE,PHO,Z. Ilgauskas,/players/i/ilgauzy01.html,A. McDyess,/players/m/mcdyean01.html,1
199712160DEN,https://www.basketball-reference.com/boxscores/pbp/199712160DEN.html,Denver Nuggets,San Antonio Spurs,DEN,SAS,T. Battie,D. Robinson,D. Robinson,SAS,DEN,A. Johnson,/players/j/johnsav01.html,SAS,DEN,D. Robinson,/players/r/robinda01.html,T. Battie,/players/b/battito01.html,1
199712160GSW,https://www.basketball-reference.com/boxscores/pbp/199712160GSW.html,Golden State Warriors,Dallas Mavericks,GSW,DAL,E. Dampier,S. Walker,E. Dampier,GSW,DAL,B. Coles,/players/c/colesbi01.html,GSW,DAL,E. Dampier,/players/d/dampier01.html,S. Walker,/players/w/walkesa01.html,1
199712160HOU,https://www.basketball-reference.com/boxscores/pbp/199712160HOU.html,Houston Rockets,Vancouver Grizzlies,HOU,VAN,K. Willis,T. Massenburg,K. Willis,HOU,VAN,M. Maloney,/players/m/malonma01.html,HOU,VAN,K. Willis,/players/w/willike02.html,T. Massenburg,/players/m/masseto01.html,1
199712160LAC,https://www.basketball-reference.com/boxscores/pbp/199712160LAC.html,Los Angeles Clippers,Seattle SuperSonics,LAC,SEA,S. Vranković,V. Baker,L. Wright,LAC,SEA,E. Piatkowski,/players/p/piatker01.html,LAC,SEA,S. Vranković,/players/v/vrankst01.html,V. Baker,/players/b/bakervi01.html,1
199712160MIA,https://www.basketball-reference.com/boxscores/pbp/199712160MIA.html,Miami Heat,Utah Jazz,MIA,UTA,P. Brown,A. Carr,K. Malone,MIA,UTA,V. Lenard,/players/l/lenarvo01.html,UTA,MIA,P. Brown,/players/b/brownpj01.html,A. Carr,/players/c/carran01.html,0
199712160MIN,https://www.basketball-reference.com/boxscores/pbp/199712160MIN.html,Minnesota Timberwolves,Los Angeles Lakers,MIN,LAL,S. Roberts,E. Campbell,N. Van Exel,LAL,MIN,N. Van Exel,/players/v/vanexni01.html,LAL,MIN,E. Campbell,/players/c/campbel01.html,S. Roberts,/players/r/roberst01.html,1
199712160NYK,https://www.basketball-reference.com/boxscores/pbp/199712160NYK.html,New York Knicks,Detroit Pistons,NYK,DET,P. Ewing,B. Dele,L. Johnson,DET,NYK,L. Hunter,/players/h/hunteli01.html,NYK,DET,B. Dele,/players/d/delebi01.html,P. Ewing,/players/e/ewingpa01.html,0
199712160SAC,https://www.basketball-reference.com/boxscores/pbp/199712160SAC.html,Sacramento Kings,Portland Trail Blazers,SAC,POR,M. Stewart,A. Sabonis,M. Stewart,POR,SAC,K. Anderson,/players/a/anderke01.html,SAC,POR,A. Sabonis,/players/s/sabonar01.html,M. Stewart,/players/s/stewami01.html,0
199712170ATL,https://www.basketball-reference.com/boxscores/pbp/199712170ATL.html,Atlanta Hawks,Cleveland Cavaliers,ATL,CLE,D. Mutombo,Z. Ilgauskas,M. Blaylock,CLE,ATL,Z. Ilgauskas,/players/i/ilgauzy01.html,ATL,CLE,Z. Ilgauskas,/players/i/ilgauzy01.html,D. Mutombo,/players/m/mutomdi01.html,0
199712170CHH,https://www.basketball-reference.com/boxscores/pbp/199712170CHH.html,Charlotte Hornets,Milwaukee Bucks,CHH,MIL,V. Divac,E. Johnson,V. Divac,CHH,MIL,A. Mason,/players/m/masonan01.html,CHH,MIL,V. Divac,/players/d/divacvl01.html,E. Johnson,/players/j/johnser02.html,1
199712170CHI,https://www.basketball-reference.com/boxscores/pbp/199712170CHI.html,Chicago Bulls,Los Angeles Lakers,CHI,LAL,L. Longley,E. Campbell,E. Campbell,LAL,CHI,R. Horry,/players/h/horryro01.html,LAL,CHI,E. Campbell,/players/c/campbel01.html,L. Longley,/players/l/longllu01.html,1
199712170IND,https://www.basketball-reference.com/boxscores/pbp/199712170IND.html,Indiana Pacers,New York Knicks,IND,NYK,D. Davis,P. Ewing,P. Ewing,NYK,IND,L. Johnson,/players/j/johnsla02.html,NYK,IND,P. Ewing,/players/e/ewingpa01.html,D. Davis,/players/d/davisda01.html,1
199712170NJN,https://www.basketball-reference.com/boxscores/pbp/199712170NJN.html,New Jersey Nets,Detroit Pistons,NJN,DET,J. Williams,B. Dele,G. Hill,DET,NJN,L. Hunter,/players/h/hunteli01.html,DET,NJN,B. Dele,/players/d/delebi01.html,J. Williams,/players/w/willija01.html,1
199712170PHI,https://www.basketball-reference.com/boxscores/pbp/199712170PHI.html,Philadelphia 76ers,Minnesota Timberwolves,PHI,MIN,E. Montross,S. Roberts,E. Montross,PHI,MIN,J. Stackhouse,/players/s/stackje01.html,PHI,MIN,E. Montross,/players/m/montrer01.html,S. Roberts,/players/r/roberst01.html,1
199712170SAS,https://www.basketball-reference.com/boxscores/pbp/199712170SAS.html,San Antonio Spurs,Vancouver Grizzlies,SAS,VAN,D. Robinson,T. Massenburg,D. Robinson,SAS,VAN,T. Duncan,/players/d/duncati01.html,SAS,VAN,D. Robinson,/players/r/robinda01.html,T. Massenburg,/players/m/masseto01.html,1
199712170TOR,https://www.basketball-reference.com/boxscores/pbp/199712170TOR.html,Toronto Raptors,Boston Celtics,TOR,BOS,M. Camby,P. Ellison,D. Christie,TOR,BOS,D. Stoudamire,/players/s/stoudda01.html,TOR,BOS,M. Camby,/players/c/cambyma01.html,P. Ellison,/players/e/ellispe01.html,1
199712170WAS,https://www.basketball-reference.com/boxscores/pbp/199712170WAS.html,Washington Wizards,Miami Heat,WAS,MIA,C. Webber,P. Brown,C. Cheaney,WAS,MIA,R. Strickland,/players/s/stricro02.html,WAS,MIA,C. Webber,/players/w/webbech01.html,P. Brown,/players/b/brownpj01.html,1
199712180DAL,https://www.basketball-reference.com/boxscores/pbp/199712180DAL.html,Dallas Mavericks,Phoenix Suns,DAL,PHO,S. Walker,A. McDyess,C. Robinson,PHO,DAL,J. Kidd,/players/k/kiddja01.html,PHO,DAL,A. McDyess,/players/m/mcdyean01.html,S. Walker,/players/w/walkesa01.html,1
199712180LAC,https://www.basketball-reference.com/boxscores/pbp/199712180LAC.html,Los Angeles Clippers,Golden State Warriors,LAC,GSW,S. Vranković,E. Dampier,D. Martin,LAC,GSW,B. Barry,/players/b/barrybr01.html,LAC,GSW,S. Vranković,/players/v/vrankst01.html,E. Dampier,/players/d/dampier01.html,1
199712180ORL,https://www.basketball-reference.com/boxscores/pbp/199712180ORL.html,Orlando Magic,Utah Jazz,ORL,UTA,R. Seikaly,A. Carr,R. Seikaly,ORL,UTA,B. Outlaw,/players/o/outlabo01.html,ORL,UTA,R. Seikaly,/players/s/seikaro01.html,A. Carr,/players/c/carran01.html,1
