Game Code,Full Hyperlink,Home Team,Away Team,Home Team Short,Away Team Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Tipoff Winner,Tipoff Loser,Tipoff Winner Scores
202002250GSW,https://www.basketball-reference.com/boxscores/pbp/202002250GSW.html,Golden State Warriors,Sacramento Kings,GSW,SAC,M. Chriss,H. Giles,H. Giles,SAC,GSW,N. Bjelica,/players/b/bjeline01.html,SAC,H. Giles,M. Chriss,1
202002260CHO,https://www.basketball-reference.com/boxscores/pbp/202002260CHO.html,Charlotte Hornets,New York Knicks,CHO,NYK,B. Biyombo,T. Gibson,M. Harkless,CHO,NYK,D. Graham,/players/g/grahade01.html,NYK,B. Biyombo,T. Gibson,0
202002260CLE,https://www.basketball-reference.com/boxscores/pbp/202002260CLE.html,Cleveland Cavaliers,Philadelphia 76ers,CLE,PHI,T. Thompson,J. Embiid,D. Garland,PHI,CLE,S. Milton,/players/m/miltosh01.html,CLE,J. Embiid,T. Thompson,0
202002260WAS,https://www.basketball-reference.com/boxscores/pbp/202002260WAS.html,Washington Wizards,Brooklyn Nets,WAS,BRK,I. Mahinmi,J. Allen,R. Hachimura,WAS,BRK,S. Napier,/players/n/napiesh01.html,WAS,I. Mahinmi,J. Allen,1
202002260ATL,https://www.basketball-reference.com/boxscores/pbp/202002260ATL.html,Atlanta Hawks,Orlando Magic,ATL,ORL,B. Fernando,N. Vučević,B. Fernando,ATL,ORL,T. Young,/players/y/youngtr01.html,ATL,B. Fernando,N. Vučević,1
202002260MIA,https://www.basketball-reference.com/boxscores/pbp/202002260MIA.html,Miami Heat,Minnesota Timberwolves,MIA,MIN,B. Adebayo,N. Reid,N. Reid,MIA,MIN,K. Nunn,/players/n/nunnke01.html,MIN,B. Adebayo,N. Reid,0
202002260HOU,https://www.basketball-reference.com/boxscores/pbp/202002260HOU.html,Houston Rockets,Memphis Grizzlies,HOU,MEM,R. Covington,J. Valančiūnas,D. House,MEM,HOU,D. Melton,/players/m/meltode01.html,HOU,J. Valančiūnas,R. Covington,0
202002260SAS,https://www.basketball-reference.com/boxscores/pbp/202002260SAS.html,San Antonio Spurs,Dallas Mavericks,SAS,DAL,T. Lyles,K. Porziņģis,D. DeRozan,SAS,DAL,D. Murray,/players/m/murrade01.html,SAS,T. Lyles,K. Porziņģis,1
202002260PHO,https://www.basketball-reference.com/boxscores/pbp/202002260PHO.html,Phoenix Suns,Los Angeles Clippers,PHO,LAC,D. Ayton,I. Zubac,D. Ayton,PHO,LAC,D. Šarić,/players/s/saricda01.html,PHO,D. Ayton,I. Zubac,1
202002260UTA,https://www.basketball-reference.com/boxscores/pbp/202002260UTA.html,Utah Jazz,Boston Celtics,UTA,BOS,R. Gobert,D. Theis,R. O'Neale,UTA,BOS,M. Conley,/players/c/conlemi01.html,UTA,R. Gobert,D. Theis,1
202002270PHI,https://www.basketball-reference.com/boxscores/pbp/202002270PHI.html,Philadelphia 76ers,New York Knicks,PHI,NYK,A. Horford,B. Portis,T. Harris,PHI,NYK,S. Milton,/players/m/miltosh01.html,PHI,A. Horford,B. Portis,1
