Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon TeamTipoff Winner,Tipoff Loser,Tipoff Winner Scores
200412180DET,https://www.basketball-reference.com/boxscores/pbp/200412180DET.html,Detroit Pistons,Portland Trail Blazers,DET,POR,B. Wallace,T. Ratliff,D. Anderson,POR,DET,D. Miles,/players/m/milesda01.html,POR,DET,T. Ratliff,B. Wallace,1
200412180CHI,https://www.basketball-reference.com/boxscores/pbp/200412180CHI.html,Chicago Bulls,Indiana Pacers,CHI,IND,E. Curry,J. Foster,E. Curry,CHI,IND,K. Hinrich,/players/h/hinriki01.html,CHI,IND,E. Curry,J. Foster,1
200412180DAL,https://www.basketball-reference.com/boxscores/pbp/200412180DAL.html,Dallas Mavericks,Atlanta Hawks,DAL,ATL,E. Dampier,J. Collier,E. Dampier,DAL,ATL,D. Nowitzki,/players/n/nowitdi01.html,DAL,ATL,E. Dampier,J. Collier,1
200412180MIL,https://www.basketball-reference.com/boxscores/pbp/200412180MIL.html,Milwaukee Bucks,Philadelphia 76ers,MIL,PHI,D. Gadzuric,S. Dalembert,A. Iguodala,PHI,MIL,A. Iverson,/players/i/iversal01.html,PHI,MIL,S. Dalembert,D. Gadzuric,1
200412180SAS,https://www.basketball-reference.com/boxscores/pbp/200412180SAS.html,San Antonio Spurs,Golden State Warriors,SAS,GSW,R. Nesterović,C. Robinson,B. Bowen,SAS,GSW,T. Parker,/players/p/parketo01.html,SAS,GSW,R. Nesterović,C. Robinson,1
200412180PHO,https://www.basketball-reference.com/boxscores/pbp/200412180PHO.html,Phoenix Suns,Washington Wizards,PHO,WAS,A. Stoudemire,B. Haywood,S. Nash,WAS,PHO,G. Arenas,/players/a/arenagi01.html,PHO,WAS,B. Haywood,A. Stoudemire,0
200412190NYK,https://www.basketball-reference.com/boxscores/pbp/200412190NYK.html,New York Knicks,Utah Jazz,NYK,UTA,,,,,,,,,,
200412190TOR,https://www.basketball-reference.com/boxscores/pbp/200412190TOR.html,Toronto Raptors,New Jersey Nets,TOR,NJN,C. Bosh,J. Collins,M. Peterson,NJN,TOR,B. Scalabrine,/players/s/scalabr01.html,TOR,NJN,J. Collins,C. Bosh,0
200412190MIA,https://www.basketball-reference.com/boxscores/pbp/200412190MIA.html,Miami Heat,Orlando Magic,MIA,ORL,S. O'Neal,D. Howard,S. Francis,MIA,ORL,E. Jones,/players/j/jonesed02.html,ORL,MIA,S. O'Neal,D. Howard,0
200412190SAC,https://www.basketball-reference.com/boxscores/pbp/200412190SAC.html,Sacramento Kings,New Orleans Hornets,SAC,NOH,B. Miller,P. Brown,D. Christie,NOH,SAC,M. Freije,/players/f/freijma01.html,SAC,NOH,P. Brown,B. Miller,0
200412190LAC,https://www.basketball-reference.com/boxscores/pbp/200412190LAC.html,Los Angeles Clippers,Memphis Grizzlies,LAC,MEM,C. Kaman,P. Gasol,P. Gasol,MEM,LAC,J. Williams,/players/w/willija02.html,MEM,LAC,P. Gasol,C. Kaman,1
200412200PHI,https://www.basketball-reference.com/boxscores/pbp/200412200PHI.html,Philadelphia 76ers,Utah Jazz,PHI,UTA,S. Dalembert,A. Radojević,A. Iverson,PHI,UTA,A. Iverson,/players/i/iversal01.html,PHI,UTA,S. Dalembert,A. Radojević,1
200412200CHI,https://www.basketball-reference.com/boxscores/pbp/200412200CHI.html,Chicago Bulls,Portland Trail Blazers,CHI,POR,E. Curry,T. Ratliff,Z. Randolph,POR,CHI,N. Van Exel,/players/v/vanexni01.html,POR,CHI,T. Ratliff,E. Curry,1
200412200HOU,https://www.basketball-reference.com/boxscores/pbp/200412200HOU.html,Houston Rockets,Toronto Raptors,HOU,TOR,Y. Ming,C. Bosh,J. Howard,TOR,HOU,L. Woods,/players/w/woodslo01.html,HOU,TOR,C. Bosh,Y. Ming,0
200412200DEN,https://www.basketball-reference.com/boxscores/pbp/200412200DEN.html,Denver Nuggets,Phoenix Suns,DEN,PHO,,,,,,,,,,
200412200GSW,https://www.basketball-reference.com/boxscores/pbp/200412200GSW.html,Golden State Warriors,Washington Wizards,GSW,WAS,C. Robinson,B. Haywood,S. Claxton,WAS,GSW,G. Arenas,/players/a/arenagi01.html,GSW,WAS,B. Haywood,C. Robinson,0
200412200LAL,https://www.basketball-reference.com/boxscores/pbp/200412200LAL.html,Los Angeles Lakers,Memphis Grizzlies,LAL,MEM,C. Mihm,P. Gasol,K. Bryant,LAL,MEM,L. Odom,/players/o/odomla01.html,LAL,MEM,C. Mihm,P. Gasol,1
200412210CHA,https://www.basketball-reference.com/boxscores/pbp/200412210CHA.html,Charlotte Bobcats,New Jersey Nets,CHA,NJN,E. Okafor,J. Collins,J. Collins,NJN,CHA,J. Kidd,/players/k/kiddja01.html,NJN,CHA,J. Collins,E. Okafor,1
200412210CLE,https://www.basketball-reference.com/boxscores/pbp/200412210CLE.html,Cleveland Cavaliers,Minnesota Timberwolves,CLE,MIN,Z. Ilgauskas,K. Garnett,J. McInnis,CLE,MIN,J. McInnis,/players/m/mcinnje01.html,CLE,MIN,Z. Ilgauskas,K. Garnett,1
200412210MIA,https://www.basketball-reference.com/boxscores/pbp/200412210MIA.html,Miami Heat,Boston Celtics,MIA,BOS,M. Doleac,M. Blount,M. Doleac,BOS,MIA,G. Payton,/players/p/paytoga01.html,MIA,BOS,M. Blount,M. Doleac,0
200412210NYK,https://www.basketball-reference.com/boxscores/pbp/200412210NYK.html,New York Knicks,Dallas Mavericks,NYK,DAL,N. Mohammed,E. Dampier,D. Nowitzki,NYK,DAL,J. Crawford,/players/c/crawfja01.html,DAL,NYK,N. Mohammed,E. Dampier,0
200412210SAC,https://www.basketball-reference.com/boxscores/pbp/200412210SAC.html,Sacramento Kings,Washington Wizards,SAC,WAS,B. Miller,B. Haywood,B. Miller,WAS,SAC,J. Jeffries,/players/j/jeffrja01.html,SAC,WAS,B. Haywood,B. Miller,0
200412210LAC,https://www.basketball-reference.com/boxscores/pbp/200412210LAC.html,Los Angeles Clippers,New Orleans Hornets,LAC,NOH,C. Kaman,C. Andersen,Q. Ross,NOH,LAC,P. Brown,/players/b/brownpj01.html,LAC,NOH,C. Andersen,C. Kaman,0
200412220BOS,https://www.basketball-reference.com/boxscores/pbp/200412220BOS.html,Boston Celtics,New York Knicks,BOS,NYK,M. Blount,N. Mohammed,K. Thomas,BOS,NYK,G. Payton,/players/p/paytoga01.html,NYK,BOS,M. Blount,N. Mohammed,0
200412220IND,https://www.basketball-reference.com/boxscores/pbp/200412220IND.html,Indiana Pacers,Philadelphia 76ers,IND,PHI,J. Foster,S. Dalembert,J. Tinsley,PHI,IND,A. Iverson,/players/i/iversal01.html,IND,PHI,S. Dalembert,J. Foster,0
200412220ORL,https://www.basketball-reference.com/boxscores/pbp/200412220ORL.html,Orlando Magic,San Antonio Spurs,ORL,SAS,D. Howard,R. Nesterović,G. Hill,ORL,SAS,S. Francis,/players/f/francst01.html,ORL,SAS,D. Howard,R. Nesterović,1
200412220TOR,https://www.basketball-reference.com/boxscores/pbp/200412220TOR.html,Toronto Raptors,Utah Jazz,TOR,UTA,C. Bosh,A. Radojević,C. Bosh,UTA,TOR,M. Harpring,/players/h/harprma01.html,TOR,UTA,A. Radojević,C. Bosh,0
200412220ATL,https://www.basketball-reference.com/boxscores/pbp/200412220ATL.html,Atlanta Hawks,Dallas Mavericks,ATL,DAL,J. Collier,E. Dampier,J. Howard,DAL,ATL,J. Terry,/players/t/terryja01.html,DAL,ATL,E. Dampier,J. Collier,1
200412220DET,https://www.basketball-reference.com/boxscores/pbp/200412220DET.html,Detroit Pistons,Chicago Bulls,DET,CHI,B. Wallace,E. Curry,C. Billups,DET,CHI,C. Billups,/players/b/billuch01.html,DET,CHI,B. Wallace,E. Curry,1
200412220NJN,https://www.basketball-reference.com/boxscores/pbp/200412220NJN.html,New Jersey Nets,Cleveland Cavaliers,NJN,CLE,N. Krstić,Z. Ilgauskas,I. Newble,CLE,NJN,D. Gooden,/players/g/goodedr01.html,CLE,NJN,Z. Ilgauskas,N. Krstić,1
200412220MIL,https://www.basketball-reference.com/boxscores/pbp/200412220MIL.html,Milwaukee Bucks,Portland Trail Blazers,MIL,POR,D. Gadzuric,T. Ratliff,D. Gadzuric,POR,MIL,N. Van Exel,/players/v/vanexni01.html,MIL,POR,T. Ratliff,D. Gadzuric,0
200412220HOU,https://www.basketball-reference.com/boxscores/pbp/200412220HOU.html,Houston Rockets,Charlotte Bobcats,HOU,CHA,,,,,,,,,,
200412220GSW,https://www.basketball-reference.com/boxscores/pbp/200412220GSW.html,Golden State Warriors,Memphis Grizzlies,GSW,MEM,C. Robinson,P. Gasol,J. Richardson,MEM,GSW,L. Wright,/players/w/wrighlo02.html,GSW,MEM,P. Gasol,C. Robinson,0
200412220SEA,https://www.basketball-reference.com/boxscores/pbp/200412220SEA.html,Seattle SuperSonics,Denver Nuggets,SEA,DEN,J. James,M. Camby,R. Evans,SEA,DEN,L. Ridnour,/players/r/ridnolu01.html,SEA,DEN,J. James,M. Camby,1
200412220LAL,https://www.basketball-reference.com/boxscores/pbp/200412220LAL.html,Los Angeles Lakers,New Orleans Hornets,LAL,NOH,C. Mihm,C. Andersen,K. Bryant,NOH,LAL,D. Dickau,/players/d/dickada01.html,LAL,NOH,C. Andersen,C. Mihm,0
200412230SAS,https://www.basketball-reference.com/boxscores/pbp/200412230SAS.html,San Antonio Spurs,Minnesota Timberwolves,SAS,MIN,R. Nesterović,K. Garnett,T. Parker,SAS,MIN,M. Ginóbili,/players/g/ginobma01.html,SAS,MIN,R. Nesterović,K. Garnett,1
200412230PHO,https://www.basketball-reference.com/boxscores/pbp/200412230PHO.html,Phoenix Suns,Memphis Grizzlies,PHO,MEM,A. Stoudemire,P. Gasol,A. Stoudemire,PHO,MEM,S. Nash,/players/n/nashst01.html,PHO,MEM,A. Stoudemire,P. Gasol,1
200412230SAC,https://www.basketball-reference.com/boxscores/pbp/200412230SAC.html,Sacramento Kings,Miami Heat,SAC,MIA,B. Miller,S. O'Neal,U. Haslem,MIA,SAC,D. Jones,/players/j/jonesda01.html,MIA,SAC,S. O'Neal,B. Miller,1
200412250IND,https://www.basketball-reference.com/boxscores/pbp/200412250IND.html,Indiana Pacers,Detroit Pistons,IND,DET,J. O'Neal,B. Wallace,R. Miller,DET,IND,C. Billups,/players/b/billuch01.html,IND,DET,B. Wallace,J. O'Neal,0
200412250LAL,https://www.basketball-reference.com/boxscores/pbp/200412250LAL.html,Los Angeles Lakers,Miami Heat,LAL,MIA,C. Mihm,S. O'Neal,D. Jones,LAL,MIA,J. Jones,/players/j/jonesju01.html,MIA,LAL,C. Mihm,S. O'Neal,0
200412260NYK,https://www.basketball-reference.com/boxscores/pbp/200412260NYK.html,New York Knicks,Charlotte Bobcats,NYK,CHA,N. Mohammed,E. Okafor,N. Mohammed,NYK,CHA,S. Marbury,/players/m/marbust01.html,NYK,CHA,N. Mohammed,E. Okafor,1
200412260CLE,https://www.basketball-reference.com/boxscores/pbp/200412260CLE.html,Cleveland Cavaliers,New Orleans Hornets,CLE,NOH,Z. Ilgauskas,P. Brown,L. James,CLE,NOH,J. McInnis,/players/m/mcinnje01.html,CLE,NOH,Z. Ilgauskas,P. Brown,1
200412260MIL,https://www.basketball-reference.com/boxscores/pbp/200412260MIL.html,Milwaukee Bucks,Chicago Bulls,MIL,CHI,D. Gadzuric,E. Curry,M. Redd,MIL,CHI,M. Williams,/players/w/willima01.html,MIL,CHI,D. Gadzuric,E. Curry,1
200412260SAS,https://www.basketball-reference.com/boxscores/pbp/200412260SAS.html,San Antonio Spurs,Boston Celtics,SAS,BOS,R. Nesterović,M. Blount,R. Nesterović,SAS,BOS,T. Parker,/players/p/parketo01.html,SAS,BOS,R. Nesterović,M. Blount,1
200412260MIN,https://www.basketball-reference.com/boxscores/pbp/200412260MIN.html,Minnesota Timberwolves,Washington Wizards,MIN,WAS,K. Garnett,B. Haywood,W. Szczerbiak,MIN,WAS,W. Szczerbiak,/players/s/szczewa02.html,MIN,WAS,K. Garnett,B. Haywood,1
200412260PHO,https://www.basketball-reference.com/boxscores/pbp/200412260PHO.html,Phoenix Suns,Toronto Raptors,PHO,TOR,A. Stoudemire,C. Bosh,A. Stoudemire,TOR,PHO,R. Alston,/players/a/alstora01.html,PHO,TOR,C. Bosh,A. Stoudemire,0
200412260HOU,https://www.basketball-reference.com/boxscores/pbp/200412260HOU.html,Houston Rockets,Los Angeles Clippers,HOU,LAC,Y. Ming,C. Kaman,Y. Ming,HOU,LAC,B. Sura,/players/s/surabo01.html,HOU,LAC,Y. Ming,C. Kaman,1
200412260DEN,https://www.basketball-reference.com/boxscores/pbp/200412260DEN.html,Denver Nuggets,Dallas Mavericks,DEN,DAL,M. Camby,E. Dampier,M. Camby,DEN,DAL,K. Martin,/players/m/martike01.html,DEN,DAL,M. Camby,E. Dampier,1
200412260SAC,https://www.basketball-reference.com/boxscores/pbp/200412260SAC.html,Sacramento Kings,Golden State Warriors,SAC,GSW,B. Miller,C. Robinson,S. Claxton,GSW,SAC,T. Murphy,/players/m/murphtr01.html,GSW,SAC,C. Robinson,B. Miller,1
200412270IND,https://www.basketball-reference.com/boxscores/pbp/200412270IND.html,Indiana Pacers,New Orleans Hornets,IND,NOH,J. O'Neal,P. Brown,J. O'Neal,NOH,IND,J. Smith,/players/s/smithjr01.html,IND,NOH,P. Brown,J. O'Neal,0
200412270ORL,https://www.basketball-reference.com/boxscores/pbp/200412270ORL.html,Orlando Magic,New York Knicks,ORL,NYK,D. Howard,N. Mohammed,A. Houston,NYK,ORL,S. Marbury,/players/m/marbust01.html,NYK,ORL,N. Mohammed,D. Howard,1
200412270WAS,https://www.basketball-reference.com/boxscores/pbp/200412270WAS.html,Washington Wizards,Charlotte Bobcats,WAS,CHA,B. Haywood,E. Okafor,J. Jeffries,CHA,WAS,P. Brezec,/players/b/brezepr01.html,WAS,CHA,E. Okafor,B. Haywood,0
200412270DET,https://www.basketball-reference.com/boxscores/pbp/200412270DET.html,Detroit Pistons,New Jersey Nets,DET,NJN,B. Wallace,J. Collins,N. Krstić,NJN,DET,N. Krstić,/players/k/krstine01.html,NJN,DET,J. Collins,B. Wallace,1
200412270MIA,https://www.basketball-reference.com/boxscores/pbp/200412270MIA.html,Miami Heat,Atlanta Hawks,MIA,ATL,S. O'Neal,J. Collier,U. Haslem,MIA,ATL,D. Jones,/players/j/jonesda01.html,MIA,ATL,S. O'Neal,J. Collier,1
200412270MEM,https://www.basketball-reference.com/boxscores/pbp/200412270MEM.html,Memphis Grizzlies,Los Angeles Clippers,MEM,LAC,P. Gasol,C. Kaman,S. Battier,MEM,LAC,J. Williams,/players/w/willija02.html,MEM,LAC,P. Gasol,C. Kaman,1
200412270UTA,https://www.basketball-reference.com/boxscores/pbp/200412270UTA.html,Utah Jazz,Seattle SuperSonics,UTA,SEA,A. Radojević,J. James,M. Harpring,UTA,SEA,C. Boozer,/players/b/boozeca01.html,UTA,SEA,A. Radojević,J. James,1
200412270POR,https://www.basketball-reference.com/boxscores/pbp/200412270POR.html,Portland Trail Blazers,Philadelphia 76ers,POR,PHI,T. Ratliff,S. Dalembert,D. Miles,POR,PHI,Z. Randolph,/players/r/randoza01.html,POR,PHI,T. Ratliff,S. Dalembert,1
200412270GSW,https://www.basketball-reference.com/boxscores/pbp/200412270GSW.html,Golden State Warriors,Denver Nuggets,GSW,DEN,C. Robinson,M. Camby,A. Miller,DEN,GSW,A. Miller,/players/m/millean02.html,DEN,GSW,M. Camby,C. Robinson,1
200412280ATL,https://www.basketball-reference.com/boxscores/pbp/200412280ATL.html,Atlanta Hawks,Cleveland Cavaliers,ATL,CLE,J. Smith,Z. Ilgauskas,J. Collier,ATL,CLE,R. Ivey,/players/i/iveyro01.html,ATL,CLE,J. Smith,Z. Ilgauskas,1
200412280MIL,https://www.basketball-reference.com/boxscores/pbp/200412280MIL.html,Milwaukee Bucks,Houston Rockets,MIL,HOU,D. Gadzuric,Y. Ming,M. Redd,MIL,HOU,M. Williams,/players/w/willima01.html,MIL,HOU,D. Gadzuric,Y. Ming,1
200412280CHI,https://www.basketball-reference.com/boxscores/pbp/200412280CHI.html,Chicago Bulls,New Jersey Nets,CHI,NJN,E. Curry,J. Collins,K. Hinrich,NJN,CHI,N. Krstić,/players/k/krstine01.html,CHI,NJN,J. Collins,E. Curry,0
200412280DAL,https://www.basketball-reference.com/boxscores/pbp/200412280DAL.html,Dallas Mavericks,Boston Celtics,DAL,BOS,E. Dampier,M. Blount,E. Dampier,DAL,BOS,D. Nowitzki,/players/n/nowitdi01.html,DAL,BOS,E. Dampier,M. Blount,1
200412280SAS,https://www.basketball-reference.com/boxscores/pbp/200412280SAS.html,San Antonio Spurs,Phoenix Suns,SAS,PHO,R. Nesterović,A. Stoudemire,T. Parker,SAS,PHO,T. Parker,/players/p/parketo01.html,SAS,PHO,R. Nesterović,A. Stoudemire,1
200412280SEA,https://www.basketball-reference.com/boxscores/pbp/200412280SEA.html,Seattle SuperSonics,Philadelphia 76ers,SEA,PHI,J. James,S. Dalembert,J. James,SEA,PHI,L. Ridnour,/players/r/ridnolu01.html,SEA,PHI,J. James,S. Dalembert,1
200412280LAL,https://www.basketball-reference.com/boxscores/pbp/200412280LAL.html,Los Angeles Lakers,Toronto Raptors,LAL,TOR,C. Mihm,C. Bosh,C. Bosh,TOR,LAL,E. Williams,/players/w/willier01.html,TOR,LAL,C. Bosh,C. Mihm,1
200412290CHA,https://www.basketball-reference.com/boxscores/pbp/200412290CHA.html,Charlotte Bobcats,Indiana Pacers,CHA,IND,E. Okafor,J. O'Neal,J. O'Neal,CHA,IND,J. Hart,/players/h/hartja01.html,IND,CHA,E. Okafor,J. O'Neal,0
200412290CLE,https://www.basketball-reference.com/boxscores/pbp/200412290CLE.html,Cleveland Cavaliers,Houston Rockets,CLE,HOU,Z. Ilgauskas,Y. Ming,J. Howard,CLE,HOU,I. Newble,/players/n/newblir01.html,HOU,CLE,Z. Ilgauskas,Y. Ming,0
200412290ORL,https://www.basketball-reference.com/boxscores/pbp/200412290ORL.html,Orlando Magic,Milwaukee Bucks,ORL,MIL,D. Howard,D. Gadzuric,D. Howard,ORL,MIL,S. Francis,/players/f/francst01.html,ORL,MIL,D. Howard,D. Gadzuric,1
200412290WAS,https://www.basketball-reference.com/boxscores/pbp/200412290WAS.html,Washington Wizards,Detroit Pistons,WAS,DET,B. Haywood,B. Wallace,G. Arenas,WAS,DET,G. Arenas,/players/a/arenagi01.html,WAS,DET,B. Haywood,B. Wallace,1
200412290NYK,https://www.basketball-reference.com/boxscores/pbp/200412290NYK.html,New York Knicks,Minnesota Timberwolves,NYK,MIN,N. Mohammed,K. Garnett,M. Olowokandi,MIN,NYK,S. Cassell,/players/c/cassesa01.html,MIN,NYK,K. Garnett,N. Mohammed,1
200412290MEM,https://www.basketball-reference.com/boxscores/pbp/200412290MEM.html,Memphis Grizzlies,Boston Celtics,MEM,BOS,P. Gasol,M. Blount,R. LaFrentz,BOS,MEM,P. Pierce,/players/p/piercpa01.html,BOS,MEM,M. Blount,P. Gasol,1
200412290NOH,https://www.basketball-reference.com/boxscores/pbp/200412290NOH.html,New Orleans Hornets,Phoenix Suns,NOH,PHO,P. Brown,A. Stoudemire,P. Brown,NOH,PHO,M. Freije,/players/f/freijma01.html,NOH,PHO,P. Brown,A. Stoudemire,1
200412290GSW,https://www.basketball-reference.com/boxscores/pbp/200412290GSW.html,Golden State Warriors,Toronto Raptors,GSW,TOR,C. Robinson,C. Bosh,R. Araújo,TOR,GSW,E. Williams,/players/w/willier01.html,TOR,GSW,C. Bosh,C. Robinson,1
200412290LAC,https://www.basketball-reference.com/boxscores/pbp/200412290LAC.html,Los Angeles Clippers,Utah Jazz,LAC,UTA,C. Kaman,A. Radojević,E. Brand,LAC,UTA,E. Brand,/players/b/brandel01.html,LAC,UTA,C. Kaman,A. Radojević,1
200412300ATL,https://www.basketball-reference.com/boxscores/pbp/200412300ATL.html,Atlanta Hawks,Seattle SuperSonics,ATL,SEA,J. Smith,J. James,A. Walker,ATL,SEA,J. Collier,/players/c/collija02.html,ATL,SEA,J. Smith,J. James,1
200412300NJN,https://www.basketball-reference.com/boxscores/pbp/200412300NJN.html,New Jersey Nets,Indiana Pacers,NJN,IND,J. Collins,J. O'Neal,J. O'Neal,NJN,IND,J. Kidd,/players/k/kiddja01.html,IND,NJN,J. Collins,J. O'Neal,0
200412300DET,https://www.basketball-reference.com/boxscores/pbp/200412300DET.html,Detroit Pistons,Miami Heat,DET,MIA,B. Wallace,S. O'Neal,B. Wallace,DET,MIA,C. Billups,/players/b/billuch01.html,DET,MIA,B. Wallace,S. O'Neal,1
200412300POR,https://www.basketball-reference.com/boxscores/pbp/200412300POR.html,Portland Trail Blazers,San Antonio Spurs,POR,SAS,T. Ratliff,R. Nesterović,T. Parker,SAS,POR,B. Barry,/players/b/barrybr01.html,SAS,POR,R. Nesterović,T. Ratliff,1
200412310BOS,https://www.basketball-reference.com/boxscores/pbp/200412310BOS.html,Boston Celtics,Washington Wizards,BOS,WAS,M. Blount,B. Haywood,A. Jamison,BOS,WAS,J. Welsch,/players/w/welscji01.html,WAS,BOS,M. Blount,B. Haywood,0
200412310CHA,https://www.basketball-reference.com/boxscores/pbp/200412310CHA.html,Charlotte Bobcats,Seattle SuperSonics,CHA,SEA,E. Okafor,J. James,R. Allen,SEA,CHA,R. Allen,/players/a/allenra02.html,SEA,CHA,J. James,E. Okafor,1
200412310DEN,https://www.basketball-reference.com/boxscores/pbp/200412310DEN.html,Denver Nuggets,Philadelphia 76ers,DEN,PHI,M. Camby,S. Dalembert,C. Anthony,PHI,DEN,W. Green,/players/g/greenwi01.html,DEN,PHI,S. Dalembert,M. Camby,0
200412310UTA,https://www.basketball-reference.com/boxscores/pbp/200412310UTA.html,Utah Jazz,Sacramento Kings,UTA,SAC,A. Radojević,B. Miller,M. Harpring,SAC,UTA,C. Webber,/players/w/webbech01.html,UTA,SAC,B. Miller,A. Radojević,0
200412310LAC,https://www.basketball-reference.com/boxscores/pbp/200412310LAC.html,Los Angeles Clippers,San Antonio Spurs,LAC,SAS,C. Kaman,R. Nesterović,T. Parker,LAC,SAS,C. Maggette,/players/m/maggeco01.html,SAS,LAC,C. Kaman,R. Nesterović,0
200412310HOU,https://www.basketball-reference.com/boxscores/pbp/200412310HOU.html,Houston Rockets,Milwaukee Bucks,HOU,MIL,D. Mutombo,D. Gadzuric,B. Sura,HOU,MIL,T. McGrady,/players/m/mcgratr01.html,HOU,MIL,D. Mutombo,D. Gadzuric,1
200501010NYK,https://www.basketball-reference.com/boxscores/pbp/200501010NYK.html,New York Knicks,New Jersey Nets,NYK,NJN,N. Mohammed,J. Collins,T. Thomas,NJN,NYK,N. Krstić,/players/k/krstine01.html,NYK,NJN,J. Collins,N. Mohammed,0
200501010MIN,https://www.basketball-reference.com/boxscores/pbp/200501010MIN.html,Minnesota Timberwolves,Memphis Grizzlies,MIN,MEM,K. Garnett,P. Gasol,W. Szczerbiak,MEM,MIN,L. Wright,/players/w/wrighlo02.html,MIN,MEM,P. Gasol,K. Garnett,0
200501010CHI,https://www.basketball-reference.com/boxscores/pbp/200501010CHI.html,Chicago Bulls,Orlando Magic,CHI,ORL,E. Curry,D. Howard,T. Battie,ORL,CHI,S. Francis,/players/f/francst01.html,ORL,CHI,D. Howard,E. Curry,1
200501010POR,https://www.basketball-reference.com/boxscores/pbp/200501010POR.html,Portland Trail Blazers,Golden State Warriors,POR,GSW,J. Przybilla,C. Robinson,D. Anderson,POR,GSW,S. Abdur-Rahim,/players/a/abdursh01.html,POR,GSW,J. Przybilla,C. Robinson,1
200501020WAS,https://www.basketball-reference.com/boxscores/pbp/200501020WAS.html,Washington Wizards,Atlanta Hawks,WAS,ATL,B. Haywood,J. Smith,B. Haywood,WAS,ATL,J. Jeffries,/players/j/jeffrja01.html,WAS,ATL,B. Haywood,J. Smith,1
200501020LAC,https://www.basketball-reference.com/boxscores/pbp/200501020LAC.html,Los Angeles Clippers,Philadelphia 76ers,LAC,PHI,C. Kaman,S. Dalembert,C. Maggette,PHI,LAC,A. Iverson,/players/i/iversal01.html,LAC,PHI,S. Dalembert,C. Kaman,0
200501020DET,https://www.basketball-reference.com/boxscores/pbp/200501020DET.html,Detroit Pistons,Boston Celtics,DET,BOS,B. Wallace,M. Blount,R. Wallace,DET,BOS,R. Hamilton,/players/h/hamilri01.html,DET,BOS,B. Wallace,M. Blount,1
200501020PHO,https://www.basketball-reference.com/boxscores/pbp/200501020PHO.html,Phoenix Suns,Portland Trail Blazers,PHO,POR,A. Stoudemire,D. Miles,A. Stoudemire,PHO,POR,J. Johnson,/players/j/johnsjo02.html,PHO,POR,A. Stoudemire,D. Miles,1
200501020DAL,https://www.basketball-reference.com/boxscores/pbp/200501020DAL.html,Dallas Mavericks,Milwaukee Bucks,DAL,MIL,E. Dampier,D. Gadzuric,M. Redd,MIL,DAL,J. Smith,/players/s/smithjo02.html,MIL,DAL,D. Gadzuric,E. Dampier,1
200501020HOU,https://www.basketball-reference.com/boxscores/pbp/200501020HOU.html,Houston Rockets,Utah Jazz,HOU,UTA,Y. Ming,C. Borchardt,B. Sura,HOU,UTA,B. Sura,/players/s/surabo01.html,HOU,UTA,Y. Ming,C. Borchardt,1
200501020SAC,https://www.basketball-reference.com/boxscores/pbp/200501020SAC.html,Sacramento Kings,San Antonio Spurs,SAC,SAS,B. Miller,R. Nesterović,T. Duncan,SAS,SAC,B. Bowen,/players/b/bowenbr01.html,SAS,SAC,R. Nesterović,B. Miller,1
200501020LAL,https://www.basketball-reference.com/boxscores/pbp/200501020LAL.html,Los Angeles Lakers,Denver Nuggets,LAL,DEN,C. Mihm,N. Hilário,K. Bryant,LAL,DEN,C. Atkins,/players/a/atkinch01.html,LAL,DEN,C. Mihm,N. Hilário,1
200501030BOS,https://www.basketball-reference.com/boxscores/pbp/200501030BOS.html,Boston Celtics,New Orleans Hornets,BOS,NOH,M. Blount,P. Brown,P. Pierce,NOH,BOS,L. Nailon,/players/n/nailole01.html,BOS,NOH,P. Brown,M. Blount,0
200501030CHA,https://www.basketball-reference.com/boxscores/pbp/200501030CHA.html,Charlotte Bobcats,Cleveland Cavaliers,CHA,CLE,E. Okafor,Z. Ilgauskas,I. Newble,CLE,CHA,J. McInnis,/players/m/mcinnje01.html,CLE,CHA,Z. Ilgauskas,E. Okafor,1
200501030TOR,https://www.basketball-reference.com/boxscores/pbp/200501030TOR.html,Toronto Raptors,Orlando Magic,TOR,ORL,C. Bosh,K. Cato,S. Francis,ORL,TOR,S. Francis,/players/f/francst01.html,ORL,TOR,K. Cato,C. Bosh,1
200501030MIA,https://www.basketball-reference.com/boxscores/pbp/200501030MIA.html,Miami Heat,Seattle SuperSonics,MIA,SEA,S. O'Neal,J. James,R. Allen,MIA,SEA,D. Jones,/players/j/jonesda01.html,SEA,MIA,S. O'Neal,J. James,0
200501030MEM,https://www.basketball-reference.com/boxscores/pbp/200501030MEM.html,Memphis Grizzlies,Utah Jazz,MEM,UTA,P. Gasol,C. Borchardt,G. Giriček,MEM,UTA,J. Williams,/players/w/willija02.html,UTA,MEM,P. Gasol,C. Borchardt,0
200501030CHI,https://www.basketball-reference.com/boxscores/pbp/200501030CHI.html,Chicago Bulls,Detroit Pistons,CHI,DET,T. Chandler,B. Wallace,T. Chandler,DET,CHI,C. Billups,/players/b/billuch01.html,CHI,DET,B. Wallace,T. Chandler,0
