Game Code,Full Hyperlink,Home Team,Away Team,Home Team Short,Away Team Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Tipoff Winner,Tipoff Loser,Tipoff Winner Scores
202012220LAL,https://www.basketball-reference.com/boxscores/pbp/202012220LAL.html,Los Angeles Lakers,Los Angeles Clippers,LAL,LAC,A. Davis,S. Ibaka,P. Beverley,LAL,LAC,L. James,/players/j/jamesle01.html,LAC,A. Davis,S. Ibaka,0
202012230CLE,https://www.basketball-reference.com/boxscores/pbp/202012230CLE.html,Cleveland Cavaliers,Charlotte Hornets,CLE,CHO,A. Drummond,C. Zeller,C. Sexton,CHO,CLE,T. Rozier,/players/r/roziete01.html,CLE,C. Zeller,A. Drummond,0
202012230IND,https://www.basketball-reference.com/boxscores/pbp/202012230IND.html,Indiana Pacers,New York Knicks,IND,NYK,M. Turner,M. Robinson,V. Oladipo,IND,NYK,D. Sabonis,/players/s/sabondo01.html,IND,M. Turner,M. Robinson,1
202012230ORL,https://www.basketball-reference.com/boxscores/pbp/202012230ORL.html,Orlando Magic,Miami Heat,ORL,MIA,,,,,,,,,
202012230PHI,https://www.basketball-reference.com/boxscores/pbp/202012230PHI.html,Philadelphia 76ers,Washington Wizards,PHI,WAS,J. Embiid,T. Bryant,B. Beal,PHI,WAS,S. Curry,/players/c/curryse01.html,WAS,J. Embiid,T. Bryant,0
202012230TOR,https://www.basketball-reference.com/boxscores/pbp/202012230TOR.html,Toronto Raptors,New Orleans Pelicans,TOR,NOP,A. Baynes,S. Adams,B. Ingram,NOP,TOR,L. Ball,/players/b/balllo01.html,NOP,S. Adams,A. Baynes,1
202012230BOS,https://www.basketball-reference.com/boxscores/pbp/202012230BOS.html,Boston Celtics,Milwaukee Bucks,BOS,MIL,T. Thompson,B. Lopez,T. Thompson,MIL,BOS,G. Antetokounmpo,/players/a/antetgi01.html,BOS,B. Lopez,T. Thompson,0
202012230CHI,https://www.basketball-reference.com/boxscores/pbp/202012230CHI.html,Chicago Bulls,Atlanta Hawks,CHI,ATL,W. Carter,J. Collins,L. Markkanen,CHI,ATL,L. Markkanen,/players/m/markkla01.html,CHI,W. Carter,J. Collins,1
202012230MEM,https://www.basketball-reference.com/boxscores/pbp/202012230MEM.html,Memphis Grizzlies,San Antonio Spurs,MEM,SAS,J. Valančiūnas,L. Aldridge,J. Valančiūnas,MEM,SAS,G. Allen,/players/a/allengr01.html,MEM,J. Valančiūnas,L. Aldridge,1
202012230MIN,https://www.basketball-reference.com/boxscores/pbp/202012230MIN.html,Minnesota Timberwolves,Detroit Pistons,MIN,DET,K. Towns,M. Plumlee,D. Wright,MIN,DET,J. Okogie,/players/o/okogijo01.html,DET,K. Towns,M. Plumlee,0
202012230DEN,https://www.basketball-reference.com/boxscores/pbp/202012230DEN.html,Denver Nuggets,Sacramento Kings,DEN,SAC,N. Jokić,M. Bagley,G. Harris,DEN,SAC,J. Murray,/players/m/murraja01.html,DEN,N. Jokić,M. Bagley,1
202012230POR,https://www.basketball-reference.com/boxscores/pbp/202012230POR.html,Portland Trail Blazers,Utah Jazz,POR,UTA,J. Nurkić,R. Gobert,C. McCollum,POR,UTA,D. Lillard,/players/l/lillada01.html,POR,J. Nurkić,R. Gobert,1
202012230PHO,https://www.basketball-reference.com/boxscores/pbp/202012230PHO.html,Phoenix Suns,Dallas Mavericks,PHO,DAL,D. Ayton,D. Powell,D. Booker,PHO,DAL,J. Crowder,/players/c/crowdja01.html,PHO,D. Ayton,D. Powell,1
202012250MIA,https://www.basketball-reference.com/boxscores/pbp/202012250MIA.html,Miami Heat,New Orleans Pelicans,MIA,NOP,B. Adebayo,S. Adams,D. Robinson,MIA,NOP,M. Leonard,/players/l/leoname01.html,MIA,B. Adebayo,S. Adams,1
202012250MIL,https://www.basketball-reference.com/boxscores/pbp/202012250MIL.html,Milwaukee Bucks,Golden State Warriors,MIL,GSW,B. Lopez,J. Wiseman,J. Wiseman,GSW,MIL,S. Curry,/players/c/curryst01.html,GSW,J. Wiseman,B. Lopez,1
202012250BOS,https://www.basketball-reference.com/boxscores/pbp/202012250BOS.html,Boston Celtics,Brooklyn Nets,BOS,BRK,T. Thompson,D. Jordan,J. Harris,BRK,BOS,K. Irving,/players/i/irvinky01.html,BRK,D. Jordan,T. Thompson,1
202012250LAL,https://www.basketball-reference.com/boxscores/pbp/202012250LAL.html,Los Angeles Lakers,Dallas Mavericks,LAL,DAL,A. Davis,D. Powell,D. Finney-Smith,DAL,LAL,D. Finney-Smith,/players/f/finnedo01.html,DAL,D. Powell,A. Davis,1
202012250DEN,https://www.basketball-reference.com/boxscores/pbp/202012250DEN.html,Denver Nuggets,Los Angeles Clippers,DEN,LAC,N. Jokić,S. Ibaka,N. Batum,DEN,LAC,P. Millsap,/players/m/millspa01.html,LAC,N. Jokić,S. Ibaka,0
