Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon TeamTipoff Winner,Tipoff Loser,Tipoff Winner Scores
201310290MIA,https://www.basketball-reference.com/boxscores/pbp/201310290MIA.html,Miami Heat,Chicago Bulls,MIA,CHI,J. Noah,C. Bosh,U. Haslem,CHI,MIA,C. Boozer,/players/b/boozeca01.html,CHI,MIA,C. Bosh,J. Noah,1
201310290LAL,https://www.basketball-reference.com/boxscores/pbp/201310290LAL.html,Los Angeles Lakers,Los Angeles Clippers,LAL,LAC,D. Jordan,P. Gasol,S. Williams,LAC,LAL,S. Williams,/players/w/willish03.html,LAC,LAL,P. Gasol,D. Jordan,1
201310300CLE,https://www.basketball-reference.com/boxscores/pbp/201310300CLE.html,Cleveland Cavaliers,Brooklyn Nets,CLE,BRK,T. Thompson,B. Lopez,P. Pierce,BRK,CLE,K. Garnett,/players/g/garneke01.html,BRK,CLE,B. Lopez,T. Thompson,1
201310300TOR,https://www.basketball-reference.com/boxscores/pbp/201310300TOR.html,Toronto Raptors,Boston Celtics,TOR,BOS,,,,,,,,,,
201310300PHI,https://www.basketball-reference.com/boxscores/pbp/201310300PHI.html,Philadelphia 76ers,Miami Heat,PHI,MIA,S. Hawes,C. Bosh,M. Carter-Williams,MIA,PHI,L. James,/players/j/jamesle01.html,MIA,PHI,C. Bosh,S. Hawes,1
201310300DET,https://www.basketball-reference.com/boxscores/pbp/201310300DET.html,Detroit Pistons,Washington Wizards,DET,WAS,N. Hilário,A. Drummond,N. Hilário,WAS,DET,W. Bynum,/players/b/bynumwi01.html,WAS,DET,A. Drummond,N. Hilário,1
201310300NYK,https://www.basketball-reference.com/boxscores/pbp/201310300NYK.html,New York Knicks,Milwaukee Bucks,NYK,MIL,L. Sanders,T. Chandler,C. Anthony,MIL,NYK,R. Felton,/players/f/feltora01.html,MIL,NYK,T. Chandler,L. Sanders,1
201310300NOP,https://www.basketball-reference.com/boxscores/pbp/201310300NOP.html,New Orleans Pelicans,Indiana Pacers,NOP,IND,R. Hibbert,A. Davis,J. Holiday,IND,NOP,D. West,/players/w/westda01.html,IND,NOP,A. Davis,R. Hibbert,1
201310300MIN,https://www.basketball-reference.com/boxscores/pbp/201310300MIN.html,Minnesota Timberwolves,Orlando Magic,MIN,ORL,N. Vučević,N. Peković,A. Afflalo,ORL,MIN,K. Love,/players/l/loveke01.html,ORL,MIN,N. Peković,N. Vučević,1
201310300HOU,https://www.basketball-reference.com/boxscores/pbp/201310300HOU.html,Houston Rockets,Charlotte Bobcats,HOU,CHA,J. McRoberts,D. Howard,K. Walker,CHA,HOU,P. Beverley,/players/b/beverpa01.html,CHA,HOU,D. Howard,J. McRoberts,1
201310300SAS,https://www.basketball-reference.com/boxscores/pbp/201310300SAS.html,San Antonio Spurs,Memphis Grizzlies,SAS,MEM,M. Gasol,T. Duncan,M. Conley,MEM,SAS,M. Conley,/players/c/conlemi01.html,MEM,SAS,T. Duncan,M. Gasol,1
201310300DAL,https://www.basketball-reference.com/boxscores/pbp/201310300DAL.html,Dallas Mavericks,Atlanta Hawks,DAL,ATL,A. Horford,S. Dalembert,A. Horford,ATL,DAL,P. Millsap,/players/m/millspa01.html,ATL,DAL,S. Dalembert,A. Horford,1
201310300UTA,https://www.basketball-reference.com/boxscores/pbp/201310300UTA.html,Utah Jazz,Oklahoma City Thunder,UTA,OKC,S. Ibaka,D. Favors,D. Favors,OKC,UTA,E. Kanter,/players/k/kanteen01.html,OKC,UTA,D. Favors,S. Ibaka,1
201310300PHO,https://www.basketball-reference.com/boxscores/pbp/201310300PHO.html,Phoenix Suns,Portland Trail Blazers,PHO,POR,M. Plumlee,R. Lopez,L. Aldridge,POR,PHO,W. Matthews,/players/m/matthwe02.html,POR,PHO,R. Lopez,M. Plumlee,1
201310300SAC,https://www.basketball-reference.com/boxscores/pbp/201310300SAC.html,Sacramento Kings,Denver Nuggets,SAC,DEN,J. McGee,D. Cousins,T. Lawson,DEN,SAC,T. Lawson,/players/l/lawsoty01.html,DEN,SAC,D. Cousins,J. McGee,1
201310300GSW,https://www.basketball-reference.com/boxscores/pbp/201310300GSW.html,Golden State Warriors,Los Angeles Lakers,GSW,LAL,P. Gasol,A. Bogut,D. Lee,LAL,GSW,N. Young,/players/y/youngni01.html,LAL,GSW,A. Bogut,P. Gasol,1
