Game Code,Full Hyperlink,Home Team,Away Team,Home Team Short,Away Team Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Tipoff Winner,Tipoff Loser,Tipoff Winner Scores
201510270ATL,https://www.basketball-reference.com/boxscores/pbp/201510270ATL.html,Atlanta Hawks,Detroit Pistons,ATL,DET,A. Horford,A. Drummond,M. Morris,DET,ATL,E. İlyasova,/players/i/ilyaser01.html,DET,A. Drummond,A. Horford,1
201510270GSW,https://www.basketball-reference.com/boxscores/pbp/201510270GSW.html,Golden State Warriors,New Orleans Pelicans,GSW,NOP,A. Bogut,A. Davis,D. Green,NOP,GSW,N. Robinson,/players/r/robinna01.html,GSW,A. Davis,A. Bogut,0
201510280ORL,https://www.basketball-reference.com/boxscores/pbp/201510280ORL.html,Orlando Magic,Washington Wizards,ORL,WAS,N. Vučević,M. Gortat,T. Harris,WAS,ORL,J. Wall,/players/w/walljo01.html,ORL,M. Gortat,N. Vučević,0
201510280BOS,https://www.basketball-reference.com/boxscores/pbp/201510280BOS.html,Boston Celtics,Philadelphia 76ers,BOS,PHI,T. Zeller,N. Noel,J. Crowder,BOS,PHI,D. Lee,/players/l/leeda02.html,BOS,T. Zeller,N. Noel,1
201510280BRK,https://www.basketball-reference.com/boxscores/pbp/201510280BRK.html,Brooklyn Nets,Chicago Bulls,BRK,CHI,B. Lopez,P. Gasol,N. Mirotić,BRK,CHI,T. Young,/players/y/youngth01.html,CHI,B. Lopez,P. Gasol,0
201510280DET,https://www.basketball-reference.com/boxscores/pbp/201510280DET.html,Detroit Pistons,Utah Jazz,DET,UTA,,,,,,,,,
201510280TOR,https://www.basketball-reference.com/boxscores/pbp/201510280TOR.html,Toronto Raptors,Indiana Pacers,TOR,IND,J. Valančiūnas,I. Mahinmi,J. Valančiūnas,TOR,IND,K. Lowry,/players/l/lowryky01.html,TOR,J. Valančiūnas,I. Mahinmi,1
201510280MIA,https://www.basketball-reference.com/boxscores/pbp/201510280MIA.html,Miami Heat,Charlotte Hornets,MIA,CHO,H. Whiteside,A. Jefferson,C. Bosh,MIA,CHO,C. Bosh,/players/b/boshch01.html,MIA,H. Whiteside,A. Jefferson,1
201510280MIL,https://www.basketball-reference.com/boxscores/pbp/201510280MIL.html,Milwaukee Bucks,New York Knicks,MIL,NYK,G. Monroe,R. Lopez,R. Lopez,NYK,MIL,K. Porziņģis,/players/p/porzikr01.html,NYK,R. Lopez,G. Monroe,1
201510280OKC,https://www.basketball-reference.com/boxscores/pbp/201510280OKC.html,Oklahoma City Thunder,San Antonio Spurs,OKC,SAS,S. Adams,T. Duncan,A. Roberson,OKC,SAS,A. Roberson,/players/r/roberan03.html,OKC,S. Adams,T. Duncan,1
201510280MEM,https://www.basketball-reference.com/boxscores/pbp/201510280MEM.html,Memphis Grizzlies,Cleveland Cavaliers,MEM,CLE,M. Gasol,T. Mozgov,C. Lee,MEM,CLE,M. Conley,/players/c/conlemi01.html,MEM,M. Gasol,T. Mozgov,1
201510280HOU,https://www.basketball-reference.com/boxscores/pbp/201510280HOU.html,Houston Rockets,Denver Nuggets,HOU,DEN,C. Capela,J. Lauvergne,G. Harris,HOU,DEN,J. Harden,/players/h/hardeja01.html,DEN,C. Capela,J. Lauvergne,0
201510280PHO,https://www.basketball-reference.com/boxscores/pbp/201510280PHO.html,Phoenix Suns,Dallas Mavericks,PHO,DAL,T. Chandler,Z. Pachulia,D. Williams,DAL,PHO,D. Nowitzki,/players/n/nowitdi01.html,DAL,Z. Pachulia,T. Chandler,1
201510280POR,https://www.basketball-reference.com/boxscores/pbp/201510280POR.html,Portland Trail Blazers,New Orleans Pelicans,POR,NOP,M. Plumlee,A. Davis,A. Aminu,POR,NOP,D. Lillard,/players/l/lillada01.html,POR,M. Plumlee,A. Davis,1
201510280SAC,https://www.basketball-reference.com/boxscores/pbp/201510280SAC.html,Sacramento Kings,Los Angeles Clippers,SAC,LAC,K. Koufos,D. Jordan,L. Stephenson,LAC,SAC,B. Griffin,/players/g/griffbl01.html,LAC,D. Jordan,K. Koufos,1
201510280LAL,https://www.basketball-reference.com/boxscores/pbp/201510280LAL.html,Los Angeles Lakers,Minnesota Timberwolves,LAL,MIN,R. Hibbert,K. Towns,R. Rubio,MIN,LAL,K. Garnett,/players/g/garneke01.html,MIN,K. Towns,R. Hibbert,1
201510290IND,https://www.basketball-reference.com/boxscores/pbp/201510290IND.html,Indiana Pacers,Memphis Grizzlies,IND,MEM,I. Mahinmi,M. Gasol,C. Lee,MEM,IND,T. Allen,/players/a/allento01.html,MEM,M. Gasol,I. Mahinmi,1
201510290NYK,https://www.basketball-reference.com/boxscores/pbp/201510290NYK.html,New York Knicks,Atlanta Hawks,NYK,ATL,R. Lopez,A. Horford,K. Bazemore,ATL,NYK,J. Teague,/players/t/teaguje01.html,ATL,A. Horford,R. Lopez,1
201510290LAC,https://www.basketball-reference.com/boxscores/pbp/201510290LAC.html,Los Angeles Clippers,Dallas Mavericks,LAC,DAL,D. Jordan,Z. Pachulia,J. Redick,LAC,DAL,B. Griffin,/players/g/griffbl01.html,LAC,D. Jordan,Z. Pachulia,1
201510300CLE,https://www.basketball-reference.com/boxscores/pbp/201510300CLE.html,Cleveland Cavaliers,Miami Heat,CLE,MIA,,,,,,,,,
201510300PHI,https://www.basketball-reference.com/boxscores/pbp/201510300PHI.html,Philadelphia 76ers,Utah Jazz,PHI,UTA,N. Noel,R. Gobert,R. Hood,UTA,PHI,R. Hood,/players/h/hoodro01.html,UTA,R. Gobert,N. Noel,1
201510300ORL,https://www.basketball-reference.com/boxscores/pbp/201510300ORL.html,Orlando Magic,Oklahoma City Thunder,ORL,OKC,N. Vučević,S. Adams,S. Ibaka,OKC,ORL,S. Ibaka,/players/i/ibakase01.html,OKC,S. Adams,N. Vučević,1
201510300BOS,https://www.basketball-reference.com/boxscores/pbp/201510300BOS.html,Boston Celtics,Toronto Raptors,BOS,TOR,T. Zeller,J. Valančiūnas,M. Smart,BOS,TOR,M. Smart,/players/s/smartma01.html,BOS,T. Zeller,J. Valančiūnas,1
201510300DET,https://www.basketball-reference.com/boxscores/pbp/201510300DET.html,Detroit Pistons,Chicago Bulls,DET,CHI,A. Drummond,P. Gasol,P. Gasol,DET,CHI,E. İlyasova,/players/i/ilyaser01.html,CHI,A. Drummond,P. Gasol,0
201510300ATL,https://www.basketball-reference.com/boxscores/pbp/201510300ATL.html,Atlanta Hawks,Charlotte Hornets,ATL,CHO,A. Horford,A. Jefferson,N. Batum,CHO,ATL,N. Batum,/players/b/batumni01.html,CHO,A. Jefferson,A. Horford,1
201510300MIL,https://www.basketball-reference.com/boxscores/pbp/201510300MIL.html,Milwaukee Bucks,Washington Wizards,MIL,WAS,G. Monroe,M. Gortat,M. Gortat,WAS,MIL,K. Humphries,/players/h/humphkr01.html,WAS,M. Gortat,G. Monroe,1
201510300SAS,https://www.basketball-reference.com/boxscores/pbp/201510300SAS.html,San Antonio Spurs,Brooklyn Nets,SAS,BRK,T. Duncan,B. Lopez,T. Young,BRK,SAS,J. Jack,/players/j/jackja01.html,BRK,B. Lopez,T. Duncan,1
201510300DEN,https://www.basketball-reference.com/boxscores/pbp/201510300DEN.html,Denver Nuggets,Minnesota Timberwolves,DEN,MIN,J. Lauvergne,K. Towns,R. Rubio,DEN,MIN,K. Faried,/players/f/farieke01.html,MIN,J. Lauvergne,K. Towns,0
201510300HOU,https://www.basketball-reference.com/boxscores/pbp/201510300HOU.html,Houston Rockets,Golden State Warriors,HOU,GSW,D. Howard,F. Ezeli,F. Ezeli,GSW,HOU,D. Green,/players/g/greendr01.html,GSW,F. Ezeli,D. Howard,1
201510300SAC,https://www.basketball-reference.com/boxscores/pbp/201510300SAC.html,Sacramento Kings,Los Angeles Lakers,SAC,LAL,W. Cauley-Stein,R. Hibbert,R. Gay,LAL,SAC,J. Randle,/players/r/randlju01.html,SAC,R. Hibbert,W. Cauley-Stein,0
201510300PHO,https://www.basketball-reference.com/boxscores/pbp/201510300PHO.html,Phoenix Suns,Portland Trail Blazers,PHO,POR,T. Chandler,M. Plumlee,D. Lillard,PHO,POR,E. Bledsoe,/players/b/bledser01.html,POR,T. Chandler,M. Plumlee,0
201510310IND,https://www.basketball-reference.com/boxscores/pbp/201510310IND.html,Indiana Pacers,Utah Jazz,IND,UTA,I. Mahinmi,R. Gobert,G. Hill,UTA,IND,R. Neto,/players/n/netora01.html,IND,R. Gobert,I. Mahinmi,0
201510310WAS,https://www.basketball-reference.com/boxscores/pbp/201510310WAS.html,Washington Wizards,New York Knicks,WAS,NYK,M. Gortat,R. Lopez,O. Porter,WAS,NYK,K. Humphries,/players/h/humphkr01.html,WAS,M. Gortat,R. Lopez,1
201510310NOP,https://www.basketball-reference.com/boxscores/pbp/201510310NOP.html,New Orleans Pelicans,Golden State Warriors,NOP,GSW,A. Davis,F. Ezeli,K. Perkins,NOP,GSW,J. Holiday,/players/h/holidjr01.html,NOP,A. Davis,F. Ezeli,1
201510310MEM,https://www.basketball-reference.com/boxscores/pbp/201510310MEM.html,Memphis Grizzlies,Brooklyn Nets,MEM,BRK,M. Gasol,B. Lopez,J. Johnson,MEM,BRK,M. Conley,/players/c/conlemi01.html,BRK,M. Gasol,B. Lopez,0
