Game Code,Full Hyperlink,Home Team,Away Team,Home Team Short,Away Team Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Tipoff Winner,Tipoff Loser,Tipoff Winner Scores
201810160GSW,https://www.basketball-reference.com/boxscores/pbp/201810160GSW.html,Golden State Warriors,Oklahoma City Thunder,GSW,OKC,D. Jones,S. Adams,S. Curry,GSW,OKC,D. Green,/players/g/greendr01.html,GSW,D. Jones,S. Adams,1
201810170CHO,https://www.basketball-reference.com/boxscores/pbp/201810170CHO.html,Charlotte Hornets,Milwaukee Bucks,CHO,MIL,C. Zeller,B. Lopez,B. Lopez,MIL,CHO,G. Antetokounmpo,/players/a/antetgi01.html,MIL,B. Lopez,C. Zeller,1
201810170DET,https://www.basketball-reference.com/boxscores/pbp/201810170DET.html,Detroit Pistons,Brooklyn Nets,DET,BRK,A. Drummond,J. Allen,J. Allen,DET,BRK,R. Jackson,/players/j/jacksre01.html,BRK,A. Drummond,J. Allen,0
201810170IND,https://www.basketball-reference.com/boxscores/pbp/201810170IND.html,Indiana Pacers,Memphis Grizzlies,IND,MEM,M. Turner,M. Gasol,B. Bogdanović,IND,MEM,D. Collison,/players/c/collida01.html,IND,M. Turner,M. Gasol,1
201810170ORL,https://www.basketball-reference.com/boxscores/pbp/201810170ORL.html,Orlando Magic,Miami Heat,ORL,MIA,N. Vučević,H. Whiteside,J. Richardson,MIA,ORL,R. McGruder,/players/m/mcgruro01.html,MIA,H. Whiteside,N. Vučević,1
201810170NYK,https://www.basketball-reference.com/boxscores/pbp/201810170NYK.html,New York Knicks,Atlanta Hawks,NYK,ATL,E. Kanter,A. Len,T. Waller-Prince,ATL,NYK,T. Young,/players/y/youngtr01.html,ATL,A. Len,E. Kanter,1
201810170TOR,https://www.basketball-reference.com/boxscores/pbp/201810170TOR.html,Toronto Raptors,Cleveland Cavaliers,TOR,CLE,J. Valančiūnas,T. Thompson,K. Love,CLE,TOR,G. Hill,/players/h/hillge01.html,CLE,T. Thompson,J. Valančiūnas,1
201810170HOU,https://www.basketball-reference.com/boxscores/pbp/201810170HOU.html,Houston Rockets,New Orleans Pelicans,HOU,NOP,C. Capela,A. Davis,N. Mirotić,NOP,HOU,N. Mirotić,/players/m/mirotni01.html,NOP,A. Davis,C. Capela,1
201810170SAS,https://www.basketball-reference.com/boxscores/pbp/201810170SAS.html,San Antonio Spurs,Minnesota Timberwolves,SAS,MIN,J. Poeltl,K. Towns,R. Gay,MIN,SAS,T. Gibson,/players/g/gibsota01.html,SAS,K. Towns,J. Poeltl,0
201810170SAC,https://www.basketball-reference.com/boxscores/pbp/201810170SAC.html,Sacramento Kings,Utah Jazz,SAC,UTA,W. Cauley-Stein,R. Gobert,B. Hield,UTA,SAC,D. Favors,/players/f/favorde01.html,SAC,R. Gobert,W. Cauley-Stein,0
201810170LAC,https://www.basketball-reference.com/boxscores/pbp/201810170LAC.html,Los Angeles Clippers,Denver Nuggets,LAC,DEN,M. Gortat,N. Jokić,T. Harris,LAC,DEN,T. Harris,/players/h/harrito02.html,LAC,M. Gortat,N. Jokić,1
201810170PHO,https://www.basketball-reference.com/boxscores/pbp/201810170PHO.html,Phoenix Suns,Dallas Mavericks,PHO,DAL,D. Ayton,D. Jordan,D. Jordan,DAL,PHO,D. Smith,/players/s/smithde03.html,DAL,D. Jordan,D. Ayton,1
201810180PHI,https://www.basketball-reference.com/boxscores/pbp/201810180PHI.html,Philadelphia 76ers,Chicago Bulls,PHI,CHI,J. Embiid,W. Carter,Z. LaVine,CHI,PHI,C. Payne,/players/p/payneca01.html,CHI,W. Carter,J. Embiid,1
201810180WAS,https://www.basketball-reference.com/boxscores/pbp/201810180WAS.html,Washington Wizards,Miami Heat,WAS,MIA,I. Mahinmi,H. Whiteside,J. Wall,WAS,MIA,M. Morris,/players/m/morrima02.html,WAS,I. Mahinmi,H. Whiteside,1
201810180POR,https://www.basketball-reference.com/boxscores/pbp/201810180POR.html,Portland Trail Blazers,Los Angeles Lakers,POR,LAL,J. Nurkić,J. McGee,R. Rondo,POR,LAL,D. Lillard,/players/l/lillada01.html,LAL,J. Nurkić,J. McGee,0
201810190ORL,https://www.basketball-reference.com/boxscores/pbp/201810190ORL.html,Orlando Magic,Charlotte Hornets,ORL,CHO,N. Vučević,C. Zeller,N. Vučević,ORL,CHO,J. Isaac,/players/i/isaacjo01.html,ORL,N. Vučević,C. Zeller,1
201810190BRK,https://www.basketball-reference.com/boxscores/pbp/201810190BRK.html,Brooklyn Nets,New York Knicks,BRK,NYK,J. Allen,E. Kanter,T. Hardaway,NYK,BRK,T. Hardaway,/players/h/hardati02.html,NYK,E. Kanter,J. Allen,1
201810190MEM,https://www.basketball-reference.com/boxscores/pbp/201810190MEM.html,Memphis Grizzlies,Atlanta Hawks,MEM,ATL,M. Gasol,A. Len,T. Waller-Prince,ATL,MEM,T. Young,/players/y/youngtr01.html,ATL,A. Len,M. Gasol,1
201810190MIN,https://www.basketball-reference.com/boxscores/pbp/201810190MIN.html,Minnesota Timberwolves,Cleveland Cavaliers,MIN,CLE,K. Towns,T. Thompson,K. Towns,MIN,CLE,T. Gibson,/players/g/gibsota01.html,MIN,K. Towns,T. Thompson,1
201810190NOP,https://www.basketball-reference.com/boxscores/pbp/201810190NOP.html,New Orleans Pelicans,Sacramento Kings,NOP,SAC,A. Davis,W. Cauley-Stein,A. Davis,NOP,SAC,N. Mirotić,/players/m/mirotni01.html,NOP,A. Davis,W. Cauley-Stein,1
201810190TOR,https://www.basketball-reference.com/boxscores/pbp/201810190TOR.html,Toronto Raptors,Boston Celtics,TOR,BOS,S. Ibaka,A. Horford,A. Horford,BOS,TOR,K. Irving,/players/i/irvinky01.html,BOS,A. Horford,S. Ibaka,1
201810190MIL,https://www.basketball-reference.com/boxscores/pbp/201810190MIL.html,Milwaukee Bucks,Indiana Pacers,MIL,IND,B. Lopez,M. Turner,M. Turner,IND,MIL,T. Young,/players/y/youngth01.html,IND,M. Turner,B. Lopez,1
201810190LAC,https://www.basketball-reference.com/boxscores/pbp/201810190LAC.html,Los Angeles Clippers,Oklahoma City Thunder,LAC,OKC,M. Gortat,S. Adams,D. Gallinari,LAC,OKC,T. Harris,/players/h/harrito02.html,LAC,M. Gortat,S. Adams,1
201810190UTA,https://www.basketball-reference.com/boxscores/pbp/201810190UTA.html,Utah Jazz,Golden State Warriors,UTA,GSW,R. Gobert,D. Jones,D. Favors,UTA,GSW,D. Favors,/players/f/favorde01.html,UTA,R. Gobert,D. Jones,1
201810200IND,https://www.basketball-reference.com/boxscores/pbp/201810200IND.html,Indiana Pacers,Brooklyn Nets,IND,BRK,M. Turner,J. Allen,C. LeVert,BRK,IND,D. Russell,/players/r/russeda01.html,BRK,J. Allen,M. Turner,1
201810200WAS,https://www.basketball-reference.com/boxscores/pbp/201810200WAS.html,Washington Wizards,Toronto Raptors,WAS,TOR,I. Mahinmi,J. Valančiūnas,O. Porter,TOR,WAS,K. Lowry,/players/l/lowryky01.html,WAS,J. Valančiūnas,I. Mahinmi,0
201810200NYK,https://www.basketball-reference.com/boxscores/pbp/201810200NYK.html,New York Knicks,Boston Celtics,NYK,BOS,E. Kanter,A. Horford,A. Baynes,BOS,NYK,K. Irving,/players/i/irvinky01.html,BOS,A. Horford,E. Kanter,1
201810200PHI,https://www.basketball-reference.com/boxscores/pbp/201810200PHI.html,Philadelphia 76ers,Orlando Magic,PHI,ORL,J. Embiid,N. Vučević,A. Gordon,ORL,PHI,D. Augustin,/players/a/augusdj01.html,ORL,N. Vučević,J. Embiid,1
201810200CHI,https://www.basketball-reference.com/boxscores/pbp/201810200CHI.html,Chicago Bulls,Detroit Pistons,CHI,DET,W. Carter,A. Drummond,B. Griffin,DET,CHI,R. Jackson,/players/j/jacksre01.html,DET,A. Drummond,W. Carter,1
201810200MIA,https://www.basketball-reference.com/boxscores/pbp/201810200MIA.html,Miami Heat,Charlotte Hornets,MIA,CHO,H. Whiteside,C. Zeller,R. McGruder,MIA,CHO,D. Jones,/players/j/jonesde02.html,MIA,H. Whiteside,C. Zeller,1
201810200DAL,https://www.basketball-reference.com/boxscores/pbp/201810200DAL.html,Dallas Mavericks,Minnesota Timberwolves,DAL,MIN,D. Jordan,K. Towns,A. Wiggins,DAL,MIN,L. Dončić,/players/d/doncilu01.html,MIN,D. Jordan,K. Towns,0
201810200DEN,https://www.basketball-reference.com/boxscores/pbp/201810200DEN.html,Denver Nuggets,Phoenix Suns,DEN,PHO,N. Jokić,D. Ayton,N. Jokić,PHO,DEN,R. Anderson,/players/a/anderry01.html,DEN,D. Ayton,N. Jokić,0
201810200POR,https://www.basketball-reference.com/boxscores/pbp/201810200POR.html,Portland Trail Blazers,San Antonio Spurs,POR,SAS,J. Nurkić,J. Poeltl,D. Lillard,POR,SAS,D. Lillard,/players/l/lillada01.html,POR,J. Nurkić,J. Poeltl,1
201810200LAL,https://www.basketball-reference.com/boxscores/pbp/201810200LAL.html,Los Angeles Lakers,Houston Rockets,LAL,HOU,J. McGee,C. Capela,C. Paul,LAL,HOU,L. James,/players/j/jamesle01.html,HOU,J. McGee,C. Capela,0
201810210CLE,https://www.basketball-reference.com/boxscores/pbp/201810210CLE.html,Cleveland Cavaliers,Atlanta Hawks,CLE,ATL,T. Thompson,A. Len,T. Thompson,ATL,CLE,V. Carter,/players/c/cartevi01.html,CLE,A. Len,T. Thompson,0
