Game Code,Full Hyperlink,Home Team,Away Team,Home Team Short,Away Team Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Tipoff Winner,Tipoff Loser,Tipoff Winner Scores
201810210OKC,https://www.basketball-reference.com/boxscores/pbp/201810210OKC.html,Oklahoma City Thunder,Sacramento Kings,OKC,SAC,S. Adams,W. Cauley-Stein,P. George,SAC,OKC,N. Bjelica,/players/b/bjeline01.html,OKC,W. Cauley-Stein,S. Adams,0
201810210DEN,https://www.basketball-reference.com/boxscores/pbp/201810210DEN.html,Denver Nuggets,Golden State Warriors,DEN,GSW,N. Jokić,D. Jones,P. Millsap,GSW,DEN,D. Green,/players/g/greendr01.html,DEN,D. Jones,N. Jokić,0
201810210LAC,https://www.basketball-reference.com/boxscores/pbp/201810210LAC.html,Los Angeles Clippers,Houston Rockets,LAC,HOU,M. Gortat,C. Capela,M. Gortat,LAC,HOU,D. Gallinari,/players/g/gallida01.html,LAC,M. Gortat,C. Capela,1
201810220BOS,https://www.basketball-reference.com/boxscores/pbp/201810220BOS.html,Boston Celtics,Orlando Magic,BOS,ORL,A. Horford,N. Vučević,E. Fournier,BOS,ORL,G. Hayward,/players/h/haywago01.html,ORL,A. Horford,N. Vučević,0
201810220TOR,https://www.basketball-reference.com/boxscores/pbp/201810220TOR.html,Toronto Raptors,Charlotte Hornets,TOR,CHO,S. Ibaka,C. Zeller,K. Lowry,TOR,CHO,K. Lowry,/players/l/lowryky01.html,TOR,S. Ibaka,C. Zeller,1
201810220MIL,https://www.basketball-reference.com/boxscores/pbp/201810220MIL.html,Milwaukee Bucks,New York Knicks,MIL,NYK,B. Lopez,E. Kanter,K. Middleton,MIL,NYK,G. Antetokounmpo,/players/a/antetgi01.html,MIL,B. Lopez,E. Kanter,1
201810220MIN,https://www.basketball-reference.com/boxscores/pbp/201810220MIN.html,Minnesota Timberwolves,Indiana Pacers,MIN,IND,K. Towns,M. Turner,T. Gibson,MIN,IND,T. Gibson,/players/g/gibsota01.html,MIN,K. Towns,M. Turner,1
201810220DAL,https://www.basketball-reference.com/boxscores/pbp/201810220DAL.html,Dallas Mavericks,Chicago Bulls,DAL,CHI,D. Jordan,W. Carter,W. Carter,CHI,DAL,J. Holiday,/players/h/holidju01.html,CHI,W. Carter,D. Jordan,1
201810220UTA,https://www.basketball-reference.com/boxscores/pbp/201810220UTA.html,Utah Jazz,Memphis Grizzlies,UTA,MEM,R. Gobert,M. Gasol,M. Gasol,UTA,MEM,R. Rubio,/players/r/rubiori01.html,MEM,R. Gobert,M. Gasol,0
201810220POR,https://www.basketball-reference.com/boxscores/pbp/201810220POR.html,Portland Trail Blazers,Washington Wizards,POR,WAS,J. Nurkić,I. Mahinmi,J. Layman,WAS,POR,B. Beal,/players/b/bealbr01.html,POR,I. Mahinmi,J. Nurkić,0
201810220GSW,https://www.basketball-reference.com/boxscores/pbp/201810220GSW.html,Golden State Warriors,Phoenix Suns,GSW,PHO,D. Jones,D. Ayton,D. Jones,GSW,PHO,D. Green,/players/g/greendr01.html,GSW,D. Jones,D. Ayton,1
201810220LAL,https://www.basketball-reference.com/boxscores/pbp/201810220LAL.html,Los Angeles Lakers,San Antonio Spurs,LAL,SAS,J. McGee,L. Aldridge,L. Ball,LAL,SAS,L. Ball,/players/b/balllo01.html,LAL,J. McGee,L. Aldridge,1
201810230DET,https://www.basketball-reference.com/boxscores/pbp/201810230DET.html,Detroit Pistons,Philadelphia 76ers,DET,PHI,A. Drummond,J. Embiid,M. Fultz,DET,PHI,B. Griffin,/players/g/griffbl01.html,PHI,A. Drummond,J. Embiid,0
201810230NOP,https://www.basketball-reference.com/boxscores/pbp/201810230NOP.html,New Orleans Pelicans,Los Angeles Clippers,NOP,LAC,A. Davis,M. Gortat,E. Payton,LAC,NOP,T. Harris,/players/h/harrito02.html,NOP,M. Gortat,A. Davis,0
201810230DEN,https://www.basketball-reference.com/boxscores/pbp/201810230DEN.html,Denver Nuggets,Sacramento Kings,DEN,SAC,N. Jokić,W. Cauley-Stein,P. Millsap,SAC,DEN,D. Fox,/players/f/foxde01.html,DEN,W. Cauley-Stein,N. Jokić,0
201810240ATL,https://www.basketball-reference.com/boxscores/pbp/201810240ATL.html,Atlanta Hawks,Dallas Mavericks,ATL,DAL,A. Len,D. Jordan,D. Smith,DAL,ATL,L. Dončić,/players/d/doncilu01.html,DAL,D. Jordan,A. Len,1
201810240CLE,https://www.basketball-reference.com/boxscores/pbp/201810240CLE.html,Cleveland Cavaliers,Brooklyn Nets,CLE,BRK,T. Thompson,J. Allen,C. Osman,BRK,CLE,D. Russell,/players/r/russeda01.html,CLE,J. Allen,T. Thompson,0
201810240MIA,https://www.basketball-reference.com/boxscores/pbp/201810240MIA.html,Miami Heat,New York Knicks,MIA,NYK,H. Whiteside,E. Kanter,G. Dragić,NYK,MIA,F. Ntilikina,/players/n/ntilila01.html,MIA,E. Kanter,H. Whiteside,0
201810240TOR,https://www.basketball-reference.com/boxscores/pbp/201810240TOR.html,Toronto Raptors,Minnesota Timberwolves,TOR,MIN,S. Ibaka,K. Towns,D. Green,TOR,MIN,P. Siakam,/players/s/siakapa01.html,TOR,S. Ibaka,K. Towns,1
201810240CHI,https://www.basketball-reference.com/boxscores/pbp/201810240CHI.html,Chicago Bulls,Charlotte Hornets,CHI,CHO,W. Carter,C. Zeller,N. Batum,CHO,CHI,M. Williams,/players/w/willima02.html,CHO,C. Zeller,W. Carter,1
201810240HOU,https://www.basketball-reference.com/boxscores/pbp/201810240HOU.html,Houston Rockets,Utah Jazz,HOU,UTA,C. Capela,R. Gobert,D. Mitchell,UTA,HOU,R. Rubio,/players/r/rubiori01.html,UTA,R. Gobert,C. Capela,1
201810240SAS,https://www.basketball-reference.com/boxscores/pbp/201810240SAS.html,San Antonio Spurs,Indiana Pacers,SAS,IND,J. Poeltl,M. Turner,R. Gay,SAS,IND,L. Aldridge,/players/a/aldrila01.html,SAS,J. Poeltl,M. Turner,1
201810240MIL,https://www.basketball-reference.com/boxscores/pbp/201810240MIL.html,Milwaukee Bucks,Philadelphia 76ers,MIL,PHI,B. Lopez,J. Embiid,D. Šarić,PHI,MIL,B. Simmons,/players/s/simmobe01.html,PHI,J. Embiid,B. Lopez,1
201810240PHO,https://www.basketball-reference.com/boxscores/pbp/201810240PHO.html,Phoenix Suns,Los Angeles Lakers,PHO,LAL,D. Ayton,L. Ball,J. McGee,LAL,PHO,L. Ball,/players/b/balllo01.html,LAL,L. Ball,D. Ayton,1
201810240SAC,https://www.basketball-reference.com/boxscores/pbp/201810240SAC.html,Sacramento Kings,Memphis Grizzlies,SAC,MEM,W. Cauley-Stein,M. Gasol,D. Fox,SAC,MEM,B. Hield,/players/h/hieldbu01.html,SAC,W. Cauley-Stein,M. Gasol,1
201810240GSW,https://www.basketball-reference.com/boxscores/pbp/201810240GSW.html,Golden State Warriors,Washington Wizards,GSW,WAS,D. Jones,J. Smith,K. Durant,GSW,WAS,D. Green,/players/g/greendr01.html,GSW,D. Jones,J. Smith,1
201810250DET,https://www.basketball-reference.com/boxscores/pbp/201810250DET.html,Detroit Pistons,Cleveland Cavaliers,DET,CLE,A. Drummond,T. Thompson,B. Griffin,DET,CLE,B. Griffin,/players/g/griffbl01.html,DET,A. Drummond,T. Thompson,1
201810250ORL,https://www.basketball-reference.com/boxscores/pbp/201810250ORL.html,Orlando Magic,Portland Trail Blazers,ORL,POR,N. Vučević,J. Nurkić,J. Nurkić,POR,ORL,A. Aminu,/players/a/aminual01.html,POR,J. Nurkić,N. Vučević,1
201810250OKC,https://www.basketball-reference.com/boxscores/pbp/201810250OKC.html,Oklahoma City Thunder,Boston Celtics,OKC,BOS,S. Adams,A. Horford,P. George,OKC,BOS,P. George,/players/g/georgpa01.html,OKC,S. Adams,A. Horford,1
201810250LAL,https://www.basketball-reference.com/boxscores/pbp/201810250LAL.html,Los Angeles Lakers,Denver Nuggets,LAL,DEN,J. McGee,P. Millsap,J. Murray,DEN,LAL,N. Jokić,/players/j/jokicni01.html,DEN,P. Millsap,J. McGee,1
201810260CHO,https://www.basketball-reference.com/boxscores/pbp/201810260CHO.html,Charlotte Hornets,Chicago Bulls,CHO,CHI,C. Zeller,W. Carter,Z. LaVine,CHI,CHO,C. Payne,/players/p/payneca01.html,CHI,W. Carter,C. Zeller,1
201810260NYK,https://www.basketball-reference.com/boxscores/pbp/201810260NYK.html,New York Knicks,Golden State Warriors,NYK,GSW,M. Robinson,D. Jones,T. Hardaway,NYK,GSW,F. Ntilikina,/players/n/ntilila01.html,NYK,M. Robinson,D. Jones,1
201810260TOR,https://www.basketball-reference.com/boxscores/pbp/201810260TOR.html,Toronto Raptors,Dallas Mavericks,TOR,DAL,J. Valančiūnas,D. Jordan,P. Siakam,TOR,DAL,P. Siakam,/players/s/siakapa01.html,TOR,J. Valančiūnas,D. Jordan,1
201810260HOU,https://www.basketball-reference.com/boxscores/pbp/201810260HOU.html,Houston Rockets,Los Angeles Clippers,HOU,LAC,C. Capela,M. Gortat,A. Bradley,LAC,HOU,T. Harris,/players/h/harrito02.html,LAC,M. Gortat,C. Capela,1
201810260MIN,https://www.basketball-reference.com/boxscores/pbp/201810260MIN.html,Minnesota Timberwolves,Milwaukee Bucks,MIN,MIL,K. Towns,B. Lopez,K. Middleton,MIN,MIL,T. Gibson,/players/g/gibsota01.html,MIL,K. Towns,B. Lopez,0
201810260NOP,https://www.basketball-reference.com/boxscores/pbp/201810260NOP.html,New Orleans Pelicans,Brooklyn Nets,NOP,BRK,A. Davis,J. Allen,J. Holiday,NOP,BRK,E. Payton,/players/p/paytoel01.html,NOP,A. Davis,J. Allen,1
201810260SAC,https://www.basketball-reference.com/boxscores/pbp/201810260SAC.html,Sacramento Kings,Washington Wizards,SAC,WAS,W. Cauley-Stein,O. Porter,B. Hield,SAC,WAS,D. Fox,/players/f/foxde01.html,SAC,W. Cauley-Stein,O. Porter,1
201810270DET,https://www.basketball-reference.com/boxscores/pbp/201810270DET.html,Detroit Pistons,Boston Celtics,DET,BOS,A. Drummond,A. Horford,A. Drummond,DET,BOS,B. Griffin,/players/g/griffbl01.html,DET,A. Drummond,A. Horford,1
201810270NOP,https://www.basketball-reference.com/boxscores/pbp/201810270NOP.html,New Orleans Pelicans,Utah Jazz,NOP,UTA,J. Randle,R. Gobert,J. Randle,NOP,UTA,N. Mirotić,/players/m/mirotni01.html,NOP,J. Randle,R. Gobert,1
201810270ATL,https://www.basketball-reference.com/boxscores/pbp/201810270ATL.html,Atlanta Hawks,Chicago Bulls,ATL,CHI,A. Len,W. Carter,Z. LaVine,CHI,ATL,C. Payne,/players/p/payneca01.html,CHI,W. Carter,A. Len,1
201810270CLE,https://www.basketball-reference.com/boxscores/pbp/201810270CLE.html,Cleveland Cavaliers,Indiana Pacers,CLE,IND,T. Thompson,M. Turner,R. Hood,IND,CLE,T. Young,/players/y/youngth01.html,CLE,M. Turner,T. Thompson,0
201810270PHI,https://www.basketball-reference.com/boxscores/pbp/201810270PHI.html,Philadelphia 76ers,Charlotte Hornets,PHI,CHO,J. Embiid,C. Zeller,J. Embiid,PHI,CHO,B. Simmons,/players/s/simmobe01.html,PHI,J. Embiid,C. Zeller,1
201810270MEM,https://www.basketball-reference.com/boxscores/pbp/201810270MEM.html,Memphis Grizzlies,Phoenix Suns,MEM,PHO,M. Gasol,D. Ayton,M. Conley,MEM,PHO,M. Conley,/players/c/conlemi01.html,MEM,M. Gasol,D. Ayton,1
201810270MIA,https://www.basketball-reference.com/boxscores/pbp/201810270MIA.html,Miami Heat,Portland Trail Blazers,MIA,POR,H. Whiteside,J. Nurkić,J. Layman,MIA,POR,J. Richardson,/players/r/richajo01.html,POR,H. Whiteside,J. Nurkić,0
201810270MIL,https://www.basketball-reference.com/boxscores/pbp/201810270MIL.html,Milwaukee Bucks,Orlando Magic,MIL,ORL,B. Lopez,N. Vučević,D. Augustin,ORL,MIL,J. Isaac,/players/i/isaacjo01.html,ORL,N. Vučević,B. Lopez,1
201810270SAS,https://www.basketball-reference.com/boxscores/pbp/201810270SAS.html,San Antonio Spurs,Los Angeles Lakers,SAS,LAL,L. Aldridge,J. McGee,K. Kuzma,LAL,SAS,L. Ball,/players/b/balllo01.html,LAL,J. McGee,L. Aldridge,1
201810280BRK,https://www.basketball-reference.com/boxscores/pbp/201810280BRK.html,Brooklyn Nets,Golden State Warriors,BRK,GSW,J. Allen,D. Jones,J. Allen,BRK,GSW,D. Russell,/players/r/russeda01.html,BRK,J. Allen,D. Jones,1
201810280DAL,https://www.basketball-reference.com/boxscores/pbp/201810280DAL.html,Dallas Mavericks,Utah Jazz,DAL,UTA,D. Jordan,R. Gobert,D. Mitchell,UTA,DAL,D. Mitchell,/players/m/mitchdo01.html,UTA,R. Gobert,D. Jordan,1
201810280OKC,https://www.basketball-reference.com/boxscores/pbp/201810280OKC.html,Oklahoma City Thunder,Phoenix Suns,OKC,PHO,N. Noel,D. Ayton,P. George,OKC,PHO,R. Westbrook,/players/w/westbru01.html,OKC,N. Noel,D. Ayton,1
201810280LAC,https://www.basketball-reference.com/boxscores/pbp/201810280LAC.html,Los Angeles Clippers,Washington Wizards,LAC,WAS,M. Gortat,I. Mahinmi,A. Bradley,LAC,WAS,D. Gallinari,/players/g/gallida01.html,LAC,M. Gortat,I. Mahinmi,1
201810290IND,https://www.basketball-reference.com/boxscores/pbp/201810290IND.html,Indiana Pacers,Portland Trail Blazers,IND,POR,M. Turner,J. Nurkić,J. Nurkić,POR,IND,A. Aminu,/players/a/aminual01.html,POR,J. Nurkić,M. Turner,1
201810290PHI,https://www.basketball-reference.com/boxscores/pbp/201810290PHI.html,Philadelphia 76ers,Atlanta Hawks,PHI,ATL,J. Embiid,A. Len,J. Embiid,PHI,ATL,B. Simmons,/players/s/simmobe01.html,PHI,J. Embiid,A. Len,1
201810290MIA,https://www.basketball-reference.com/boxscores/pbp/201810290MIA.html,Miami Heat,Sacramento Kings,MIA,SAC,H. Whiteside,W. Cauley-Stein,G. Dragić,SAC,MIA,D. Fox,/players/f/foxde01.html,MIA,W. Cauley-Stein,H. Whiteside,0
201810290NYK,https://www.basketball-reference.com/boxscores/pbp/201810290NYK.html,New York Knicks,Brooklyn Nets,NYK,BRK,M. Robinson,J. Allen,D. Russell,BRK,NYK,D. Russell,/players/r/russeda01.html,BRK,J. Allen,M. Robinson,1
201810290CHI,https://www.basketball-reference.com/boxscores/pbp/201810290CHI.html,Chicago Bulls,Golden State Warriors,CHI,GSW,W. Carter,D. Jones,K. Durant,GSW,CHI,S. Curry,/players/c/curryst01.html,GSW,D. Jones,W. Carter,1
201810290MIL,https://www.basketball-reference.com/boxscores/pbp/201810290MIL.html,Milwaukee Bucks,Toronto Raptors,MIL,TOR,B. Lopez,S. Ibaka,E. İlyasova,TOR,MIL,N. Powell,/players/p/powelno01.html,MIL,S. Ibaka,B. Lopez,0
201810290MIN,https://www.basketball-reference.com/boxscores/pbp/201810290MIN.html,Minnesota Timberwolves,Los Angeles Lakers,MIN,LAL,K. Towns,J. McGee,J. Butler,MIN,LAL,T. Gibson,/players/g/gibsota01.html,MIN,K. Towns,J. McGee,1
201810290SAS,https://www.basketball-reference.com/boxscores/pbp/201810290SAS.html,San Antonio Spurs,Dallas Mavericks,SAS,DAL,L. Aldridge,D. Jordan,L. Aldridge,DAL,SAS,D. Smith,/players/s/smithde03.html,SAS,D. Jordan,L. Aldridge,0
201810290DEN,https://www.basketball-reference.com/boxscores/pbp/201810290DEN.html,Denver Nuggets,New Orleans Pelicans,DEN,NOP,N. Jokić,S. Hill,N. Mirotić,NOP,DEN,S. Hill,/players/h/hillso01.html,NOP,S. Hill,N. Jokić,1
201810300CHO,https://www.basketball-reference.com/boxscores/pbp/201810300CHO.html,Charlotte Hornets,Miami Heat,CHO,MIA,C. Zeller,H. Whiteside,J. Lamb,MIA,CHO,K. Olynyk,/players/o/olynyke01.html,CHO,H. Whiteside,C. Zeller,0
201810300CLE,https://www.basketball-reference.com/boxscores/pbp/201810300CLE.html,Cleveland Cavaliers,Atlanta Hawks,CLE,ATL,T. Thompson,A. Len,G. Hill,CLE,ATL,S. Dekker,/players/d/dekkesa01.html,CLE,T. Thompson,A. Len,1
201810300ORL,https://www.basketball-reference.com/boxscores/pbp/201810300ORL.html,Orlando Magic,Sacramento Kings,ORL,SAC,N. Vučević,W. Cauley-Stein,E. Fournier,ORL,SAC,J. Isaac,/players/i/isaacjo01.html,ORL,N. Vučević,W. Cauley-Stein,1
201810300BOS,https://www.basketball-reference.com/boxscores/pbp/201810300BOS.html,Boston Celtics,Detroit Pistons,BOS,DET,A. Horford,A. Drummond,A. Drummond,DET,BOS,B. Griffin,/players/g/griffbl01.html,DET,A. Drummond,A. Horford,1
201810300TOR,https://www.basketball-reference.com/boxscores/pbp/201810300TOR.html,Toronto Raptors,Philadelphia 76ers,TOR,PHI,S. Ibaka,J. Embiid,P. Siakam,TOR,PHI,K. Leonard,/players/l/leonaka01.html,TOR,S. Ibaka,J. Embiid,1
201810300HOU,https://www.basketball-reference.com/boxscores/pbp/201810300HOU.html,Houston Rockets,Portland Trail Blazers,HOU,POR,C. Capela,J. Nurkić,D. Lillard,POR,HOU,A. Aminu,/players/a/aminual01.html,POR,J. Nurkić,C. Capela,1
201810300MEM,https://www.basketball-reference.com/boxscores/pbp/201810300MEM.html,Memphis Grizzlies,Washington Wizards,MEM,WAS,M. Gasol,I. Mahinmi,B. Beal,MEM,WAS,G. Temple,/players/t/templga01.html,WAS,M. Gasol,I. Mahinmi,0
201810300OKC,https://www.basketball-reference.com/boxscores/pbp/201810300OKC.html,Oklahoma City Thunder,Los Angeles Clippers,OKC,LAC,S. Adams,M. Gortat,P. Beverley,OKC,LAC,R. Westbrook,/players/w/westbru01.html,LAC,S. Adams,M. Gortat,0
201810310BRK,https://www.basketball-reference.com/boxscores/pbp/201810310BRK.html,Brooklyn Nets,Detroit Pistons,BRK,DET,J. Allen,A. Drummond,B. Griffin,BRK,DET,J. Dudley,/players/d/dudleja01.html,DET,J. Allen,A. Drummond,0
