Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores
200810310MIA,https://www.basketball-reference.com/boxscores/pbp/200810310MIA.html,Miami Heat,Sacramento Kings,MIA,SAC,U. Haslem,S. Hawes,U. Haslem,SAC,MIA,B. Udrih,/players/u/udrihbe01.html,MIA,SAC,S. Hawes,/players/h/hawessp01.html,U. Haslem,/players/h/hasleud01.html,0
200810310BOS,https://www.basketball-reference.com/boxscores/pbp/200810310BOS.html,Boston Celtics,Chicago Bulls,BOS,CHI,K. Perkins,D. Gooden,R. Rondo,BOS,CHI,R. Rondo,/players/r/rondora01.html,BOS,CHI,K. Perkins,/players/p/perkike01.html,D. Gooden,/players/g/goodedr01.html,1
200810310MEM,https://www.basketball-reference.com/boxscores/pbp/200810310MEM.html,Memphis Grizzlies,Orlando Magic,MEM,ORL,M. Gasol,D. Howard,M. Conley,MEM,ORL,D. Arthur,/players/a/arthuda01.html,MEM,ORL,M. Gasol,/players/g/gasolma01.html,D. Howard,/players/h/howardw01.html,1
200810310LAC,https://www.basketball-reference.com/boxscores/pbp/200810310LAC.html,Los Angeles Clippers,Denver Nuggets,LAC,DEN,C. Kaman,N. Hilário,N. Hilário,LAC,DEN,A. Thornton,/players/t/thornal01.html,DEN,LAC,C. Kaman,/players/k/kamanch01.html,N. Hilário,/players/h/hilarne01.html,0
200810310POR,https://www.basketball-reference.com/boxscores/pbp/200810310POR.html,Portland Trail Blazers,San Antonio Spurs,POR,SAS,J. Przybilla,T. Duncan,L. Aldridge,POR,SAS,L. Aldridge,/players/a/aldrila01.html,POR,SAS,J. Przybilla,/players/p/przybjo01.html,T. Duncan,/players/d/duncati01.html,1
200811010CHA,https://www.basketball-reference.com/boxscores/pbp/200811010CHA.html,Charlotte Bobcats,Miami Heat,CHA,MIA,E. Okafor,U. Haslem,J. Richardson,CHA,MIA,R. Felton,/players/f/feltora01.html,CHA,MIA,E. Okafor,/players/o/okafoem01.html,U. Haslem,/players/h/hasleud01.html,1
200811010IND,https://www.basketball-reference.com/boxscores/pbp/200811010IND.html,Indiana Pacers,Boston Celtics,IND,BOS,R. Nesterović,K. Perkins,P. Pierce,IND,BOS,M. Daniels,/players/d/daniema01.html,BOS,IND,R. Nesterović,/players/n/nestera01.html,K. Perkins,/players/p/perkike01.html,0
200811010ORL,https://www.basketball-reference.com/boxscores/pbp/200811010ORL.html,Orlando Magic,Sacramento Kings,ORL,SAC,D. Howard,S. Hawes,K. Martin,ORL,SAC,J. Nelson,/players/n/nelsoja01.html,SAC,ORL,D. Howard,/players/h/howardw01.html,S. Hawes,/players/h/hawessp01.html,0
200811010DET,https://www.basketball-reference.com/boxscores/pbp/200811010DET.html,Detroit Pistons,Washington Wizards,DET,WAS,A. Johnson,E. Thomas,R. Hamilton,WAS,DET,C. Butler,/players/b/butleca01.html,DET,WAS,E. Thomas,/players/t/thomaet01.html,A. Johnson,/players/j/johnsam01.html,0
200811010NJN,https://www.basketball-reference.com/boxscores/pbp/200811010NJN.html,New Jersey Nets,Golden State Warriors,NJN,GSW,J. Boone,A. Biedriņš,V. Carter,GSW,NJN,A. Harrington,/players/h/harrial01.html,NJN,GSW,A. Biedriņš,/players/b/biedran01.html,J. Boone,/players/b/boonejo01.html,0
