,Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores
1079,201703260ATL,https://www.basketball-reference.com/boxscores/pbp/201703260ATL.html,Atlanta Hawks,Brooklyn Nets,ATL,BRK,D. Howard,B. Lopez,D. Howard,BRK,ATL,J. Lin,/players/l/linje01.html,ATL,BRK,B. Lopez,/players/l/lopezbr01.html,D. Howard,/players/h/howardw01.html,0.0
1080,201703260CHO,https://www.basketball-reference.com/boxscores/pbp/201703260CHO.html,Charlotte Hornets,Phoenix Suns,CHO,PHO,C. Zeller,A. Len,M. Williams,CHO,PHO,M. Williams,/players/w/willima02.html,CHO,PHO,C. Zeller,/players/z/zelleco01.html,A. Len,/players/l/lenal01.html,1.0
1081,201703260HOU,https://www.basketball-reference.com/boxscores/pbp/201703260HOU.html,Houston Rockets,Oklahoma City Thunder,HOU,OKC,C. Capela,S. Adams,C. Capela,OKC,HOU,V. Oladipo,/players/o/oladivi01.html,HOU,OKC,S. Adams,/players/a/adamsst01.html,C. Capela,/players/c/capelca01.html,0.0
1082,201703260LAC,https://www.basketball-reference.com/boxscores/pbp/201703260LAC.html,Los Angeles Clippers,Sacramento Kings,LAC,SAC,D. Jordan,W. Cauley-Stein,S. Labissière,SAC,LAC,T. Evans,/players/e/evansty01.html,SAC,LAC,W. Cauley-Stein,/players/c/caulewi01.html,D. Jordan,/players/j/jordade01.html,1.0
1083,201703260MIL,https://www.basketball-reference.com/boxscores/pbp/201703260MIL.html,Milwaukee Bucks,Chicago Bulls,MIL,CHI,T. Maker,R. Lopez,R. Lopez,CHI,MIL,N. Mirotić,/players/m/mirotni01.html,CHI,MIL,R. Lopez,/players/l/lopezro01.html,T. Maker,/players/m/makerth01.html,1.0
1084,201703260BOS,https://www.basketball-reference.com/boxscores/pbp/201703260BOS.html,Boston Celtics,Miami Heat,BOS,MIA,A. Johnson,H. Whiteside,J. Crowder,MIA,BOS,L. Babbitt,/players/b/babbilu01.html,BOS,MIA,H. Whiteside,/players/w/whiteha01.html,A. Johnson,/players/j/johnsam01.html,0.0
1085,201703260IND,https://www.basketball-reference.com/boxscores/pbp/201703260IND.html,Indiana Pacers,Philadelphia 76ers,IND,PHI,M. Turner,R. Holmes,T. McConnell,IND,PHI,T. Young,/players/y/youngth01.html,PHI,IND,M. Turner,/players/t/turnemy01.html,R. Holmes,/players/h/holmeri01.html,0.0
1086,201703260DEN,https://www.basketball-reference.com/boxscores/pbp/201703260DEN.html,Denver Nuggets,New Orleans Pelicans,DEN,NOP,Nikola Jokic,Anthony Davis,Nikola Jokic,NOP,DEN,,,DEN,NOP,Anthony Davis,davisan02.html,Nikola Jokic,jokicni01.html,0.0
1087,201703260GSW,https://www.basketball-reference.com/boxscores/pbp/201703260GSW.html,Golden State Warriors,Memphis Grizzlies,GSW,MEM,Z. Pachulia,J. Green,T. Allen,MEM,GSW,M. Conley,/players/c/conlemi01.html,MEM,GSW,J. Green,/players/g/greenja01.html,Z. Pachulia,/players/p/pachuza01.html,1.0
1088,201703260LAL,https://www.basketball-reference.com/boxscores/pbp/201703260LAL.html,Los Angeles Lakers,Portland Trail Blazers,LAL,POR,I. Zubac,J. Nurkić,C. McCollum,POR,LAL,D. Lillard,/players/l/lillada01.html,POR,LAL,J. Nurkić,/players/n/nurkiju01.html,I. Zubac,/players/z/zubaciv01.html,1.0
1089,201703270NYK,https://www.basketball-reference.com/boxscores/pbp/201703270NYK.html,New York Knicks,Detroit Pistons,NYK,DET,K. Porziņģis,A. Drummond,M. Morris,DET,NYK,T. Harris,/players/h/harrito02.html,DET,NYK,A. Drummond,/players/d/drumman01.html,K. Porziņģis,/players/p/porzikr01.html,1.0
1090,201703270TOR,https://www.basketball-reference.com/boxscores/pbp/201703270TOR.html,Toronto Raptors,Orlando Magic,TOR,ORL,J. Valančiūnas,N. Vučević,T. Ross,TOR,ORL,S. Ibaka,/players/i/ibakase01.html,TOR,ORL,J. Valančiūnas,/players/v/valanjo01.html,N. Vučević,/players/v/vucevni01.html,1.0
1091,201703270SAS,https://www.basketball-reference.com/boxscores/pbp/201703270SAS.html,San Antonio Spurs,Cleveland Cavaliers,SAS,CLE,D. Dedmon,T. Thompson,D. Dedmon,SAS,CLE,T. Parker,/players/p/parketo01.html,SAS,CLE,D. Dedmon,/players/d/dedmode01.html,T. Thompson,/players/t/thomptr01.html,1.0
1092,201703270DAL,https://www.basketball-reference.com/boxscores/pbp/201703270DAL.html,Dallas Mavericks,Oklahoma City Thunder,DAL,OKC,N. Noel,S. Adams,T. Gibson,OKC,DAL,R. Westbrook,/players/w/westbru01.html,OKC,DAL,S. Adams,/players/a/adamsst01.html,N. Noel,/players/n/noelne01.html,1.0
1093,201703270SAC,https://www.basketball-reference.com/boxscores/pbp/201703270SAC.html,Sacramento Kings,Memphis Grizzlies,SAC,MEM,K. Koufos,J. Green,D. Collison,SAC,MEM,W. Cauley-Stein,/players/c/caulewi01.html,SAC,MEM,K. Koufos,/players/k/koufoko01.html,J. Green,/players/g/greenja01.html,1.0
1094,201703270UTA,https://www.basketball-reference.com/boxscores/pbp/201703270UTA.html,Utah Jazz,New Orleans Pelicans,UTA,NOP,R. Gobert,A. Davis,R. Hood,NOP,UTA,J. Holiday,/players/h/holidjr01.html,UTA,NOP,A. Davis,/players/d/davisan02.html,R. Gobert,/players/g/goberru01.html,0.0
1095,201703280CHO,https://www.basketball-reference.com/boxscores/pbp/201703280CHO.html,Charlotte Hornets,Milwaukee Bucks,CHO,MIL,C. Zeller,T. Maker,T. Snell,CHO,MIL,N. Batum,/players/b/batumni01.html,MIL,CHO,C. Zeller,/players/z/zelleco01.html,T. Maker,/players/m/makerth01.html,0.0
1096,201703280IND,https://www.basketball-reference.com/boxscores/pbp/201703280IND.html,Indiana Pacers,Minnesota Timberwolves,IND,MIN,M. Turner,K. Towns,G. Dieng,MIN,IND,R. Rubio,/players/r/rubiori01.html,MIN,IND,K. Towns,/players/t/townska01.html,M. Turner,/players/t/turnemy01.html,1.0
1097,201703280ATL,https://www.basketball-reference.com/boxscores/pbp/201703280ATL.html,Atlanta Hawks,Phoenix Suns,ATL,PHO,D. Howard,A. Len,D. Howard,ATL,PHO,D. Schröder,/players/s/schrode01.html,ATL,PHO,D. Howard,/players/h/howardw01.html,A. Len,/players/l/lenal01.html,1.0
1098,201703280BRK,https://www.basketball-reference.com/boxscores/pbp/201703280BRK.html,Brooklyn Nets,Philadelphia 76ers,BRK,PHI,B. Lopez,R. Holmes,R. Hollis-Jefferson,PHI,BRK,T. Luwawu-Cabarrot,/players/l/luwawti01.html,BRK,PHI,R. Holmes,/players/h/holmeri01.html,B. Lopez,/players/l/lopezbr01.html,0.0
