,Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores
0,201310290MIA,https://www.basketball-reference.com/boxscores/pbp/201310290MIA.html,Miami Heat,Chicago Bulls,MIA,CHI,C. Bosh,J. Noah,U. Haslem,CHI,MIA,C. Boozer,/players/b/boozeca01.html,MIA,CHI,J. Noah,/players/n/noahjo01.html,C. Bosh,/players/b/boshch01.html,0.0
1,201310290LAL,https://www.basketball-reference.com/boxscores/pbp/201310290LAL.html,Los Angeles Lakers,Los Angeles Clippers,LAL,LAC,P. Gasol,D. Jordan,S. Williams,LAL,LAC,S. Williams,/players/w/willish03.html,LAL,LAC,P. Gasol,/players/g/gasolpa01.html,D. Jordan,/players/j/jordade01.html,1.0
2,201310300CLE,https://www.basketball-reference.com/boxscores/pbp/201310300CLE.html,Cleveland Cavaliers,Brooklyn Nets,CLE,BRK,T. Thompson,B. Lopez,P. Pierce,BRK,CLE,K. Garnett,/players/g/garneke01.html,BRK,CLE,B. Lopez,/players/l/lopezbr01.html,T. Thompson,/players/t/thomptr01.html,1.0
3,201310300TOR,https://www.basketball-reference.com/boxscores/pbp/201310300TOR.html,Toronto Raptors,Boston Celtics,TOR,BOS,Jonas Valanciunas,Brandon Bass,Vitor Faverani,TOR,BOS,,,BOS,TOR,Jonas Valanciunas,valanjo01.html,Brandon Bass,bassbr01.html,0.0
4,201310300PHI,https://www.basketball-reference.com/boxscores/pbp/201310300PHI.html,Philadelphia 76ers,Miami Heat,PHI,MIA,S. Hawes,C. Bosh,M. Carter-Williams,MIA,PHI,L. James,/players/j/jamesle01.html,PHI,MIA,C. Bosh,/players/b/boshch01.html,S. Hawes,/players/h/hawessp01.html,0.0
5,201310300DET,https://www.basketball-reference.com/boxscores/pbp/201310300DET.html,Detroit Pistons,Washington Wizards,DET,WAS,A. Drummond,N. Hilário,N. Hilário,DET,WAS,W. Bynum,/players/b/bynumwi01.html,WAS,DET,A. Drummond,/players/d/drumman01.html,N. Hilário,/players/h/hilarne01.html,0.0
6,201310300NYK,https://www.basketball-reference.com/boxscores/pbp/201310300NYK.html,New York Knicks,Milwaukee Bucks,NYK,MIL,T. Chandler,L. Sanders,C. Anthony,NYK,MIL,R. Felton,/players/f/feltora01.html,NYK,MIL,T. Chandler,/players/c/chandty01.html,L. Sanders,/players/s/sandela01.html,1.0
7,201310300NOP,https://www.basketball-reference.com/boxscores/pbp/201310300NOP.html,New Orleans Pelicans,Indiana Pacers,NOP,IND,A. Davis,R. Hibbert,J. Holiday,IND,NOP,D. West,/players/w/westda01.html,NOP,IND,R. Hibbert,/players/h/hibbero01.html,A. Davis,/players/d/davisan02.html,0.0
8,201310300MIN,https://www.basketball-reference.com/boxscores/pbp/201310300MIN.html,Minnesota Timberwolves,Orlando Magic,MIN,ORL,N. Peković,N. Vučević,A. Afflalo,MIN,ORL,K. Love,/players/l/loveke01.html,ORL,MIN,N. Peković,/players/p/pekovni01.html,N. Vučević,/players/v/vucevni01.html,0.0
9,201310300HOU,https://www.basketball-reference.com/boxscores/pbp/201310300HOU.html,Houston Rockets,Charlotte Bobcats,HOU,CHA,D. Howard,J. McRoberts,K. Walker,HOU,CHA,P. Beverley,/players/b/beverpa01.html,CHA,HOU,D. Howard,/players/h/howardw01.html,J. McRoberts,/players/m/mcrobjo01.html,0.0
10,201310300SAS,https://www.basketball-reference.com/boxscores/pbp/201310300SAS.html,San Antonio Spurs,Memphis Grizzlies,SAS,MEM,T. Duncan,M. Gasol,M. Conley,MEM,SAS,M. Conley,/players/c/conlemi01.html,MEM,SAS,M. Gasol,/players/g/gasolma01.html,T. Duncan,/players/d/duncati01.html,1.0
11,201310300DAL,https://www.basketball-reference.com/boxscores/pbp/201310300DAL.html,Dallas Mavericks,Atlanta Hawks,DAL,ATL,S. Dalembert,A. Horford,A. Horford,ATL,DAL,P. Millsap,/players/m/millspa01.html,ATL,DAL,A. Horford,/players/h/horfoal01.html,S. Dalembert,/players/d/dalemsa01.html,1.0
12,201310300UTA,https://www.basketball-reference.com/boxscores/pbp/201310300UTA.html,Utah Jazz,Oklahoma City Thunder,UTA,OKC,D. Favors,S. Ibaka,D. Favors,UTA,OKC,E. Kanter,/players/k/kanteen01.html,UTA,OKC,D. Favors,/players/f/favorde01.html,S. Ibaka,/players/i/ibakase01.html,1.0
13,201310300PHO,https://www.basketball-reference.com/boxscores/pbp/201310300PHO.html,Phoenix Suns,Portland Trail Blazers,PHO,POR,M. Plumlee,R. Lopez,L. Aldridge,POR,PHO,W. Matthews,/players/m/matthwe02.html,POR,PHO,R. Lopez,/players/l/lopezro01.html,M. Plumlee,/players/p/plumlmi01.html,1.0
14,201310300SAC,https://www.basketball-reference.com/boxscores/pbp/201310300SAC.html,Sacramento Kings,Denver Nuggets,SAC,DEN,D. Cousins,J. McGee,T. Lawson,DEN,SAC,T. Lawson,/players/l/lawsoty01.html,DEN,SAC,J. McGee,/players/m/mcgeeja01.html,D. Cousins,/players/c/couside01.html,1.0
15,201310300GSW,https://www.basketball-reference.com/boxscores/pbp/201310300GSW.html,Golden State Warriors,Los Angeles Lakers,GSW,LAL,A. Bogut,P. Gasol,D. Lee,LAL,GSW,N. Young,/players/y/youngni01.html,GSW,LAL,P. Gasol,/players/g/gasolpa01.html,A. Bogut,/players/b/bogutan01.html,0.0
16,201310310CHI,https://www.basketball-reference.com/boxscores/pbp/201310310CHI.html,Chicago Bulls,New York Knicks,CHI,NYK,J. Noah,T. Chandler,T. Chandler,CHI,NYK,D. Rose,/players/r/rosede01.html,NYK,CHI,J. Noah,/players/n/noahjo01.html,T. Chandler,/players/c/chandty01.html,0.0
17,201310310LAC,https://www.basketball-reference.com/boxscores/pbp/201310310LAC.html,Los Angeles Clippers,Golden State Warriors,LAC,GSW,D. Jordan,A. Bogut,C. Paul,LAC,GSW,C. Paul,/players/p/paulch01.html,LAC,GSW,D. Jordan,/players/j/jordade01.html,A. Bogut,/players/b/bogutan01.html,1.0
