Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses,Home Glicko Mu,Away Glicko Mu,Home Glicko Sigma,Away Glicko Sigma,Home Glicko Phi,Away Glicko Phi,Home Elo,Away Elo
199802100MIL,https://www.basketball-reference.com/boxscores/pbp/199802100MIL.html,Milwaukee Bucks,Atlanta Hawks,MIL,ATL,E. Johnson,D. Mutombo,S. Smith,ATL,MIL,A. Henderson,/players/h/hendeal01.html,ATL,MIL,D. Mutombo,/players/m/mutomdi01.html,E. Johnson,/players/j/johnser02.html,1.0,28.656553624972158,29.10869349652365,1.3706536830259317,1.4692478449443613,47,49,29,34,18,14,1638.1197185626834,1941.9743656513006,0.6135499441307646,0.6096254739747782,229.6941138629933,217.50340615016086,1248.1649058732492,1269.1985452464364
199802100NJN,https://www.basketball-reference.com/boxscores/pbp/199802100NJN.html,New Jersey Nets,Dallas Mavericks,NJN,DAL,J. Williams,S. Bradley,M. Finley,DAL,NJN,M. Finley,/players/f/finlemi01.html,DAL,NJN,S. Bradley,/players/b/bradlsh01.html,J. Williams,/players/w/willija01.html,1.0,24.80747256254285,29.445115781024086,1.352356866827556,1.750501366765785,47,32,22,20,25,11,1625.3208329126273,1610.7172677939673,0.6107278570628085,0.605336715257126,243.00598965760742,212.9905553484016,1194.091433761911,1241.2229815113694
199802100NYK,https://www.basketball-reference.com/boxscores/pbp/199802100NYK.html,New York Knicks,Charlotte Hornets,NYK,CHH,C. Dudley,M. Geiger,D. Wesley,NYK,CHH,A. Houston,/players/h/houstal01.html,CHH,NYK,C. Dudley,/players/d/dudlech02.html,M. Geiger,/players/g/geigema01.html,0.0,24.75008395743357,27.46155586237232,2.2723669475909674,2.543701317109469,14,11,5,6,9,6,1560.6623849534208,1676.9093603770407,0.6067759470427753,0.6003724133192091,213.64422157572497,207.275425284878,1186.1551064066166,1207.5647381610072
199802100PHO,https://www.basketball-reference.com/boxscores/pbp/199802100PHO.html,Phoenix Suns,Sacramento Kings,PHO,SAC,A. McDyess,M. Stewart,A. Johnson,PHO,SAC,J. Kidd,/players/k/kiddja01.html,SAC,PHO,A. McDyess,/players/m/mcdyean01.html,M. Stewart,/players/s/stewami01.html,0.0,27.386592801109465,19.969235300232743,1.4066535294824176,2.046765235871859,45,25,27,5,18,21,1612.3601206194503,1225.8279911021925,0.6080039108334756,0.6007029001383904,236.06158776995807,223.1748491605892,1233.846253031158,1140.4720826114979
199802100POR,https://www.basketball-reference.com/boxscores/pbp/199802100POR.html,Portland Trail Blazers,Los Angeles Lakers,POR,LAL,A. Sabonis,S. O'Neal,R. Wallace,POR,LAL,A. Williams,/players/w/willial02.html,POR,LAL,A. Sabonis,/players/s/sabonar01.html,S. O'Neal,/players/o/onealsh01.html,1.0,28.437381017892076,30.320191829850817,1.4833546431860272,2.0363630445367553,42,21,27,16,15,6,1784.7218329646537,1923.3599355974072,0.6023783205742601,0.6089906389559552,233.10642709829983,226.2857902512547,1251.6718706050408,1249.2971486101505
199802100UTA,https://www.basketball-reference.com/boxscores/pbp/199802100UTA.html,Utah Jazz,Los Angeles Clippers,UTA,LAC,G. Ostertag,L. Wright,J. Stockton,UTA,LAC,J. Hornacek,/players/h/hornaje01.html,UTA,LAC,G. Ostertag,/players/o/ostergr01.html,L. Wright,/players/w/wrighlo02.html,1.0,24.506997196439755,19.35348808220532,1.9635650223047623,3.2424480143540513,21,9,9,2,12,8,1449.202140297116,1196.8611017756925,0.6035487281957163,0.5996086259428434,223.51540012709626,218.25395133930274,1188.250736058567,1176.6649440205751
199802110CHH,https://www.basketball-reference.com/boxscores/pbp/199802110CHH.html,Charlotte Hornets,Chicago Bulls,CHH,CHI,Matt Geiger,Luc Longley,Scottie Pippen,CHI,CHH,,,CHI,CHH,Luc Longley,/players/l/longllu01.html,Matt Geiger,/players/g/geigema01.html,1.0,26.494817969468315,25.919444583619548,2.4251879307588537,1.3669203133113934,13,48,6,25,7,22,1549.953756569709,1886.8951777916068,0.6005869616558384,0.6062639803665826,204.8424384721178,243.27693946002097,1202.2570181912622,1217.1453455750493
199802110DET,https://www.basketball-reference.com/boxscores/pbp/199802110DET.html,Detroit Pistons,Milwaukee Bucks,DET,MIL,B. Dele,E. Johnson,G. Robinson,DET,MIL,L. Hunter,/players/h/hunteli01.html,MIL,DET,B. Dele,/players/d/delebi01.html,E. Johnson,/players/j/johnser02.html,0.0,24.918589694272473,28.438447844132057,1.6754541534408491,1.3541392308895124,34,47,17,29,17,19,1471.0524068151583,1590.529881491635,0.6021499004100288,0.6131909958550871,225.55549441352142,228.96022930495067,1202.4346346005584,1243.4672350156447
199802110LAC,https://www.basketball-reference.com/boxscores/pbp/199802110LAC.html,Los Angeles Clippers,Washington Wizards,LAC,WAS,L. Wright,B. Wallace,L. Murray,WAS,LAC,T. Murray,/players/m/murratr01.html,LAC,WAS,B. Wallace,/players/w/wallabe01.html,L. Wright,/players/w/wrighlo02.html,0.0,18.763261013994384,21.793093241908956,3.092995925203364,4.651688894675008,11,4,2,1,9,2,1144.6393560147749,1343.609989615511,0.5992557998498378,0.5995045203606449,217.92809812718318,256.0141765905718,1171.831615196212,1194.635713990046
199802110LAL,https://www.basketball-reference.com/boxscores/pbp/199802110LAL.html,Los Angeles Lakers,Golden State Warriors,LAL,GSW,E. Campbell,E. Dampier,N. Van Exel,LAL,GSW,R. Fox,/players/f/foxri01.html,LAL,GSW,E. Campbell,/players/c/campbel01.html,E. Dampier,/players/d/dampier01.html,1.0,26.32055957554402,20.843711444785388,1.9331664423212271,1.4590666525106397,23,46,12,12,11,35,1494.6065314560376,1094.7014619238112,0.6064562462345566,0.6031007069503064,212.31848021666957,228.20895651019603,1204.6884468015826,1119.4098575963944
199802110MIA,https://www.basketball-reference.com/boxscores/pbp/199802110MIA.html,Miami Heat,Indiana Pacers,MIA,IND,A. Mourning,D. Davis,D. Davis,MIA,IND,J. Mashburn,/players/m/mashbja01.html,IND,MIA,A. Mourning,/players/m/mournal01.html,D. Davis,/players/d/davisda01.html,0.0,26.425780122343944,24.31290864370253,1.7901634575897338,1.4875115831571912,23,42,11,19,12,24,1778.5275181462036,1740.3553843293896,0.6062789812953526,0.6082632950979218,216.29284110892982,215.06023753077727,1203.6007292588224,1194.2617528402816
199802110MIN,https://www.basketball-reference.com/boxscores/pbp/199802110MIN.html,Minnesota Timberwolves,Orlando Magic,MIN,ORL,Stanley Roberts,Rony Seikaly,Stanley Roberts,ORL,MIN,,,MIN,ORL,Rony Seikaly,/players/s/seikaro01.html,Stanley Roberts,/players/r/roberst01.html,0.0,26.190466202741238,23.29028136232713,1.873864476184144,1.456409314841524,23,46,12,19,11,26,1653.2674183743368,1411.3820123720966,0.6044875457125362,0.5995020872584433,213.26630322565083,220.55423819002442,1210.0142374201848,1177.1610885584391
199802110PHI,https://www.basketball-reference.com/boxscores/pbp/199802110PHI.html,Philadelphia 76ers,Dallas Mavericks,PHI,DAL,Theo Ratliff,Shawn Bradley,Theo Ratliff,DAL,PHI,,,PHI,DAL,Shawn Bradley,/players/b/bradlsh01.html,Theo Ratliff,/players/r/ratlith01.html,0.0,24.331276660562864,29.636314310153146,1.9787497752551284,1.7239101467859432,20,33,9,21,11,11,1540.8312356421904,1713.495150797993,0.6041384885800416,0.6052320448454364,219.57188163152958,208.90842058268555,1194.3041260714194,1245.5488342639132
199802110SAS,https://www.basketball-reference.com/boxscores/pbp/199802110SAS.html,San Antonio Spurs,Seattle SuperSonics,SAS,SEA,D. Robinson,V. Baker,D. Schrempf,SEA,SAS,J. McIlvaine,/players/m/mcilvji01.html,SEA,SAS,V. Baker,/players/b/bakervi01.html,D. Robinson,/players/r/robinda01.html,1.0,28.791329014836514,28.11196589088367,1.4971257965041793,1.4303988669073726,47,48,32,31,15,16,1529.0401271551748,1636.067702305589,0.6085319603472605,0.6102152728514849,227.55207660689808,217.3343208628857,1258.4033831801285,1250.4098229002925
