Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses
200511010NOK,https://www.basketball-reference.com/boxscores/pbp/200511010NOK.html,New Orleans/Oklahoma City Hornets,Sacramento Kings,NOK,SAC,P. Brown,B. Miller,S. Abdur-Rahim,SAC,NOK,P. Stojaković,/players/s/stojape01.html,SAC,NOK,B. Miller,/players/m/millebr01.html,P. Brown,/players/b/brownpj01.html,1.0,25.57014030625932,21.889953739228297,1.0050750546976184,0.8940566914436074,89,148,50,52,39,95
200511010SAS,https://www.basketball-reference.com/boxscores/pbp/200511010SAS.html,San Antonio Spurs,Denver Nuggets,SAS,DEN,R. Nesterović,M. Camby,K. Martin,DEN,SAS,V. Lenard,/players/l/lenarvo01.html,DEN,SAS,M. Camby,/players/c/cambyma01.html,R. Nesterović,/players/n/nestera01.html,1.0,26.215435251785436,27.26259621033002,0.9194342166025093,0.8329639254226188,107,319,63,194,44,124
200511010PHO,https://www.basketball-reference.com/boxscores/pbp/200511010PHO.html,Phoenix Suns,Dallas Mavericks,PHO,DAL,K. Thomas,E. Dampier,K. Thomas,DAL,PHO,J. Terry,/players/t/terryja01.html,PHO,DAL,E. Dampier,/players/d/dampier01.html,K. Thomas,/players/t/thomaku01.html,0.0,25.285177047908707,26.16682180224532,0.847361090074669,0.8285295681194935,174,434,93,251,81,183
200511020CLE,https://www.basketball-reference.com/boxscores/pbp/200511020CLE.html,Cleveland Cavaliers,New Orleans/Oklahoma City Hornets,CLE,NOK,Z. Ilgauskas,P. Brown,D. West,NOK,CLE,B. Nachbar,/players/n/nachbbo01.html,NOK,CLE,P. Brown,/players/b/brownpj01.html,Z. Ilgauskas,/players/i/ilgauzy01.html,1.0,29.581078419683553,25.37788026003622,0.869067578853502,0.9990072764453303,374,90,294,50,80,39
200511020ORL,https://www.basketball-reference.com/boxscores/pbp/200511020ORL.html,Orlando Magic,Indiana Pacers,ORL,IND,D. Howard,J. O'Neal,J. O'Neal,IND,ORL,J. Tinsley,/players/t/tinslja01.html,IND,ORL,J. O'Neal,/players/o/onealje01.html,D. Howard,/players/h/howardw01.html,1.0,21.58417883619913,25.472446325518955,1.5754921523634098,0.8194939920980834,31,375,11,215,21,160
200511020TOR,https://www.basketball-reference.com/boxscores/pbp/200511020TOR.html,Toronto Raptors,Washington Wizards,TOR,WAS,C. Bosh,J. Jeffries,G. Arenas,WAS,TOR,G. Arenas,/players/a/arenagi01.html,WAS,TOR,J. Jeffries,/players/j/jeffrja01.html,C. Bosh,/players/b/boshch01.html,1.0,26.625722674400095,25.0,0.8767655988856881,8.333333333333334,141,1,85,0,56,0
200511020BOS,https://www.basketball-reference.com/boxscores/pbp/200511020BOS.html,Boston Celtics,New York Knicks,BOS,NYK,M. Blount,E. Curry,E. Curry,NYK,BOS,S. Marbury,/players/m/marbust01.html,NYK,BOS,E. Curry,/players/c/curryed01.html,M. Blount,/players/b/blounma01.html,1.0,25.042792821354134,24.70296542858994,0.8446358910537034,0.9043271395895385,203,126,107,62,96,63
200511020NJN,https://www.basketball-reference.com/boxscores/pbp/200511020NJN.html,New Jersey Nets,Milwaukee Bucks,NJN,MIL,J. Collins,A. Bogut,J. Collins,MIL,NJN,B. Simmons,/players/s/simmobo01.html,NJN,MIL,A. Bogut,/players/b/bogutan01.html,J. Collins,/players/c/collija04.html,0.0,24.83255796552562,25.0,0.8284048732058121,8.333333333333334,235,1,114,0,121,0
200511020DET,https://www.basketball-reference.com/boxscores/pbp/200511020DET.html,Detroit Pistons,Philadelphia 76ers,DET,PHI,B. Wallace,S. Hunter,R. Hamilton,DET,PHI,C. Billups,/players/b/billuch01.html,DET,PHI,B. Wallace,/players/w/wallabe01.html,S. Hunter,/players/h/huntest01.html,1.0,25.687456923264474,24.218549407964506,0.8199737793030015,1.2115442118363888,549,51,340,25,209,27
200511020MEM,https://www.basketball-reference.com/boxscores/pbp/200511020MEM.html,Memphis Grizzlies,Miami Heat,MEM,MIA,P. Gasol,S. O'Neal,J. Williams,MIA,MEM,J. Williams,/players/w/willija02.html,MIA,MEM,S. O'Neal,/players/o/onealsh01.html,P. Gasol,/players/g/gasolpa01.html,1.0,23.849142049841802,29.24385883176811,0.8322257571111042,0.8542997394100887,275,653,132,484,144,169
200511020MIN,https://www.basketball-reference.com/boxscores/pbp/200511020MIN.html,Minnesota Timberwolves,Portland Trail Blazers,MIN,POR,K. Garnett,J. Przybilla,M. Jarić,MIN,POR,M. Jarić,/players/j/jaricma01.html,MIN,POR,K. Garnett,/players/g/garneke01.html,J. Przybilla,/players/p/przybjo01.html,1.0,25.13674618169111,24.64665109300035,0.8229081346194813,0.8642768002680653,577,156,288,72,289,85
200511020CHI,https://www.basketball-reference.com/boxscores/pbp/200511020CHI.html,Chicago Bulls,Charlotte Bobcats,CHI,CHA,T. Chandler,E. Okafor,G. Wallace,CHI,CHA,C. Duhon,/players/d/duhonch01.html,CHA,CHI,T. Chandler,/players/c/chandty01.html,E. Okafor,/players/o/okafoem01.html,0.0,24.856745983320486,21.460022019571714,0.9122245077959765,1.1435532692720007,117,63,63,20,54,44
200511020HOU,https://www.basketball-reference.com/boxscores/pbp/200511020HOU.html,Houston Rockets,Sacramento Kings,HOU,SAC,Y. Ming,B. Miller,Y. Ming,HOU,SAC,J. Howard,/players/h/howarju01.html,HOU,SAC,Y. Ming,/players/m/mingya01.html,B. Miller,/players/m/millebr01.html,1.0,21.587131658107467,22.042360270598376,0.890605290425537,0.8912219531738719,145,148,49,53,96,96
200511020UTA,https://www.basketball-reference.com/boxscores/pbp/200511020UTA.html,Utah Jazz,Dallas Mavericks,UTA,DAL,G. Ostertag,E. Dampier,J. Howard,DAL,UTA,D. Nowitzki,/players/n/nowitdi01.html,DAL,UTA,E. Dampier,/players/d/dampier01.html,G. Ostertag,/players/o/ostergr01.html,1.0,25.357744591837722,26.244900878181962,0.8300765805929616,0.8283192577036832,236,435,125,252,111,183
200511020SEA,https://www.basketball-reference.com/boxscores/pbp/200511020SEA.html,Seattle SuperSonics,Los Angeles Clippers,SEA,LAC,J. Petro,C. Kaman,J. Petro,SEA,LAC,L. Ridnour,/players/r/ridnolu01.html,SEA,LAC,J. Petro,/players/p/petrojo01.html,C. Kaman,/players/k/kamanch01.html,1.0,25.0,21.38356532689076,8.333333333333334,0.9512521106345536,0,108,0,33,0,76
200511020DEN,https://www.basketball-reference.com/boxscores/pbp/200511020DEN.html,Denver Nuggets,Los Angeles Lakers,DEN,LAL,M. Camby,C. Mihm,V. Lenard,DEN,LAL,A. Miller,/players/m/millean02.html,DEN,LAL,M. Camby,/players/c/cambyma01.html,C. Mihm,/players/m/mihmch01.html,1.0,27.339643115617324,24.736309223967837,0.8327211929894371,0.8455074912079336,319,178,195,88,124,91
200511020GSW,https://www.basketball-reference.com/boxscores/pbp/200511020GSW.html,Golden State Warriors,Atlanta Hawks,GSW,ATL,A. Foyle,J. Smith,J. Johnson,ATL,GSW,Z. Pachulia,/players/p/pachuza01.html,ATL,GSW,J. Smith,/players/s/smithjo03.html,A. Foyle,/players/f/foylead01.html,1.0,25.710231130711765,24.74276116413347,0.8413429916998524,1.2516314259870889,187,45,103,21,84,23
