Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses
201112250DAL,https://www.basketball-reference.com/boxscores/pbp/201112250DAL.html,Dallas Mavericks,Miami Heat,DAL,MIA,B. Haywood,J. Anthony,L. James,DAL,MIA,J. Kidd,/players/k/kiddja01.html,MIA,DAL,B. Haywood,/players/h/haywobr01.html,J. Anthony,/players/a/anthojo01.html,0.0,21.44310925851175,21.41820469607599,0.8325902983367921,1.1423286721674117,405,61,144,19,263,43
201112250LAL,https://www.basketball-reference.com/boxscores/pbp/201112250LAL.html,Los Angeles Lakers,Chicago Bulls,LAL,CHI,P. Gasol,J. Noah,P. Gasol,CHI,LAL,C. Boozer,/players/b/boozeca01.html,LAL,CHI,J. Noah,/players/n/noahjo01.html,P. Gasol,/players/g/gasolpa01.html,0.0,24.812691666933137,26.625659306272283,0.8194222831739287,0.8456614723102113,584,200,306,121,280,78
201112250OKC,https://www.basketball-reference.com/boxscores/pbp/201112250OKC.html,Oklahoma City Thunder,Orlando Magic,OKC,ORL,S. Ibaka,D. Howard,R. Anderson,ORL,OKC,H. Türkoğlu,/players/t/turkohe01.html,ORL,OKC,D. Howard,/players/h/howardw01.html,S. Ibaka,/players/i/ibakase01.html,1.0,23.8078830185223,27.24031441988767,1.122950150413749,0.8330672314285827,60,560,28,357,32,205
201112250GSW,https://www.basketball-reference.com/boxscores/pbp/201112250GSW.html,Golden State Warriors,Los Angeles Clippers,GSW,LAC,A. Biedriņš,D. Jordan,A. Biedriņš,GSW,LAC,D. Lee,/players/l/leeda02.html,GSW,LAC,A. Biedriņš,/players/b/biedran01.html,D. Jordan,/players/j/jordade01.html,1.0,22.100900210531105,26.06850900797255,0.8421063279407054,0.9894947162853025,233,88,95,53,140,36
201112260CLE,https://www.basketball-reference.com/boxscores/pbp/201112260CLE.html,Cleveland Cavaliers,Toronto Raptors,CLE,TOR,A. Varejão,A. Bargnani,A. Bargnani,CLE,TOR,K. Irving,/players/i/irvinky01.html,TOR,CLE,A. Varejão,/players/v/varejan01.html,A. Bargnani,/players/b/bargnan01.html,0.0,23.926301657678888,21.435425215635878,1.4520439083707088,1.0006746554380959,36,89,19,29,17,61
201112260WAS,https://www.basketball-reference.com/boxscores/pbp/201112260WAS.html,Washington Wizards,New Jersey Nets,WAS,NJN,J. McGee,J. Petro,J. Wall,WAS,NJN,J. Wall,/players/w/walljo01.html,WAS,NJN,J. McGee,/players/m/mcgeeja01.html,J. Petro,/players/p/petrojo01.html,1.0,26.88592325327118,22.419793674608236,0.9466919568088963,0.914107023025664,108,116,72,46,36,71
201112260ORL,https://www.basketball-reference.com/boxscores/pbp/201112260ORL.html,Orlando Magic,Houston Rockets,ORL,HOU,D. Howard,J. Hill,J. Hill,ORL,HOU,J. Nelson,/players/n/nelsoja01.html,HOU,ORL,D. Howard,/players/h/howardw01.html,J. Hill,/players/h/hilljo01.html,0.0,27.29420792554349,19.368950940763487,0.8335674983285064,2.655825261493046,560,11,358,2,205,10
201112260IND,https://www.basketball-reference.com/boxscores/pbp/201112260IND.html,Indiana Pacers,Detroit Pistons,IND,DET,R. Hibbert,G. Monroe,D. West,IND,DET,D. West,/players/w/westda01.html,IND,DET,R. Hibbert,/players/h/hibbero01.html,G. Monroe,/players/m/monrogr01.html,1.0,23.44099399161221,16.77525186737162,0.869855946866609,3.182391553955188,146,9,67,1,79,9
201112260CHA,https://www.basketball-reference.com/boxscores/pbp/201112260CHA.html,Charlotte Bobcats,Milwaukee Bucks,CHA,MIL,D. White,A. Bogut,B. Diaw,CHA,MIL,B. Diaw,/players/d/diawbo01.html,CHA,MIL,D. White,/players/w/whitedj01.html,A. Bogut,/players/b/bogutan01.html,1.0,25.0,23.95743378633598,8.333333333333334,0.8233297518657853,0,315,0,150,0,166
201112260MIN,https://www.basketball-reference.com/boxscores/pbp/201112260MIN.html,Minnesota Timberwolves,Oklahoma City Thunder,MIN,OKC,D. Miličić,S. Ibaka,K. Love,MIN,OKC,L. Ridnour,/players/r/ridnolu01.html,MIN,OKC,D. Miličić,/players/m/milicda01.html,S. Ibaka,/players/i/ibakase01.html,1.0,24.40488706212646,23.710393422414462,0.8785718810371728,1.1171239563282624,137,60,72,28,65,33
201112260DAL,https://www.basketball-reference.com/boxscores/pbp/201112260DAL.html,Dallas Mavericks,Denver Nuggets,DAL,DEN,B. Haywood,T. Mozgov,D. Gallinari,DEN,DAL,A. Afflalo,/players/a/afflaar01.html,DEN,DAL,T. Mozgov,/players/m/mozgoti01.html,B. Haywood,/players/h/haywobr01.html,1.0,21.53063285491049,24.775515630949602,0.8321375927133658,2.2231183782200437,407,15,145,7,264,7
201112260SAS,https://www.basketball-reference.com/boxscores/pbp/201112260SAS.html,San Antonio Spurs,Memphis Grizzlies,SAS,MEM,T. Duncan,M. Gasol,D. Blair,SAS,MEM,M. Ginóbili,/players/g/ginobma01.html,SAS,MEM,T. Duncan,/players/d/duncati01.html,M. Gasol,/players/g/gasolma01.html,1.0,25.532211895762945,24.961081018501137,0.8244712848850493,0.8289723047542715,531,227,295,128,237,100
201112260PHO,https://www.basketball-reference.com/boxscores/pbp/201112260PHO.html,Phoenix Suns,New Orleans Hornets,PHO,NOH,M. Gortat,E. Okafor,S. Nash,PHO,NOH,G. Hill,/players/h/hillgr01.html,PHO,NOH,M. Gortat,/players/g/gortama01.html,E. Okafor,/players/o/okafoem01.html,1.0,23.51390849129363,23.6087217593799,2.099175611511371,0.8278965570492092,17,466,7,202,10,266
201112260POR,https://www.basketball-reference.com/boxscores/pbp/201112260POR.html,Portland Trail Blazers,Philadelphia 76ers,POR,PHI,M. Camby,S. Hawes,E. Brand,PHI,POR,E. Brand,/players/b/brandel01.html,PHI,POR,S. Hawes,/players/h/hawessp01.html,M. Camby,/players/c/cambyma01.html,1.0,27.769445657792925,23.418007931021652,0.8435222299923522,0.8539331636555293,708,182,465,80,244,101
201112260SAC,https://www.basketball-reference.com/boxscores/pbp/201112260SAC.html,Sacramento Kings,Los Angeles Lakers,SAC,LAL,D. Cousins,P. Gasol,K. Bryant,LAL,SAC,D. Fisher,/players/f/fishede01.html,LAL,SAC,P. Gasol,/players/g/gasolpa01.html,D. Cousins,/players/c/couside01.html,1.0,25.285058845669326,24.745595109400686,1.4672188249675648,0.8196497886188532,37,585,21,306,16,280
201112260GSW,https://www.basketball-reference.com/boxscores/pbp/201112260GSW.html,Golden State Warriors,Chicago Bulls,GSW,CHI,A. Biedriņš,J. Noah,R. Hamilton,CHI,GSW,C. Boozer,/players/b/boozeca01.html,CHI,GSW,J. Noah,/players/n/noahjo01.html,A. Biedriņš,/players/b/biedran01.html,1.0,22.240366317814356,26.697077046292506,0.8405352834728057,0.8453653172234444,235,201,96,122,141,78
201112270NJN,https://www.basketball-reference.com/boxscores/pbp/201112270NJN.html,New Jersey Nets,Atlanta Hawks,NJN,ATL,J. Petro,J. Smith,M. Williams,ATL,NJN,A. Horford,/players/h/horfoal01.html,ATL,NJN,J. Smith,/players/s/smithjo03.html,J. Petro,/players/p/petrojo01.html,1.0,22.36532523008466,23.740104146720892,0.9134950709582229,0.825054801846865,118,527,46,274,72,254
201112270MIA,https://www.basketball-reference.com/boxscores/pbp/201112270MIA.html,Miami Heat,Boston Celtics,MIA,BOS,J. Anthony,J. O'Neal,R. Allen,BOS,MIA,K. Garnett,/players/g/garneke01.html,BOS,MIA,J. O'Neal,/players/o/onealje01.html,J. Anthony,/players/a/anthojo01.html,1.0,21.254213456274922,25.944181756360326,1.133505083255801,0.8237743171013093,63,651,19,383,44,268
201112270MIL,https://www.basketball-reference.com/boxscores/pbp/201112270MIL.html,Milwaukee Bucks,Minnesota Timberwolves,MIL,MIN,A. Bogut,D. Miličić,S. Jackson,MIL,MIN,B. Jennings,/players/j/jennibr01.html,MIL,MIN,A. Bogut,/players/b/bogutan01.html,D. Miličić,/players/m/milicda01.html,1.0,23.909115760310627,24.494186064193432,0.8259322400189386,0.8773062559085297,316,138,150,73,166,66
201112270POR,https://www.basketball-reference.com/boxscores/pbp/201112270POR.html,Portland Trail Blazers,Sacramento Kings,POR,SAC,M. Camby,D. Cousins,M. Camby,POR,SAC,L. Aldridge,/players/a/aldrila01.html,POR,SAC,M. Camby,/players/c/cambyma01.html,D. Cousins,/players/c/couside01.html,1.0,27.623694853655685,24.998754166736916,0.8418095452818166,1.444222785842384,708,37,465,21,244,17
201112270LAL,https://www.basketball-reference.com/boxscores/pbp/201112270LAL.html,Los Angeles Lakers,Utah Jazz,LAL,UTA,P. Gasol,D. Favors,R. Bell,UTA,LAL,A. Jefferson,/players/j/jeffeal01.html,UTA,LAL,D. Favors,/players/f/favorde01.html,P. Gasol,/players/g/gasolpa01.html,1.0,24.835578575804885,20.45894937733526,0.8194332032808112,6.565352781833312,586,2,307,0,281,1
201112280TOR,https://www.basketball-reference.com/boxscores/pbp/201112280TOR.html,Toronto Raptors,Indiana Pacers,TOR,IND,A. Bargnani,R. Hibbert,A. Bargnani,IND,TOR,P. George,/players/g/georgpa01.html,TOR,IND,R. Hibbert,/players/h/hibbero01.html,A. Bargnani,/players/b/bargnan01.html,0.0,21.34641407767615,23.474356990877126,0.9974953308677952,0.8712297002739143,91,148,29,68,62,79
201112280CHA,https://www.basketball-reference.com/boxscores/pbp/201112280CHA.html,Charlotte Bobcats,Miami Heat,CHA,MIA,D. White,J. Anthony,D. White,CHA,MIA,B. Diaw,/players/d/diawbo01.html,CHA,MIA,D. White,/players/w/whitedj01.html,J. Anthony,/players/a/anthojo01.html,1.0,29.90022491366005,21.17398777367206,6.494021108186785,1.1284176820007723,1,63,1,19,0,45
201112280ATL,https://www.basketball-reference.com/boxscores/pbp/201112280ATL.html,Atlanta Hawks,Washington Wizards,ATL,WAS,J. Smith,J. McGee,M. Williams,WAS,ATL,J. Wall,/players/w/walljo01.html,ATL,WAS,J. McGee,/players/m/mcgeeja01.html,J. Smith,/players/s/smithjo03.html,0.0,23.812390273773428,26.9443115776877,0.8250613578029993,0.9454654909740475,528,110,275,73,255,36
201112280DET,https://www.basketball-reference.com/boxscores/pbp/201112280DET.html,Detroit Pistons,Cleveland Cavaliers,DET,CLE,G. Monroe,A. Varejão,G. Monroe,CLE,DET,A. Parker,/players/p/parkean01.html,DET,CLE,A. Varejão,/players/v/varejan01.html,G. Monroe,/players/m/monrogr01.html,0.0,16.33245187723945,24.113044791899075,3.0549323491813043,1.4341715433111442,11,38,1,20,10,17
201112280NOH,https://www.basketball-reference.com/boxscores/pbp/201112280NOH.html,New Orleans Hornets,Boston Celtics,NOH,BOS,E. Okafor,J. O'Neal,R. Allen,NOH,BOS,J. Jack,/players/j/jackja01.html,BOS,NOH,E. Okafor,/players/o/okafoem01.html,J. O'Neal,/players/o/onealje01.html,0.0,23.524078739759226,25.98675764222611,0.8278406930665277,0.8248343736236533,467,651,202,384,266,269
201112280MEM,https://www.basketball-reference.com/boxscores/pbp/201112280MEM.html,Memphis Grizzlies,Oklahoma City Thunder,MEM,OKC,M. Gasol,S. Ibaka,S. Ibaka,MEM,OKC,M. Conley,/players/c/conlemi01.html,OKC,MEM,M. Gasol,/players/g/gasolma01.html,S. Ibaka,/players/i/ibakase01.html,0.0,24.879583735780557,23.566508603411116,0.8286658168163845,1.1095547738999934,228,61,128,28,100,34
201112280SAS,https://www.basketball-reference.com/boxscores/pbp/201112280SAS.html,San Antonio Spurs,Los Angeles Clippers,SAS,LAC,T. Duncan,D. Jordan,C. Butler,LAC,SAS,C. Paul,/players/p/paulch01.html,LAC,SAS,D. Jordan,/players/j/jordade01.html,T. Duncan,/players/d/duncati01.html,1.0,25.612835409415485,25.87646578814519,0.8242595464199309,0.9838010745063753,533,90,296,53,238,36
201112280PHO,https://www.basketball-reference.com/boxscores/pbp/201112280PHO.html,Phoenix Suns,Philadelphia 76ers,PHO,PHI,M. Gortat,S. Hawes,J. Meeks,PHO,PHI,S. Nash,/players/n/nashst01.html,PHI,PHO,M. Gortat,/players/g/gortama01.html,S. Hawes,/players/h/hawessp01.html,0.0,24.053471779080432,23.567343724210442,2.031633616090809,0.8519541323347382,18,182,8,81,10,102
201112280DEN,https://www.basketball-reference.com/boxscores/pbp/201112280DEN.html,Denver Nuggets,Utah Jazz,DEN,UTA,T. Mozgov,D. Favors,A. Jefferson,UTA,DEN,D. Harris,/players/h/harride01.html,UTA,DEN,D. Favors,/players/f/favorde01.html,T. Mozgov,/players/m/mozgoti01.html,1.0,25.159297938949,25.822134502381438,2.159217758057826,5.1621906105728375,16,3,8,1,8,1
