Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses,Home Glicko Mu,Away Glicko Mu,Home Glicko Sigma,Away Glicko Sigma,Home Glicko Phi,Away Glicko Phi,Home Elo,Away Elo
201410280SAS,https://www.basketball-reference.com/boxscores/pbp/201410280SAS.html,San Antonio Spurs,Dallas Mavericks,SAS,DAL,T. Duncan,T. Chandler,D. Green,SAS,DAL,T. Parker,/players/p/parketo01.html,SAS,DAL,T. Duncan,/players/d/duncati01.html,T. Chandler,/players/c/chandty01.html,1.0,25.891761976310004,25.283738874008183,0.8255467689338203,0.8275748746927948,787,686,457,398,331,289,1406.7223426498597,1378.3332605691596,0.8066059494900208,0.7054947523392336,245.5978545336848,233.55827180768227,1338.7869013335235,1310.6020431674362
201410280LAL,https://www.basketball-reference.com/boxscores/pbp/201410280LAL.html,Los Angeles Lakers,Houston Rockets,LAL,HOU,J. Hill,D. Howard,D. Howard,LAL,HOU,C. Boozer,/players/b/boozeca01.html,HOU,LAL,J. Hill,/players/h/hilljo01.html,D. Howard,/players/h/howardw01.html,0.0,21.74728109776943,27.24061306350725,1.5919167400279164,0.8468584019401276,31,768,10,503,21,269,1369.1001268687144,1664.8640721849326,0.6028262219879141,0.7345384921275011,232.15160957230782,280.7006080663131,1179.9274848706382,1391.9508530429073
201410290CHO,https://www.basketball-reference.com/boxscores/pbp/201410290CHO.html,Charlotte Hornets,Milwaukee Bucks,CHO,MIL,A. Jefferson,L. Sanders,K. Middleton,CHO,MIL,K. Walker,/players/w/walkeke02.html,MIL,CHO,A. Jefferson,/players/j/jeffeal01.html,L. Sanders,/players/s/sandela01.html,0.0,22.67410772064375,23.53836779613834,0.834742877015139,0.9990252251744904,429,82,178,40,252,44,1556.20174293637,1515.732327512416,0.6740085934169915,0.604128234324974,242.41240273839298,209.7561172781853,1201.163048580493,1229.7440826150391
201410290IND,https://www.basketball-reference.com/boxscores/pbp/201410290IND.html,Indiana Pacers,Philadelphia 76ers,IND,PHI,R. Hibbert,N. Noel,T. Wroten,IND,PHI,L. Scola,/players/s/scolalu01.html,PHI,IND,R. Hibbert,/players/h/hibbero01.html,N. Noel,/players/n/noelne01.html,0.0,22.672824031714807,25.0,0.8266171349551336,8.333333333333334,415,0,182,0,233,1,1514.138595487102,1500.0,0.6840782127012491,0.6,239.6162992772353,500.0,1204.6530542693351,1200.0
201410290TOR,https://www.basketball-reference.com/boxscores/pbp/201410290TOR.html,Toronto Raptors,Atlanta Hawks,TOR,ATL,J. Valančiūnas,A. Horford,D. DeRozan,ATL,TOR,D. Carroll,/players/c/carrode01.html,TOR,ATL,A. Horford,/players/h/horfoal01.html,J. Valančiūnas,/players/v/valanjo01.html,0.0,22.81306949443531,20.957294732211984,0.8877021929649052,1.2319312580970454,133,53,61,17,72,35,1152.1546312392827,1368.3284331399095,0.6215167605925518,0.6090080337154069,229.00227196026142,260.066006036164,1197.8057688482534,1150.4545930067748
201410290MIA,https://www.basketball-reference.com/boxscores/pbp/201410290MIA.html,Miami Heat,Washington Wizards,MIA,WAS,C. Bosh,M. Gortat,C. Bosh,MIA,WAS,N. Cole,/players/c/coleno01.html,MIA,WAS,C. Bosh,/players/b/boshch01.html,M. Gortat,/players/g/gortama01.html,1.0,25.914099626234925,24.68980910680109,0.8235674708396731,0.8294817084261851,697,229,403,116,294,114,1750.5236955477435,1860.0947959375485,0.7383901876432674,0.6507612317898775,237.41987490723037,221.56827171387417,1335.4035188081427,1288.5258885410133
201410290BOS,https://www.basketball-reference.com/boxscores/pbp/201410290BOS.html,Boston Celtics,Brooklyn Nets,BOS,BRK,K. Olynyk,M. Plumlee,D. Williams,BRK,BOS,K. Garnett,/players/g/garneke01.html,BRK,BOS,M. Plumlee,/players/p/plumlma01.html,K. Olynyk,/players/o/olynyke01.html,1.0,17.556106897850224,21.77049742440837,3.6854380353267087,1.8499968898586097,7,22,1,8,6,13,1389.633805936253,1494.664219483168,0.6027267047283341,0.6014559540797465,314.48278056381815,213.17018536801982,1182.2729757489958,1189.7402616058987
201410290NYK,https://www.basketball-reference.com/boxscores/pbp/201410290NYK.html,New York Knicks,Chicago Bulls,NYK,CHI,S. Dalembert,P. Gasol,S. Larkin,NYK,CHI,S. Larkin,/players/l/larkish01.html,NYK,CHI,S. Dalembert,/players/d/dalemsa01.html,P. Gasol,/players/g/gasolpa01.html,1.0,28.46325459586537,25.292055663146066,0.8495746496494495,0.8242811621891016,690,649,458,347,233,305,2009.475630950812,1521.144372786257,0.7758377295028869,0.772317822698986,285.9779343902991,227.6953089929079,1455.2748461973433,1300.779770195724
201410290MEM,https://www.basketball-reference.com/boxscores/pbp/201410290MEM.html,Memphis Grizzlies,Minnesota Timberwolves,MEM,MIN,M. Gasol,N. Peković,C. Brewer,MEM,MIN,Z. Randolph,/players/r/randoza01.html,MIN,MEM,M. Gasol,/players/g/gasolma01.html,N. Peković,/players/p/pekovni01.html,0.0,26.17044577145521,23.490032551494497,0.8350396902306209,0.8693992767897541,457,157,285,78,173,80,1657.770746781394,1594.5864446847008,0.6959876861331511,0.6126899598352126,230.96131600198999,224.36945487078575,1351.474229745711,1223.0769262925407
201410290DEN,https://www.basketball-reference.com/boxscores/pbp/201410290DEN.html,Denver Nuggets,Detroit Pistons,DEN,DET,T. Mozgov,A. Drummond,K. Faried,DET,DEN,K. Caldwell-Pope,/players/c/caldwke01.html,DEN,DET,A. Drummond,/players/d/drumman01.html,T. Mozgov,/players/m/mozgoti01.html,0.0,23.924052564632373,26.49867903508118,0.9871161843144836,1.0151716292182318,84,91,39,61,45,29,1364.745246101067,1545.1035721121646,0.6151497897461911,0.6203450500217755,218.38788909038425,251.45906198356332,1232.1362956423611,1309.2153404601142
