Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses,Home Glicko Mu,Away Glicko Mu,Home Glicko Sigma,Away Glicko Sigma,Home Glicko Phi,Away Glicko Phi,Home Elo,Away Elo
201510270ATL,https://www.basketball-reference.com/boxscores/pbp/201510270ATL.html,Atlanta Hawks,Detroit Pistons,ATL,DET,A. Horford,A. Drummond,M. Morris,DET,ATL,E. İlyasova,/players/i/ilyaser01.html,DET,ATL,A. Drummond,/players/d/drumman01.html,A. Horford,/players/h/horfoal01.html,1.0,22.920179376226958,27.02322210350827,0.8803827203511234,0.8825773324456591,139,172,59,120,81,51,1505.837194877749,1990.1098674501425,0.6151450876003757,0.6221437001680339,214.5359604355952,221.0961444135229,1208.2375711112995,1367.1750910471353
201510270GSW,https://www.basketball-reference.com/boxscores/pbp/201510270GSW.html,Golden State Warriors,New Orleans Pelicans,GSW,NOP,A. Bogut,A. Davis,D. Green,NOP,GSW,N. Robinson,/players/r/robinna01.html,GSW,NOP,A. Davis,/players/d/davisan02.html,A. Bogut,/players/b/bogutan01.html,0.0,24.726931524185613,23.277688200880316,0.8221631875315129,0.8781192766827769,521,142,260,65,261,76,1687.3157997694525,1499.269596246192,0.6775255583311698,0.6179471228068432,278.6380899812254,221.0688683633596,1283.611716135524,1217.2029309851134
201510280ORL,https://www.basketball-reference.com/boxscores/pbp/201510280ORL.html,Orlando Magic,Washington Wizards,ORL,WAS,N. Vučević,M. Gortat,T. Harris,WAS,ORL,J. Wall,/players/w/walljo01.html,ORL,WAS,M. Gortat,/players/g/gortama01.html,N. Vučević,/players/v/vucevni01.html,0.0,22.420228578614633,25.125811612967592,0.845456345922504,0.8270789662131405,207,322,82,173,125,148,1875.528071223228,1658.0924352039965,0.6401252731893489,0.6590806769727806,231.1816237017641,221.22372407547272,1206.487276143237,1308.5631215464828
201510280BOS,https://www.basketball-reference.com/boxscores/pbp/201510280BOS.html,Boston Celtics,Philadelphia 76ers,BOS,PHI,T. Zeller,N. Noel,J. Crowder,BOS,PHI,D. Lee,/players/l/leeda02.html,BOS,PHI,T. Zeller,/players/z/zellety01.html,N. Noel,/players/n/noelne01.html,1.0,20.54700318453711,22.105431741163336,0.9827319269960909,1.053736433938333,92,71,31,32,61,40,1278.7537447032014,1518.9453338378933,0.6088927104823335,0.6153543677035878,212.19085380155445,209.20983027243983,1137.4479486897142,1192.8159801595923
201510280BRK,https://www.basketball-reference.com/boxscores/pbp/201510280BRK.html,Brooklyn Nets,Chicago Bulls,BRK,CHI,B. Lopez,P. Gasol,N. Mirotić,BRK,CHI,T. Young,/players/y/youngth01.html,CHI,BRK,B. Lopez,/players/l/lopezbr01.html,P. Gasol,/players/g/gasolpa01.html,0.0,24.79179018303133,24.478480607198183,0.8248775152059388,0.8212868388474738,373,735,194,391,180,347,1217.900424461796,1725.5523152213666,0.6772358908469596,0.7963129470296907,216.8204070882144,253.7558327777613,1292.142071531246,1267.57817225129
201510280DET,https://www.basketball-reference.com/boxscores/pbp/201510280DET.html,Detroit Pistons,Utah Jazz,DET,UTA,Andre Drummond,Rudy Gobert,Gordon Hayward,UTA,DET,,,UTA,DET,Rudy Gobert,/players/g/goberru01.html,Andre Drummond,/players/d/drumman01.html,1.0,27.077362947483458,23.266239859350833,0.8823808663032794,1.3984330096000936,173,38,121,17,52,20,2013.6049582924493,1533.0099055084331,0.6218940711850183,0.6084179304929493,233.2369373932413,236.0063424427505,1370.0350364049398,1204.280513412982
201510280TOR,https://www.basketball-reference.com/boxscores/pbp/201510280TOR.html,Toronto Raptors,Indiana Pacers,TOR,IND,J. Valančiūnas,I. Mahinmi,J. Valančiūnas,TOR,IND,K. Lowry,/players/l/lowryky01.html,TOR,IND,J. Valančiūnas,/players/v/valanjo01.html,I. Mahinmi,/players/m/mahinia01.html,1.0,22.123214955686,21.41748028710481,0.8329750639745173,1.8263541045822855,216,21,94,7,123,15,1540.70037931987,1326.032855834468,0.6455496211228904,0.6047773102025401,217.9260035526461,215.6785246535717,1172.8380844352166,1183.8741965984657
201510280MIA,https://www.basketball-reference.com/boxscores/pbp/201510280MIA.html,Miami Heat,Charlotte Hornets,MIA,CHO,H. Whiteside,A. Jefferson,C. Bosh,MIA,CHO,C. Bosh,/players/b/boshch01.html,MIA,CHO,H. Whiteside,/players/w/whiteha01.html,A. Jefferson,/players/j/jeffeal01.html,1.0,19.631167996299308,22.7391903688052,1.5596578769460838,0.8282254915141889,31,459,9,192,22,269,1186.4521292579295,1344.5686517754243,0.6025243003927642,0.6774711371786978,238.1605008573812,232.7076239638766,1151.1688942406,1202.6061289605675
201510280MIL,https://www.basketball-reference.com/boxscores/pbp/201510280MIL.html,Milwaukee Bucks,New York Knicks,MIL,NYK,G. Monroe,R. Lopez,R. Lopez,NYK,MIL,K. Porziņģis,/players/p/porzikr01.html,NYK,MIL,R. Lopez,/players/l/lopezro01.html,G. Monroe,/players/m/monrogr01.html,1.0,19.778971746117065,21.544647705979774,0.9250241507343383,0.8337463608428712,133,330,39,129,94,200,1102.536305023976,1208.5355773895765,0.6198675586135516,0.6586723397421835,258.1007143363995,225.0662717260664,1102.8927921109062,1145.2590655779288
201510280OKC,https://www.basketball-reference.com/boxscores/pbp/201510280OKC.html,Oklahoma City Thunder,San Antonio Spurs,OKC,SAS,S. Adams,T. Duncan,A. Roberson,OKC,SAS,A. Roberson,/players/r/roberan03.html,OKC,SAS,S. Adams,/players/a/adamsst01.html,T. Duncan,/players/d/duncati01.html,1.0,28.877128650661135,27.069962493709642,1.1467721505657154,0.8309793513738232,69,871,54,518,16,355,2153.1380513235417,2194.8196674425108,0.6083826574067008,0.8542165473138941,272.7917430604384,257.9458477448711,1355.6673265743354,1398.0976821571314
201510280MEM,https://www.basketball-reference.com/boxscores/pbp/201510280MEM.html,Memphis Grizzlies,Cleveland Cavaliers,MEM,CLE,M. Gasol,T. Mozgov,C. Lee,MEM,CLE,M. Conley,/players/c/conlemi01.html,MEM,CLE,M. Gasol,/players/g/gasolma01.html,T. Mozgov,/players/m/mozgoti01.html,1.0,25.81234907895714,23.014479193317374,0.8247120700596648,0.8420796080762396,547,181,341,84,207,98,1621.2723573184292,1365.1916630794665,0.7335371617893887,0.6529979869843132,233.7248438799604,266.5703496741999,1328.7308685477522,1208.9605350509198
201510280HOU,https://www.basketball-reference.com/boxscores/pbp/201510280HOU.html,Houston Rockets,Denver Nuggets,HOU,DEN,C. Capela,J. Lauvergne,G. Harris,HOU,DEN,J. Harden,/players/h/hardeja01.html,DEN,HOU,C. Capela,/players/c/capelca01.html,J. Lauvergne,/players/l/lauvejo01.html,0.0,25.0,28.211607442905734,8.333333333333334,6.94269338685286,0,1,0,1,0,1,1500.0,1651.4659359702343,0.6,0.5997533991657426,500.0,351.2746396343911,1200.0,1204.7548715322655
201510280PHO,https://www.basketball-reference.com/boxscores/pbp/201510280PHO.html,Phoenix Suns,Dallas Mavericks,PHO,DAL,T. Chandler,Z. Pachulia,D. Williams,DAL,PHO,D. Nowitzki,/players/n/nowitdi01.html,DAL,PHO,Z. Pachulia,/players/p/pachuza01.html,T. Chandler,/players/c/chandty01.html,1.0,24.395459248926773,22.355672701125354,0.8180082846627975,0.9124091597161078,767,119,437,48,330,71,1548.464073584977,1541.9393556814805,0.7308017785472606,0.6220857417064225,242.63993899788,217.31280283779307,1264.8046067170255,1175.387171178813
201510280POR,https://www.basketball-reference.com/boxscores/pbp/201510280POR.html,Portland Trail Blazers,New Orleans Pelicans,POR,NOP,M. Plumlee,A. Davis,A. Aminu,POR,NOP,D. Lillard,/players/l/lillada01.html,POR,NOP,M. Plumlee,/players/p/plumlma01.html,A. Davis,/players/d/davisan02.html,1.0,22.792167352424354,23.394576309658802,1.1022232093247037,0.8761709169365989,65,142,29,66,36,77,1537.6621526770489,1644.792673221227,0.6096003219706824,0.6183654543501799,210.4556588694521,220.7844810686068,1205.1685350900568,1223.1471591872173
201510280SAC,https://www.basketball-reference.com/boxscores/pbp/201510280SAC.html,Sacramento Kings,Los Angeles Clippers,SAC,LAC,K. Koufos,D. Jordan,L. Stephenson,LAC,SAC,B. Griffin,/players/g/griffbl01.html,LAC,SAC,D. Jordan,/players/j/jordade01.html,K. Koufos,/players/k/koufoko01.html,1.0,26.09322757188846,26.608028369500865,0.8866005106536623,0.8361179514151229,141,444,88,298,53,148,1883.436622309464,1643.2146075346516,0.6281271844196472,0.6940847795917678,221.4213094414752,231.96089888367985,1338.6294876194172,1364.555676529934
201510280LAL,https://www.basketball-reference.com/boxscores/pbp/201510280LAL.html,Los Angeles Lakers,Minnesota Timberwolves,LAL,MIN,R. Hibbert,K. Towns,R. Rubio,MIN,LAL,K. Garnett,/players/g/garneke01.html,MIN,LAL,K. Towns,/players/t/townska01.html,R. Hibbert,/players/h/hibbero01.html,1.0,23.15784614123641,25.0,0.8251342198681553,8.333333333333334,492,1,224,0,269,0,1263.6031318281125,1500.0,0.6958328299690689,0.6,258.3333766096136,500.0,1230.7652972949338,1200.0
201510290IND,https://www.basketball-reference.com/boxscores/pbp/201510290IND.html,Indiana Pacers,Memphis Grizzlies,IND,MEM,I. Mahinmi,M. Gasol,C. Lee,MEM,IND,T. Allen,/players/a/allento01.html,MEM,IND,M. Gasol,/players/g/gasolma01.html,I. Mahinmi,/players/m/mahinia01.html,1.0,21.04312480656948,25.870979943160116,1.7837044573016851,0.825124437993267,23,549,7,342,16,207,1268.1940274081246,1682.1438285536526,0.6044047571970614,0.7329719387541207,214.40998035013425,237.76563753890176,1178.7154275723133,1332.072415193199
201510290NYK,https://www.basketball-reference.com/boxscores/pbp/201510290NYK.html,New York Knicks,Atlanta Hawks,NYK,ATL,R. Lopez,A. Horford,K. Bazemore,ATL,NYK,J. Teague,/players/t/teaguje01.html,ATL,NYK,A. Horford,/players/h/horfoal01.html,R. Lopez,/players/l/lopezro01.html,1.0,21.614454082347475,22.866305073882476,0.833692505545727,0.8802264446588964,331,140,130,59,201,81,1292.463493572364,1483.1946809294666,0.6583085000576616,0.6149034562721467,221.50134178247964,227.7620057569616,1149.652369971551,1205.377625753495
201510290LAC,https://www.basketball-reference.com/boxscores/pbp/201510290LAC.html,Los Angeles Clippers,Dallas Mavericks,LAC,DAL,D. Jordan,Z. Pachulia,J. Redick,LAC,DAL,B. Griffin,/players/g/griffbl01.html,LAC,DAL,D. Jordan,/players/j/jordade01.html,Z. Pachulia,/players/p/pachuza01.html,1.0,26.69142350840641,22.490267465831113,0.8356581914085306,0.9094406669103402,444,119,299,49,148,72,1833.5116253914225,1646.2943773636923,0.6951208880444358,0.6219483189581482,231.16591201591928,212.3445395745484,1369.1832596755096,1181.6463132190277
201510300CLE,https://www.basketball-reference.com/boxscores/pbp/201510300CLE.html,Cleveland Cavaliers,Miami Heat,CLE,MIA,Timofey Mozgov,Hassan Whiteside,Dwyane Wade,CLE,MIA,,,MIA,CLE,Timofey Mozgov,/players/m/mozgoti01.html,Hassan Whiteside,/players/w/whiteha01.html,0.0,22.95337814433611,20.05770957810216,0.8421635585496678,1.528158843007605,182,32,84,10,98,23,1296.4133761405824,1347.0059707261698,0.652577046565573,0.6028306210355548,251.95420955145232,226.59721654977272,1205.618988405473,1156.903774277421
201510300PHI,https://www.basketball-reference.com/boxscores/pbp/201510300PHI.html,Philadelphia 76ers,Utah Jazz,PHI,UTA,N. Noel,R. Gobert,R. Hood,UTA,PHI,R. Hood,/players/h/hoodro01.html,UTA,PHI,R. Gobert,/players/g/goberru01.html,N. Noel,/players/n/noelne01.html,1.0,21.93703494330038,23.63618201306441,1.0469842893223025,1.3758006397491962,73,39,32,18,41,20,1356.288132392083,1781.1449993463586,0.6161932935572783,0.6102772372847198,211.865981410126,243.7905243784882,1187.0258476385416,1211.5000230555524
201510300ORL,https://www.basketball-reference.com/boxscores/pbp/201510300ORL.html,Orlando Magic,Oklahoma City Thunder,ORL,OKC,N. Vučević,S. Adams,S. Ibaka,OKC,ORL,S. Ibaka,/players/i/ibakase01.html,OKC,ORL,S. Adams,/players/a/adamsst01.html,N. Vučević,/players/v/vucevni01.html,1.0,22.357758635690388,29.00724886749182,0.8454466295037457,1.1390444622690545,208,71,82,55,126,16,1697.78292028977,2299.6998260410933,0.6408268789284607,0.6083019193894925,226.4352645459132,245.42266342826025,1202.9154093495133,1361.274930798195
201510300BOS,https://www.basketball-reference.com/boxscores/pbp/201510300BOS.html,Boston Celtics,Toronto Raptors,BOS,TOR,T. Zeller,J. Valančiūnas,M. Smart,BOS,TOR,M. Smart,/players/s/smartma01.html,BOS,TOR,T. Zeller,/players/z/zellety01.html,J. Valančiūnas,/players/v/valanjo01.html,1.0,20.693606546659964,22.20170237801294,0.9781066661355337,0.8328977279586547,93,217,32,95,61,124,1444.565189720315,1600.5235221450178,0.6097072328715182,0.6450963432825002,213.31432880854007,217.96535479110244,1143.2380812107651,1177.9968534613693
201510300DET,https://www.basketball-reference.com/boxscores/pbp/201510300DET.html,Detroit Pistons,Chicago Bulls,DET,CHI,A. Drummond,P. Gasol,P. Gasol,DET,CHI,E. İlyasova,/players/i/ilyaser01.html,CHI,DET,A. Drummond,/players/d/drumman01.html,P. Gasol,/players/g/gasolpa01.html,0.0,26.929288686811677,24.395722550970934,0.8799821800790573,0.8210749876789677,173,736,121,391,52,348,1769.3158140346625,1406.7277568794825,0.6238634250338585,0.8008344740906331,242.51465232982272,270.71358279352626,1362.8155267623697,1262.931087350138
201510300ATL,https://www.basketball-reference.com/boxscores/pbp/201510300ATL.html,Atlanta Hawks,Charlotte Hornets,ATL,CHO,A. Horford,A. Jefferson,N. Batum,CHO,ATL,N. Batum,/players/b/batumni01.html,CHO,ATL,A. Jefferson,/players/j/jeffeal01.html,A. Horford,/players/h/horfoal01.html,1.0,22.949935040998692,22.618036752790655,0.8790340206425148,0.8273419730324736,141,461,60,192,82,269,1550.1183815357108,1184.5033072045544,0.6145218388833378,0.6778970316985791,221.5894720229692,227.4166266983996,1209.5824815571684,1196.8712489237464
201510300MIL,https://www.basketball-reference.com/boxscores/pbp/201510300MIL.html,Milwaukee Bucks,Washington Wizards,MIL,WAS,G. Monroe,M. Gortat,M. Gortat,WAS,MIL,K. Humphries,/players/h/humphkr01.html,WAS,MIL,M. Gortat,/players/g/gortama01.html,G. Monroe,/players/m/monrogr01.html,1.0,19.69320347772383,25.185621145163644,0.9230358597092753,0.827419753450741,134,323,39,174,95,148,1003.7939913171444,1825.434493764711,0.6195311899123604,0.6598457336908019,236.038024251273,221.80770053538745,1098.4994877172835,1312.1349883402063
201510300SAS,https://www.basketball-reference.com/boxscores/pbp/201510300SAS.html,San Antonio Spurs,Brooklyn Nets,SAS,BRK,T. Duncan,B. Lopez,T. Young,BRK,SAS,J. Jack,/players/j/jackja01.html,BRK,SAS,B. Lopez,/players/l/lopezbr01.html,T. Duncan,/players/d/duncati01.html,1.0,27.001314249213706,24.87526606923192,0.8310365155181364,0.8245895489979194,873,375,518,195,356,180,2046.4244840587755,1442.4961508248734,0.8540015492370661,0.6797984979679567,250.0775745800671,235.0329250921272,1392.490077933272,1296.7891564323982
201510300DEN,https://www.basketball-reference.com/boxscores/pbp/201510300DEN.html,Denver Nuggets,Minnesota Timberwolves,DEN,MIN,J. Lauvergne,K. Towns,R. Rubio,DEN,MIN,K. Faried,/players/f/farieke01.html,MIN,DEN,J. Lauvergne,/players/l/lauvejo01.html,K. Towns,/players/t/townska01.html,0.0,24.47548303825767,29.590667298234635,6.1606932836305255,6.555119129559267,2,1,1,1,1,1,1456.7611251806002,1650.8856327388587,0.5998099602423236,0.5997693464359969,321.3993388309478,361.91365013068815,1199.6864477021204,1205.4415946342408
201510300HOU,https://www.basketball-reference.com/boxscores/pbp/201510300HOU.html,Houston Rockets,Golden State Warriors,HOU,GSW,D. Howard,F. Ezeli,F. Ezeli,GSW,HOU,D. Green,/players/g/greendr01.html,GSW,HOU,F. Ezeli,/players/e/ezelife01.html,D. Howard,/players/h/howardw01.html,1.0,26.649392964551023,25.242359339737686,0.8324542915515963,1.2840640246678119,827,49,537,29,293,20,1636.935505092989,1624.470934777595,0.751409832867559,0.6039805510130086,241.7968208273148,205.8138012845532,1357.5273222818764,1245.2571696397893
201510300SAC,https://www.basketball-reference.com/boxscores/pbp/201510300SAC.html,Sacramento Kings,Los Angeles Lakers,SAC,LAL,W. Cauley-Stein,R. Hibbert,R. Gay,LAL,SAC,J. Randle,/players/r/randlju01.html,SAC,LAL,R. Hibbert,/players/h/hibbero01.html,W. Cauley-Stein,/players/c/caulewi01.html,0.0,25.0,23.112383849422752,8.333333333333334,0.8277643180180478,1,493,0,224,1,269,1500.0,1193.9138582153744,0.6,0.6955956163372325,500.0,263.8474771436567,1200.0,1225.323702660693
201510300PHO,https://www.basketball-reference.com/boxscores/pbp/201510300PHO.html,Phoenix Suns,Portland Trail Blazers,PHO,POR,T. Chandler,M. Plumlee,D. Lillard,PHO,POR,E. Bledsoe,/players/b/bledser01.html,POR,PHO,T. Chandler,/players/c/chandty01.html,M. Plumlee,/players/p/plumlma01.html,0.0,24.287056446763756,22.957176420426027,0.8173550183220838,1.094355320544716,767,66,437,30,330,37,1421.4975483754392,1664.222631458804,0.7305150972594264,0.6097777581219926,229.7195102922031,207.4775233700193,1258.5454646768112,1210.4270375982355
