Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Home Tipper Link,Away Tipper,Away Tipper Link,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses,Home Glicko Mu,Away Glicko Mu,Home Glicko Sigma,Away Glicko Sigma,Home Glicko Phi,Away Glicko Phi,Home Elo,Away Elo
202102080DEN,https://www.basketball-reference.com/boxscores/pbp/202102080DEN.html,Denver Nuggets,Milwaukee Bucks,DEN,MIL,N. Jokić,/players/j/jokicni01.html,B. Lopez,/players/l/lopezbr01.html,P. Millsap,DEN,MIL,P. Millsap,/players/m/millspa01.html,DEN,MIL,N. Jokić,/players/j/jokicni01.html,B. Lopez,/players/l/lopezbr01.html,1.0,23.28154167374743,26.86877494222344,0.8227555386081629,0.8565737083040256,301,782,142,478,159,306,1951.3222185810305,1802.7989630931445,0.6577071273649824,0.7796427451033048,217.7720007073312,251.9128147165963,1259.4083917808064,1408.5828341280624
202102080LAL,https://www.basketball-reference.com/boxscores/pbp/202102080LAL.html,Los Angeles Lakers,Oklahoma City Thunder,LAL,OKC,D. Schröder,/players/s/schrode01.html,A. Horford,/players/h/horfoal01.html,D. Schröder,LAL,OKC,L. James,/players/j/jamesle01.html,LAL,OKC,D. Schröder,/players/s/schrode01.html,A. Horford,/players/h/horfoal01.html,1.0,25.0,24.19854743442543,8.333333333333334,0.8264702266323286,0,390,0,192,0,201,1500.0,1666.4166709147491,0.6,0.6670895785047999,500.0,239.33608790007492,1200.0,1294.2239512617928
202102090DET,https://www.basketball-reference.com/boxscores/pbp/202102090DET.html,Detroit Pistons,Brooklyn Nets,DET,BRK,M. Plumlee,/players/p/plumlma01.html,D. Jordan,/players/j/jordade01.html,J. Harris,BRK,DET,J. Green,/players/g/greenje02.html,BRK,DET,D. Jordan,/players/j/jordade01.html,M. Plumlee,/players/p/plumlma01.html,1.0,22.20569171729401,24.604364746731267,0.8317720164850496,0.8257797607889559,285,783,116,511,169,274,1518.0024979421426,1652.0342678759082,0.6467127162649927,0.7812093601868977,220.9335481088396,244.60374551954845,1187.9899046983562,1289.9764799435784
202102090MIA,https://www.basketball-reference.com/boxscores/pbp/202102090MIA.html,Miami Heat,New York Knicks,MIA,NYK,B. Adebayo,/players/a/adebaba01.html,M. Robinson,/players/r/robinmi01.html,K. Olynyk,MIA,NYK,K. Olynyk,/players/o/olynyke01.html,MIA,NYK,B. Adebayo,/players/a/adebaba01.html,M. Robinson,/players/r/robinmi01.html,1.0,23.861117514001734,22.17969242776579,0.8589570736227982,1.186003037655935,155,52,79,22,76,31,1638.3059236827828,1248.4874128464255,0.6221469058264749,0.6108332831562966,226.7642447299981,230.1709243705177,1283.3112353809008,1194.649801290551
202102090NOP,https://www.basketball-reference.com/boxscores/pbp/202102090NOP.html,New Orleans Pelicans,Houston Rockets,NOP,HOU,S. Adams,/players/a/adamsst01.html,D. Cousins,/players/c/couside01.html,L. Ball,NOP,HOU,Z. Williamson,/players/w/willizi01.html,NOP,HOU,S. Adams,/players/a/adamsst01.html,D. Cousins,/players/c/couside01.html,1.0,26.28164445407398,23.13498374423377,0.8489109267207258,0.8441388465476648,509,174,355,83,157,92,1713.7094548201999,1608.8163132427273,0.6950333450127745,0.6433316094390427,258.87094452317484,232.9023769911116,1388.4501777211026,1229.6405619285586
202102090SAS,https://www.basketball-reference.com/boxscores/pbp/202102090SAS.html,San Antonio Spurs,Golden State Warriors,SAS,GSW,J. Poeltl,/players/p/poeltja01.html,J. Toscano-Anderson,/players/t/toscaju01.html,D. Murray,SAS,GSW,D. Murray,/players/m/murrade01.html,SAS,GSW,J. Poeltl,/players/p/poeltja01.html,J. Toscano-Anderson,/players/t/toscaju01.html,1.0,22.708349466860728,15.750124987117488,1.1483629761651803,4.922013727625261,57,3,26,0,31,4,1356.9001935317915,1059.4221803315977,0.6086832257619363,0.5992046876885465,212.03387450347228,251.73622268629208,1212.7123737485429,1188.230921224605
202102090POR,https://www.basketball-reference.com/boxscores/pbp/202102090POR.html,Portland Trail Blazers,Orlando Magic,POR,ORL,E. Kanter,/players/k/kanteen01.html,N. Vučević,/players/v/vucevni01.html,N. Vučević,ORL,POR,D. Bacon,/players/b/bacondw01.html,ORL,POR,N. Vučević,/players/v/vucevni01.html,E. Kanter,/players/k/kanteen01.html,1.0,20.85708831769789,18.86648004095382,1.0560252663629501,0.8573759581185855,82,550,28,204,54,345,1297.5877691988894,1369.6510606201691,0.6129633973863448,0.6990483141415041,273.0734771850273,257.82994823283667,1158.674373348406,1044.211916868621
202102090SAC,https://www.basketball-reference.com/boxscores/pbp/202102090SAC.html,Sacramento Kings,Philadelphia 76ers,SAC,PHI,M. Bagley,/players/b/baglema01.html,J. Embiid,/players/e/embiijo01.html,D. Fox,PHI,SAC,S. Curry,/players/c/curryse01.html,SAC,PHI,J. Embiid,/players/e/embiijo01.html,M. Bagley,/players/b/baglema01.html,0.0,21.52181322543096,24.919102412846907,2.25686522316412,0.8390445414482983,15,250,6,150,9,99,1729.190136402588,1880.124366824708,0.600046930857294,0.664387621844994,214.11907421422057,241.72519062262737,1196.5138799090832,1318.9861999138745
202102090UTA,https://www.basketball-reference.com/boxscores/pbp/202102090UTA.html,Utah Jazz,Boston Celtics,UTA,BOS,R. Gobert,/players/g/goberru01.html,D. Theis,/players/t/theisda01.html,J. Brown,UTA,BOS,R. O'Neale,/players/o/onealro01.html,BOS,UTA,R. Gobert,/players/g/goberru01.html,D. Theis,/players/t/theisda01.html,0.0,24.83271176426723,20.018618474315044,0.8247925392575153,1.0273735262294628,434,87,245,28,189,60,1542.8130718473685,1325.9485552653841,0.6866400918750041,0.6032366503844315,233.4638295588657,226.6484525650576,1311.4907284214087,1142.645866817015
202102100WAS,https://www.basketball-reference.com/boxscores/pbp/202102100WAS.html,Washington Wizards,Toronto Raptors,WAS,TOR,A. Len,/players/l/lenal01.html,A. Baynes,/players/b/baynear01.html,R. Hachimura,TOR,WAS,P. Siakam,/players/s/siakapa01.html,WAS,TOR,A. Baynes,/players/b/baynear01.html,A. Len,/players/l/lenal01.html,0.0,22.029487082549622,23.305686133570877,0.866498246175418,0.9046994080180994,156,121,68,61,88,59,1186.2792447838294,1487.7448044618875,0.6237826196097076,0.6263020913814081,226.2358263840758,230.6824282271963,1169.2313801506273,1239.378010795443
202102100DAL,https://www.basketball-reference.com/boxscores/pbp/202102100DAL.html,Dallas Mavericks,Atlanta Hawks,DAL,ATL,K. Porziņģis,/players/p/porzikr01.html,C. Capela,/players/c/capelca01.html,M. Kleber,DAL,ATL,M. Kleber,/players/k/klebima01.html,DAL,ATL,K. Porziņģis,/players/p/porzikr01.html,C. Capela,/players/c/capelca01.html,1.0,24.75433580983148,22.89927603816641,0.8890871339709089,0.8260558541067992,145,304,86,144,60,161,1667.9319496283906,1443.3369658923639,0.6165033801417247,0.6612200176545461,229.03506480107362,226.7212668691616,1314.5331225227285,1240.734838803195
202102100BRK,https://www.basketball-reference.com/boxscores/pbp/202102100BRK.html,Brooklyn Nets,Indiana Pacers,BRK,IND,D. Jordan,/players/j/jordade01.html,M. Turner,/players/t/turnemy01.html,K. Irving,BRK,IND,J. Harden,/players/h/hardeja01.html,BRK,IND,D. Jordan,/players/j/jordade01.html,M. Turner,/players/t/turnemy01.html,1.0,24.6668599606252,20.545206143105986,0.8260510993098761,0.8410330690670969,783,322,512,112,274,212,1743.8448026796448,1951.1295408570788,0.7804875847922158,0.648183712982322,236.8896273370583,226.41013170486733,1293.5495267155106,1133.8002572667172
202102100MIN,https://www.basketball-reference.com/boxscores/pbp/202102100MIN.html,Minnesota Timberwolves,Los Angeles Clippers,MIN,LAC,K. Towns,/players/t/townska01.html,S. Ibaka,/players/i/ibakase01.html,S. Ibaka,LAC,MIN,N. Batum,/players/b/batumni01.html,LAC,MIN,S. Ibaka,/players/i/ibakase01.html,K. Towns,/players/t/townska01.html,1.0,24.528734933308996,22.832333189344734,0.8271709154779913,0.825052504998242,366,451,187,215,180,236,1551.23742449603,1482.0328421002505,0.6645199715887854,0.7305793218454527,258.1342825978733,232.46406831163878,1317.279949418579,1212.9283105846448
202102100CHI,https://www.basketball-reference.com/boxscores/pbp/202102100CHI.html,Chicago Bulls,New Orleans Pelicans,CHI,NOP,D. Gafford,/players/g/gaffoda01.html,S. Adams,/players/a/adamsst01.html,Z. Williamson,NOP,CHI,Z. Williamson,/players/w/willizi01.html,NOP,CHI,S. Adams,/players/a/adamsst01.html,D. Gafford,/players/g/gaffoda01.html,1.0,18.96295108854678,26.340394838813236,2.1004769661600053,0.8489836198476145,17,511,5,356,12,157,1252.1997962373875,1815.5673432283456,0.6045158350750545,0.6945737062010393,225.92595842862698,240.33643427624816,1172.4811965054946,1391.3116268024444
202102100DEN,https://www.basketball-reference.com/boxscores/pbp/202102100DEN.html,Denver Nuggets,Cleveland Cavaliers,DEN,CLE,N. Jokić,/players/j/jokicni01.html,J. Allen,/players/a/allenja01.html,J. Allen,CLE,DEN,A. Drummond,/players/d/drumman01.html,CLE,DEN,J. Allen,/players/a/allenja01.html,N. Jokić,/players/j/jokicni01.html,1.0,23.410502634816513,26.035466418936426,0.8216870582440831,0.865310872026426,303,189,143,125,160,63,2023.6637716180167,1754.1868468330206,0.6572973124183289,0.6194923710354192,217.8602338480468,228.54485119511173,1266.43231731945,1360.8609901538236
202102100LAL,https://www.basketball-reference.com/boxscores/pbp/202102100LAL.html,Los Angeles Lakers,Oklahoma City Thunder,LAL,OKC,M. Gasol,/players/g/gasolma01.html,A. Horford,/players/h/horfoal01.html,K. Williams,OKC,LAL,L. Dort,/players/d/dortlu01.html,OKC,LAL,A. Horford,/players/h/horfoal01.html,M. Gasol,/players/g/gasolma01.html,1.0,23.44240528577895,24.148920017860156,0.8210098296089398,0.8290246841233428,898,392,531,192,368,201,1328.1441420739945,1549.0907613388595,0.8747877381816638,0.6672596112531103,274.40162972071863,247.32228636773425,1253.2275078746304,1287.9002535966554
202102100PHO,https://www.basketball-reference.com/boxscores/pbp/202102100PHO.html,Phoenix Suns,Milwaukee Bucks,PHO,MIL,D. Ayton,/players/a/aytonde01.html,B. Lopez,/players/l/lopezbr01.html,G. Antetokounmpo,MIL,PHO,G. Antetokounmpo,/players/a/antetgi01.html,MIL,PHO,B. Lopez,/players/l/lopezbr01.html,D. Ayton,/players/a/aytonde01.html,1.0,21.543722826644277,26.72910446260378,0.9153205571404591,0.8546673200761047,125,784,49,478,76,306,1341.029340533992,1711.626608596659,0.6244118604109086,0.7789078301321066,221.8377385320057,241.14944581481842,1187.627848567491,1401.5589085894192
202102110BOS,https://www.basketball-reference.com/boxscores/pbp/202102110BOS.html,Boston Celtics,Toronto Raptors,BOS,TOR,D. Theis,/players/t/theisda01.html,A. Baynes,/players/b/baynear01.html,D. Theis,BOS,TOR,K. Walker,/players/w/walkeke02.html,BOS,TOR,D. Theis,/players/t/theisda01.html,A. Baynes,/players/b/baynear01.html,1.0,19.954060583079073,23.393602047838634,1.0247263154155672,0.9029862919362154,88,121,28,62,60,60,1264.6323715154358,1536.5010990907779,0.6028851871086529,0.6259263826394336,222.26781881955242,230.4784070106707,1139.9009451658596,1243.3820162060542
202102110HOU,https://www.basketball-reference.com/boxscores/pbp/202102110HOU.html,Houston Rockets,Miami Heat,HOU,MIA,D. Cousins,/players/c/couside01.html,B. Adebayo,/players/a/adebaba01.html,P. Tucker,HOU,MIA,J. Wall,/players/w/walljo01.html,HOU,MIA,D. Cousins,/players/c/couside01.html,B. Adebayo,/players/a/adebaba01.html,1.0,23.076885736943794,23.935646330460074,0.8443011670670091,0.8584289255923155,175,156,83,80,92,77,1521.6794684217816,1673.6626478624546,0.6429949538933001,0.6218324725410251,225.4506751318881,232.76093349924943,1226.7791128472165,1287.0622886805565
202102110DET,https://www.basketball-reference.com/boxscores/pbp/202102110DET.html,Detroit Pistons,Indiana Pacers,DET,IND,I. Stewart,/players/s/stewais01.html,M. Turner,/players/t/turnemy01.html,B. Griffin,DET,IND,D. Wright,/players/w/wrighde01.html,DET,IND,I. Stewart,/players/s/stewais01.html,M. Turner,/players/t/turnemy01.html,1.0,25.0,20.496125708288158,8.333333333333334,0.8415751239883977,0,323,0,112,0,213,1500.0,1784.089073896238,0.6,0.6488283593039652,500.0,224.25828454650045,1200.0,1130.949844306225
202102110GSW,https://www.basketball-reference.com/boxscores/pbp/202102110GSW.html,Golden State Warriors,Orlando Magic,GSW,ORL,J. Toscano-Anderson,/players/t/toscaju01.html,N. Vučević,/players/v/vucevni01.html,A. Wiggins,ORL,GSW,G. Clark,/players/c/clarkga01.html,GSW,ORL,N. Vučević,/players/v/vucevni01.html,J. Toscano-Anderson,/players/t/toscaju01.html,0.0,14.725269082078244,18.98419518582441,4.525927640598739,0.855857285692953,5,551,0,205,5,345,1004.93432716521,1478.1463120560736,0.5988712135444789,0.6986839364080263,242.16331567967342,243.0313687898444,1183.5826557106238,1050.8020467724823
202102110POR,https://www.basketball-reference.com/boxscores/pbp/202102110POR.html,Portland Trail Blazers,Philadelphia 76ers,POR,PHI,E. Kanter,/players/k/kanteen01.html,J. Embiid,/players/e/embiijo01.html,J. Embiid,PHI,POR,S. Curry,/players/c/curryse01.html,PHI,POR,J. Embiid,/players/e/embiijo01.html,E. Kanter,/players/k/kanteen01.html,1.0,20.67907567192203,24.97292222690548,1.0489532494957412,0.8397072728503,83,251,28,151,55,99,1183.921313562991,1962.5235859628733,0.6127031637313308,0.6639189332813445,246.34722030314262,229.81010282785817,1152.0842434445447,1322.2932296268432
202102120CHO,https://www.basketball-reference.com/boxscores/pbp/202102120CHO.html,Charlotte Hornets,Minnesota Timberwolves,CHO,MIN,C. Zeller,/players/z/zelleco01.html,K. Towns,/players/t/townska01.html,A. Edwards,MIN,CHO,J. Okogie,/players/o/okogijo01.html,MIN,CHO,K. Towns,/players/t/townska01.html,C. Zeller,/players/z/zelleco01.html,1.0,19.4630862881696,24.421828423676423,0.8590641821103671,0.8263609552537319,234,367,65,187,169,180,1087.0573387373815,1399.890918144739,0.6308005732575112,0.6644991554908155,235.56446907427247,237.45365615995144,1092.1759155837142,1310.8217934474715
202102120WAS,https://www.basketball-reference.com/boxscores/pbp/202102120WAS.html,Washington Wizards,New York Knicks,WAS,NYK,A. Len,/players/l/lenal01.html,M. Robinson,/players/r/robinmi01.html,A. Len,WAS,NYK,R. Hachimura,/players/h/hachiru01.html,WAS,NYK,A. Len,/players/l/lenal01.html,M. Robinson,/players/r/robinmi01.html,1.0,21.94877781503206,22.038235840934327,0.8656218357874912,1.1769720026871398,156,53,68,22,88,32,1138.7269874781832,1212.7070751422102,0.6234131078324204,0.6105349352446084,227.51702434678768,234.48984438500702,1165.227374740016,1190.8987479908953
202102120ATL,https://www.basketball-reference.com/boxscores/pbp/202102120ATL.html,Atlanta Hawks,San Antonio Spurs,ATL,SAS,C. Capela,/players/c/capelca01.html,J. Poeltl,/players/p/poeltja01.html,K. Johnson,SAS,ATL,K. Johnson,/players/j/johnske04.html,SAS,ATL,J. Poeltl,/players/p/poeltja01.html,C. Capela,/players/c/capelca01.html,1.0,22.83156712273268,22.764414494861164,0.826172831944203,1.1464999050342901,306,59,144,27,162,31,1381.7404520303037,1401.1058466233428,0.6607542340587115,0.6083489750627011,225.54894452840958,217.45697589258342,1236.7811923617905,1217.3606392625238
202102120DAL,https://www.basketball-reference.com/boxscores/pbp/202102120DAL.html,Dallas Mavericks,New Orleans Pelicans,DAL,NOP,K. Porziņģis,/players/p/porzikr01.html,S. Adams,/players/a/adamsst01.html,Z. Williamson,NOP,DAL,L. Ball,/players/b/balllo01.html,NOP,DAL,S. Adams,/players/a/adamsst01.html,K. Porziņģis,/players/p/porzikr01.html,1.0,24.83266378401055,26.367531836155546,0.8879107625534169,0.8506710466361872,147,512,87,357,61,157,1729.0080406886893,1836.159540134244,0.6161230128938047,0.6943095406507981,224.5062356997521,256.5331992307692,1318.486768964133,1393.5219007671176
202102120BOS,https://www.basketball-reference.com/boxscores/pbp/202102120BOS.html,Boston Celtics,Detroit Pistons,BOS,DET,D. Theis,/players/t/theisda01.html,I. Stewart,/players/s/stewais01.html,S. Ojeleye,BOS,DET,S. Ojeleye,/players/o/ojelese01.html,BOS,DET,D. Theis,/players/t/theisda01.html,I. Stewart,/players/s/stewais01.html,1.0,20.149000311451474,28.6292413490042,1.0181209597914636,6.7698261109249165,89,1,29,1,60,1,1443.3630899572283,1996.9789353022354,0.6037400435558764,0.6002590030359981,222.13934356966118,365.9626058001333,1146.3476298321998,1204.0191682998966
202102120CHI,https://www.basketball-reference.com/boxscores/pbp/202102120CHI.html,Chicago Bulls,Los Angeles Clippers,CHI,LAC,D. Gafford,/players/g/gaffoda01.html,S. Ibaka,/players/i/ibakase01.html,C. White,CHI,LAC,G. Temple,/players/t/templga01.html,CHI,LAC,D. Gafford,/players/g/gaffoda01.html,S. Ibaka,/players/i/ibakase01.html,1.0,18.79816604956523,22.938698313186812,2.0660681404589543,0.8242912276461702,17,451,5,216,12,237,1233.7373373121966,1616.4429252723035,0.6043393975215973,0.7305945496992239,239.143272164972,228.83184783273626,1170.2709225408216,1219.386466555752
202102120DEN,https://www.basketball-reference.com/boxscores/pbp/202102120DEN.html,Denver Nuggets,Oklahoma City Thunder,DEN,OKC,N. Jokić,/players/j/jokicni01.html,A. Horford,/players/h/horfoal01.html,A. Horford,OKC,DEN,L. Dort,/players/d/dortlu01.html,OKC,DEN,A. Horford,/players/h/horfoal01.html,N. Jokić,/players/j/jokicni01.html,1.0,23.3507366207926,24.228984692786465,0.8221075501446234,0.8287523959795617,304,393,143,193,161,201,1844.691684194136,1619.0895647727677,0.6583979206181931,0.66684372705255,222.1478268132592,241.25065965745537,1262.7587542482233,1292.4029225993288
202102120UTA,https://www.basketball-reference.com/boxscores/pbp/202102120UTA.html,Utah Jazz,Milwaukee Bucks,UTA,MIL,R. Gobert,/players/g/goberru01.html,B. Lopez,/players/l/lopezbr01.html,J. Ingles,MIL,UTA,G. Antetokounmpo,/players/a/antetgi01.html,UTA,MIL,B. Lopez,/players/l/lopezbr01.html,R. Gobert,/players/g/goberru01.html,0.0,24.874470267026364,26.770970631410258,0.825862419750588,0.855366207576415,436,785,246,479,190,306,1608.9373070128033,1755.694409378915,0.6861192745454374,0.7782744078355753,230.50740724160087,250.8714130232804,1314.2356500725639,1403.8181227526086
