Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses
200610310LAL,https://www.basketball-reference.com/boxscores/pbp/200610310LAL.html,Los Angeles Lakers,Phoenix Suns,LAL,PHO,Andrew Bynum,Andrew Bynum,Andrew Bynum,PHO,LAL,,,LAL,PHO,Andrew Bynum,/players/b/bynuman01.html,Andrew Bynum,/players/b/bynuman01.html,0.0,25.0,25.0,8.333333333333334,8.333333333333334,0,0,0,1,1,1
200611010ORL,https://www.basketball-reference.com/boxscores/pbp/200611010ORL.html,Orlando Magic,Chicago Bulls,ORL,CHI,D. Howard,B. Wallace,K. Hinrich,ORL,CHI,G. Hill,/players/h/hillgr01.html,CHI,ORL,D. Howard,/players/h/howardw01.html,B. Wallace,/players/w/wallabe01.html,0.0,24.12588060501968,25.60964469078347,0.9312940016418276,0.8269292228632822,110,649,52,396,59,254
200611010PHI,https://www.basketball-reference.com/boxscores/pbp/200611010PHI.html,Philadelphia 76ers,Atlanta Hawks,PHI,ATL,S. Dalembert,J. Smith,S. Dalembert,ATL,PHI,S. Williams,/players/w/willish02.html,PHI,ATL,J. Smith,/players/s/smithjo03.html,S. Dalembert,/players/d/dalemsa01.html,0.0,25.439929180136946,24.41459974266254,0.847102741200745,0.9087239646987341,168,117,94,57,74,59
200611010BOS,https://www.basketball-reference.com/boxscores/pbp/200611010BOS.html,Boston Celtics,New Orleans/Oklahoma City Hornets,BOS,NOK,K. Perkins,T. Chandler,D. West,NOK,BOS,D. Mason,/players/m/masonde01.html,NOK,BOS,T. Chandler,/players/c/chandty01.html,K. Perkins,/players/p/perkike01.html,1.0,23.055807177178544,25.476911432182078,1.2996889621927512,0.8648261146490432,44,168,18,94,26,73
200611010NJN,https://www.basketball-reference.com/boxscores/pbp/200611010NJN.html,New Jersey Nets,Toronto Raptors,NJN,TOR,J. Collins,C. Bosh,C. Bosh,NJN,TOR,R. Jefferson,/players/j/jefferi01.html,TOR,NJN,J. Collins,/players/c/collija04.html,C. Bosh,/players/b/boshch01.html,0.0,25.122887985214508,26.210477381369106,0.8242697872368671,0.8377615975577154,306,210,153,125,153,86
200611010CLE,https://www.basketball-reference.com/boxscores/pbp/200611010CLE.html,Cleveland Cavaliers,Washington Wizards,CLE,WAS,Z. Ilgauskas,E. Thomas,E. Snow,CLE,WAS,L. James,/players/j/jamesle01.html,CLE,WAS,Z. Ilgauskas,/players/i/ilgauzy01.html,E. Thomas,/players/t/thomaet01.html,1.0,28.633494206114644,23.015056861980547,0.85386634647284,1.4642187622411755,461,33,356,15,105,19
200611010DET,https://www.basketball-reference.com/boxscores/pbp/200611010DET.html,Detroit Pistons,Milwaukee Bucks,DET,MIL,N. Mohammed,A. Bogut,A. Bogut,MIL,DET,C. Villanueva,/players/v/villach01.html,MIL,DET,A. Bogut,/players/b/bogutan01.html,N. Mohammed,/players/m/mohamna01.html,1.0,23.257896378742984,21.961145022430237,0.8329733029402023,3.554865934054718,235,7,88,2,147,4
200611010MEM,https://www.basketball-reference.com/boxscores/pbp/200611010MEM.html,Memphis Grizzlies,New York Knicks,MEM,NYK,J. Tsakalidis,E. Curry,D. Stoudamire,MEM,NYK,D. Stoudamire,/players/s/stoudda01.html,MEM,NYK,J. Tsakalidis,/players/t/tsakaja01.html,E. Curry,/players/c/curryed01.html,1.0,22.76036275509366,25.010373767206993,0.9361404338682852,0.836461292594127,114,193,39,100,75,94
200611010MIN,https://www.basketball-reference.com/boxscores/pbp/200611010MIN.html,Minnesota Timberwolves,Sacramento Kings,MIN,SAC,K. Garnett,B. Miller,K. Garnett,MIN,SAC,M. James,/players/j/jamesmi01.html,MIN,SAC,K. Garnett,/players/g/garneke01.html,B. Miller,/players/m/millebr01.html,1.0,25.564483967817733,22.858708490133218,0.8235947689261427,0.832131593512552,651,231,332,91,319,142
200611010UTA,https://www.basketball-reference.com/boxscores/pbp/200611010UTA.html,Utah Jazz,Houston Rockets,UTA,HOU,M. Okur,Y. Ming,Y. Ming,UTA,HOU,D. Williams,/players/w/willide01.html,HOU,UTA,M. Okur,/players/o/okurme01.html,Y. Ming,/players/m/mingya01.html,0.0,21.588177101666158,23.112476866959152,1.421228768112996,0.8397404587676656,36,202,12,80,24,123
200611010SEA,https://www.basketball-reference.com/boxscores/pbp/200611010SEA.html,Seattle SuperSonics,Portland Trail Blazers,SEA,POR,M. Sene,J. Przybilla,B. Roy,SEA,POR,L. Ridnour,/players/r/ridnolu01.html,POR,SEA,M. Sene,/players/s/senesa01.html,J. Przybilla,/players/p/przybjo01.html,0.0,25.0,24.562265177106408,8.333333333333334,0.8335317670754513,0,208,0,97,0,112
200611010GSW,https://www.basketball-reference.com/boxscores/pbp/200611010GSW.html,Golden State Warriors,Los Angeles Lakers,GSW,LAL,T. Murphy,A. Bynum,L. Odom,LAL,GSW,L. Odom,/players/o/odomla01.html,LAL,GSW,A. Bynum,/players/b/bynuman01.html,T. Murphy,/players/m/murphtr01.html,1.0,25.0,20.839233161497706,8.333333333333334,7.220762300789891,1,2,0,1,1,1
