Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses
202001270MIA,https://www.basketball-reference.com/boxscores/pbp/202001270MIA.html,Miami Heat,Orlando Magic,MIA,ORL,B. Adebayo,N. Vučević,B. Adebayo,MIA,ORL,M. Leonard,/players/l/leoname01.html,MIA,ORL,B. Adebayo,/players/a/adebaba01.html,N. Vučević,/players/v/vucevni01.html,1.0,21.88978786134361,20.573820159349108,0.9787603530522466,0.8316054491898949,89,494,37,195,52,300
202001270CHI,https://www.basketball-reference.com/boxscores/pbp/202001270CHI.html,Chicago Bulls,San Antonio Spurs,CHI,SAS,L. Kornet,J. Poeltl,T. Young,CHI,SAS,T. Young,/players/y/youngth01.html,CHI,SAS,L. Kornet,/players/k/kornelu01.html,J. Poeltl,/players/p/poeltja01.html,1.0,25.84569188604554,22.740739178139556,2.5577712865959263,1.334993529682094,12,40,8,18,4,23
202001270MIN,https://www.basketball-reference.com/boxscores/pbp/202001270MIN.html,Minnesota Timberwolves,Sacramento Kings,MIN,SAC,K. Towns,D. Dedmon,K. Towns,MIN,SAC,A. Wiggins,/players/w/wiggian01.html,MIN,SAC,K. Towns,/players/t/townska01.html,D. Dedmon,/players/d/dedmode01.html,1.0,24.454260189046654,24.483936642123833,0.8269236411298518,0.8525165842236724,356,178,181,103,176,76
202001270OKC,https://www.basketball-reference.com/boxscores/pbp/202001270OKC.html,Oklahoma City Thunder,Dallas Mavericks,OKC,DAL,S. Adams,K. Porziņģis,S. Gilgeous-Alexander,DAL,OKC,S. Curry,/players/c/curryse01.html,OKC,DAL,K. Porziņģis,/players/p/porzikr01.html,S. Adams,/players/a/adamsst01.html,0.0,26.52172910967146,24.670346584897683,0.844637755289022,0.9372858921452392,460,107,319,60,144,47
202001270UTA,https://www.basketball-reference.com/boxscores/pbp/202001270UTA.html,Utah Jazz,Houston Rockets,UTA,HOU,R. Gobert,D. House,R. Gobert,UTA,HOU,R. O'Neale,/players/o/onealro01.html,UTA,HOU,R. Gobert,/players/g/goberru01.html,D. House,/players/h/houseda01.html,1.0,25.203896525572322,25.0,0.8306630069538586,8.333333333333334,379,0,213,0,166,1
202001280CHO,https://www.basketball-reference.com/boxscores/pbp/202001280CHO.html,Charlotte Hornets,New York Knicks,CHO,NYK,C. Zeller,T. Gibson,M. Morris,CHO,NYK,D. Graham,/players/g/grahade01.html,NYK,CHO,C. Zeller,/players/z/zelleco01.html,T. Gibson,/players/g/gibsota01.html,0.0,19.403736320872355,20.60030929845832,0.8695363730018929,1.2530638201040079,209,50,56,17,153,34
202001280PHI,https://www.basketball-reference.com/boxscores/pbp/202001280PHI.html,Philadelphia 76ers,Golden State Warriors,PHI,GSW,J. Embiid,M. Chriss,S. Milton,PHI,GSW,B. Simmons,/players/s/simmobe01.html,PHI,GSW,J. Embiid,/players/e/embiijo01.html,M. Chriss,/players/c/chrisma01.html,1.0,24.65557635961006,19.106023809711193,0.8377684426039296,1.8980712550558319,206,21,121,6,85,16
202001280CLE,https://www.basketball-reference.com/boxscores/pbp/202001280CLE.html,Cleveland Cavaliers,New Orleans Pelicans,CLE,NOP,T. Thompson,D. Favors,C. Osman,NOP,CLE,L. Ball,/players/b/balllo01.html,CLE,NOP,D. Favors,/players/f/favorde01.html,T. Thompson,/players/t/thomptr01.html,0.0,20.172458029857374,23.469970720020218,0.8403113130802796,0.84690782880677,306,196,99,98,208,97
202001280TOR,https://www.basketball-reference.com/boxscores/pbp/202001280TOR.html,Toronto Raptors,Atlanta Hawks,TOR,ATL,M. Gasol,J. Collins,P. Siakam,TOR,ATL,P. Siakam,/players/s/siakapa01.html,TOR,ATL,M. Gasol,/players/g/gasolma01.html,J. Collins,/players/c/collijo01.html,1.0,23.763776555629953,18.689422767380204,0.8254173558321317,2.098304291979852,875,18,520,4,356,15
202001280MEM,https://www.basketball-reference.com/boxscores/pbp/202001280MEM.html,Memphis Grizzlies,Denver Nuggets,MEM,DEN,J. Jackson,J. Grant,J. Valančiūnas,MEM,DEN,J. Morant,/players/m/moranja01.html,MEM,DEN,J. Jackson,/players/j/jacksja02.html,J. Grant,/players/g/grantje01.html,1.0,25.89320046430575,19.01186368796491,1.300996808118713,1.5719664182742719,47,29,33,8,14,22
202001280MIA,https://www.basketball-reference.com/boxscores/pbp/202001280MIA.html,Miami Heat,Boston Celtics,MIA,BOS,B. Adebayo,D. Theis,M. Smart,BOS,MIA,J. Brown,/players/b/brownja02.html,BOS,MIA,D. Theis,/players/t/theisda01.html,B. Adebayo,/players/a/adebaba01.html,1.0,21.99191253819436,19.829603728834293,0.9753234997433836,1.351909009064891,91,45,38,14,53,30
