Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores
199805030CHI,https://www.basketball-reference.com/boxscores/pbp/199805030CHI.html,Chicago Bulls,Charlotte Hornets,CHI,CHH,T. Kukoč,V. Divac,G. Rice,CHH,CHI,A. Mason,/players/m/masonan01.html,CHH,CHI,V. Divac,/players/d/divacvl01.html,T. Kukoč,/players/k/kukocto01.html,1
199805030MIA,https://www.basketball-reference.com/boxscores/pbp/199805030MIA.html,Miami Heat,New York Knicks,MIA,NYK,D. Causwell,T. Cummings,J. Starks,MIA,NYK,V. Lenard,/players/l/lenarvo01.html,NYK,MIA,D. Causwell,/players/c/causwdu01.html,T. Cummings,/players/c/cummite01.html,0
199805030UTA,https://www.basketball-reference.com/boxscores/pbp/199805030UTA.html,Utah Jazz,Houston Rockets,UTA,HOU,G. Foster,K. Willis,K. Malone,HOU,UTA,H. Olajuwon,/players/o/olajuha01.html,UTA,HOU,K. Willis,/players/w/willike02.html,G. Foster,/players/f/fostegr01.html,0
199805040SEA,https://www.basketball-reference.com/boxscores/pbp/199805040SEA.html,Seattle SuperSonics,Los Angeles Lakers,SEA,LAL,V. Baker,S. O'Neal,H. Hawkins,SEA,LAL,H. Hawkins,/players/h/hawkihe01.html,SEA,LAL,V. Baker,/players/b/bakervi01.html,S. O'Neal,/players/o/onealsh01.html,1
199805050IND,https://www.basketball-reference.com/boxscores/pbp/199805050IND.html,Indiana Pacers,New York Knicks,IND,NYK,D. Davis,C. Dudley,R. Smits,NYK,IND,A. Houston,/players/h/houstal01.html,IND,NYK,C. Dudley,/players/d/dudlech02.html,D. Davis,/players/d/davisda01.html,0
199805050UTA,https://www.basketball-reference.com/boxscores/pbp/199805050UTA.html,Utah Jazz,San Antonio Spurs,UTA,SAS,G. Foster,D. Robinson,J. Stockton,SAS,UTA,W. Perdue,/players/p/perduwi01.html,UTA,SAS,D. Robinson,/players/r/robinda01.html,G. Foster,/players/f/fostegr01.html,0
199805060SEA,https://www.basketball-reference.com/boxscores/pbp/199805060SEA.html,Seattle SuperSonics,Los Angeles Lakers,SEA,LAL,V. Baker,S. O'Neal,S. O'Neal,LAL,SEA,E. Jones,/players/j/jonesed02.html,LAL,SEA,S. O'Neal,/players/o/onealsh01.html,V. Baker,/players/b/bakervi01.html,1
199805060CHI,https://www.basketball-reference.com/boxscores/pbp/199805060CHI.html,Chicago Bulls,Charlotte Hornets,CHI,CHH,,,,,,,,,,,,
199805070IND,https://www.basketball-reference.com/boxscores/pbp/199805070IND.html,Indiana Pacers,New York Knicks,IND,NYK,D. Davis,P. Ewing,R. Smits,IND,NYK,C. Mullin,/players/m/mullich01.html,IND,NYK,D. Davis,/players/d/davisda01.html,P. Ewing,/players/e/ewingpa01.html,1
199805070UTA,https://www.basketball-reference.com/boxscores/pbp/199805070UTA.html,Utah Jazz,San Antonio Spurs,UTA,SAS,G. Foster,D. Robinson,J. Hornacek,UTA,SAS,J. Stockton,/players/s/stockjo01.html,UTA,SAS,G. Foster,/players/f/fostegr01.html,D. Robinson,/players/r/robinda01.html,1
199805080CHH,https://www.basketball-reference.com/boxscores/pbp/199805080CHH.html,Charlotte Hornets,Chicago Bulls,CHH,CHI,V. Divac,L. Longley,R. Harper,CHH,CHI,A. Mason,/players/m/masonan01.html,CHI,CHH,V. Divac,/players/d/divacvl01.html,L. Longley,/players/l/longllu01.html,0
199805080LAL,https://www.basketball-reference.com/boxscores/pbp/199805080LAL.html,Los Angeles Lakers,Seattle SuperSonics,LAL,SEA,S. O'Neal,V. Baker,V. Baker,SEA,LAL,J. McIlvaine,/players/m/mcilvji01.html,SEA,LAL,V. Baker,/players/b/bakervi01.html,S. O'Neal,/players/o/onealsh01.html,1
199805090NYK,https://www.basketball-reference.com/boxscores/pbp/199805090NYK.html,New York Knicks,Indiana Pacers,NYK,IND,P. Ewing,D. Davis,C. Mullin,NYK,IND,C. Ward,/players/w/wardch01.html,IND,NYK,P. Ewing,/players/e/ewingpa01.html,D. Davis,/players/d/davisda01.html,0
199805090SAS,https://www.basketball-reference.com/boxscores/pbp/199805090SAS.html,San Antonio Spurs,Utah Jazz,SAS,UTA,D. Robinson,G. Foster,T. Duncan,SAS,UTA,A. Johnson,/players/j/johnsav01.html,SAS,UTA,D. Robinson,/players/r/robinda01.html,G. Foster,/players/f/fostegr01.html,1
199805100SAS,https://www.basketball-reference.com/boxscores/pbp/199805100SAS.html,San Antonio Spurs,Utah Jazz,SAS,UTA,D. Robinson,G. Foster,G. Foster,SAS,UTA,W. Perdue,/players/p/perduwi01.html,UTA,SAS,D. Robinson,/players/r/robinda01.html,G. Foster,/players/f/fostegr01.html,0
199805100LAL,https://www.basketball-reference.com/boxscores/pbp/199805100LAL.html,Los Angeles Lakers,Seattle SuperSonics,LAL,SEA,S. O'Neal,V. Baker,V. Baker,SEA,LAL,G. Payton,/players/p/paytoga01.html,SEA,LAL,V. Baker,/players/b/bakervi01.html,S. O'Neal,/players/o/onealsh01.html,1
199805100CHH,https://www.basketball-reference.com/boxscores/pbp/199805100CHH.html,Charlotte Hornets,Chicago Bulls,CHH,CHI,V. Divac,L. Longley,V. Divac,CHH,CHI,G. Rice,/players/r/ricegl01.html,CHH,CHI,V. Divac,/players/d/divacvl01.html,L. Longley,/players/l/longllu01.html,1
199805100NYK,https://www.basketball-reference.com/boxscores/pbp/199805100NYK.html,New York Knicks,Indiana Pacers,NYK,IND,P. Ewing,D. Davis,P. Ewing,NYK,IND,C. Oakley,/players/o/oaklech01.html,NYK,IND,P. Ewing,/players/e/ewingpa01.html,D. Davis,/players/d/davisda01.html,1
199805120SEA,https://www.basketball-reference.com/boxscores/pbp/199805120SEA.html,Seattle SuperSonics,Los Angeles Lakers,SEA,LAL,V. Baker,S. O'Neal,S. O'Neal,LAL,SEA,D. Fisher,/players/f/fishede01.html,LAL,SEA,S. O'Neal,/players/o/onealsh01.html,V. Baker,/players/b/bakervi01.html,1
199805120UTA,https://www.basketball-reference.com/boxscores/pbp/199805120UTA.html,Utah Jazz,San Antonio Spurs,UTA,SAS,G. Foster,D. Robinson,G. Foster,SAS,UTA,W. Perdue,/players/p/perduwi01.html,UTA,SAS,D. Robinson,/players/r/robinda01.html,G. Foster,/players/f/fostegr01.html,0
199805130CHI,https://www.basketball-reference.com/boxscores/pbp/199805130CHI.html,Chicago Bulls,Charlotte Hornets,CHI,CHH,L. Longley,V. Divac,M. Jordan,CHI,CHH,M. Jordan,/players/j/jordami01.html,CHI,CHH,L. Longley,/players/l/longllu01.html,V. Divac,/players/d/divacvl01.html,1
199805130IND,https://www.basketball-reference.com/boxscores/pbp/199805130IND.html,Indiana Pacers,New York Knicks,IND,NYK,D. Davis,P. Ewing,A. Houston,NYK,IND,C. Ward,/players/w/wardch01.html,NYK,IND,P. Ewing,/players/e/ewingpa01.html,D. Davis,/players/d/davisda01.html,1
199805160UTA,https://www.basketball-reference.com/boxscores/pbp/199805160UTA.html,Utah Jazz,Los Angeles Lakers,UTA,LAL,G. Foster,S. O'Neal,G. Foster,LAL,UTA,D. Fisher,/players/f/fishede01.html,UTA,LAL,S. O'Neal,/players/o/onealsh01.html,G. Foster,/players/f/fostegr01.html,0
199805170CHI,https://www.basketball-reference.com/boxscores/pbp/199805170CHI.html,Chicago Bulls,Indiana Pacers,CHI,IND,L. Longley,R. Smits,R. Smits,IND,CHI,M. Jackson,/players/j/jacksma01.html,IND,CHI,R. Smits,/players/s/smitsri01.html,L. Longley,/players/l/longllu01.html,1
199805180UTA,https://www.basketball-reference.com/boxscores/pbp/199805180UTA.html,Utah Jazz,Los Angeles Lakers,UTA,LAL,G. Foster,S. O'Neal,D. Fisher,LAL,UTA,R. Horry,/players/h/horryro01.html,LAL,UTA,S. O'Neal,/players/o/onealsh01.html,G. Foster,/players/f/fostegr01.html,1
199805190CHI,https://www.basketball-reference.com/boxscores/pbp/199805190CHI.html,Chicago Bulls,Indiana Pacers,CHI,IND,L. Longley,D. Davis,C. Mullin,IND,CHI,C. Mullin,/players/m/mullich01.html,IND,CHI,D. Davis,/players/d/davisda01.html,L. Longley,/players/l/longllu01.html,1
199805220LAL,https://www.basketball-reference.com/boxscores/pbp/199805220LAL.html,Los Angeles Lakers,Utah Jazz,LAL,UTA,S. O'Neal,G. Foster,E. Jones,UTA,LAL,J. Stockton,/players/s/stockjo01.html,LAL,UTA,G. Foster,/players/f/fostegr01.html,S. O'Neal,/players/o/onealsh01.html,0
199805230IND,https://www.basketball-reference.com/boxscores/pbp/199805230IND.html,Indiana Pacers,Chicago Bulls,IND,CHI,D. Davis,L. Longley,M. Jordan,IND,CHI,M. Jackson,/players/j/jacksma01.html,CHI,IND,D. Davis,/players/d/davisda01.html,L. Longley,/players/l/longllu01.html,0
