Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses,Home Glicko Mu,Away Glicko Mu,Home Glicko Sigma,Away Glicko Sigma,Home Glicko Phi,Away Glicko Phi,Home Elo,Away Elo
200110300NJN,https://www.basketball-reference.com/boxscores/pbp/200110300NJN.html,New Jersey Nets,Indiana Pacers,NJN,IND,K. Van Horn,J. O'Neal,J. O'Neal,NJN,IND,J. Kidd,/players/k/kiddja01.html,IND,NJN,K. Van Horn,/players/v/vanhoke01.html,J. O'Neal,/players/o/onealje01.html,0.0,24.15971784451334,26.75995085590927,0.874519769416055,1.0539734874413782,143,84,67,54,76,31,1411.6873707495874,1777.4305082800213,0.6217338887027494,0.6037879538654408,220.06970589287724,210.10799104391148,1179.6206738848625,1286.278356099916
200110300NYK,https://www.basketball-reference.com/boxscores/pbp/200110300NYK.html,New York Knicks,Washington Wizards,NYK,WAS,F. Spencer,J. White,L. Sprewell,WAS,NYK,C. Alexander,/players/a/alexaco02.html,NYK,WAS,J. White,/players/w/whiteja01.html,F. Spencer,/players/s/spencfe01.html,0.0,25.0,22.19161380185008,8.333333333333334,1.0220013626350424,1,96,0,30,1,65,1500.0,1462.8434885828094,0.6,0.6049569419230995,500.0,218.9103827184312,1200.0,1141.5449085800399
200110300ORL,https://www.basketball-reference.com/boxscores/pbp/200110300ORL.html,Orlando Magic,Toronto Raptors,ORL,TOR,A. DeClercq,A. Davis,G. Hill,TOR,ORL,A. Williams,/players/w/willial02.html,ORL,TOR,A. Davis,/players/d/davisan01.html,A. DeClercq,/players/d/declean01.html,0.0,22.328269958890136,22.58010574593976,0.8857457087159716,0.875123582623956,149,165,57,62,92,103,1476.3856911736414,1278.7276779786448,0.6123439527934661,0.6273571819802015,220.87611226769198,208.2504165227128,1132.2535474533051,1152.0320436163545
200110300MIN,https://www.basketball-reference.com/boxscores/pbp/200110300MIN.html,Minnesota Timberwolves,Philadelphia 76ers,MIN,PHI,K. Garnett,D. Mutombo,J. Smith,MIN,PHI,T. Brandon,/players/b/brandte01.html,MIN,PHI,K. Garnett,/players/g/garneke01.html,D. Mutombo,/players/m/mutomdi01.html,1.0,25.239995777229275,25.775481793845227,0.8398698213975667,0.8308629635012755,232,318,105,198,127,121,1665.8407314927767,1639.626517834746,0.6526837138192351,0.6860337348850367,214.99672772299635,234.51441971974057,1239.5800770782864,1258.9981675663694
200110300DAL,https://www.basketball-reference.com/boxscores/pbp/200110300DAL.html,Dallas Mavericks,Detroit Pistons,DAL,DET,D. Nowitzki,B. Wallace,S. Nash,DAL,DET,S. Nash,/players/n/nashst01.html,DAL,DET,D. Nowitzki,/players/n/nowitdi01.html,B. Wallace,/players/w/wallabe01.html,1.0,24.68443627822324,27.917903042105664,1.2123052390867768,0.8823976605780869,51,173,23,114,28,60,1542.6190256619864,1772.4114782161246,0.6065917750186737,0.6165534936117353,204.40196881721818,237.03725063616886,1202.5445003249326,1353.6336753158096
200110300HOU,https://www.basketball-reference.com/boxscores/pbp/200110300HOU.html,Houston Rockets,Atlanta Hawks,HOU,ATL,K. Cato,T. Ratliff,S. Abdur-Rahim,HOU,ATL,S. Francis,/players/f/francst01.html,ATL,HOU,K. Cato,/players/c/catoke01.html,T. Ratliff,/players/r/ratlith01.html,0.0,24.501879137082096,23.951698209259455,1.1965946597468482,0.8427680066896981,52,222,23,97,29,126,1693.597700666539,1865.951320346928,0.6142829035554301,0.6473494258431828,214.06355616940783,219.1046479844977,1194.3543844571768,1190.11102422634
200110300SAS,https://www.basketball-reference.com/boxscores/pbp/200110300SAS.html,San Antonio Spurs,Los Angeles Clippers,SAS,LAC,D. Robinson,M. Olowokandi,J. McInnis,SAS,LAC,S. Smith,/players/s/smithst01.html,LAC,SAS,D. Robinson,/players/r/robinda01.html,M. Olowokandi,/players/o/olowomi01.html,0.0,27.69337883312679,23.333721803980062,0.8386763577291875,0.8593055044046998,323,185,200,74,123,113,1932.245377382178,1467.1069219821493,0.6605862379371253,0.6275526792970441,231.38487688031563,217.55435840719883,1331.5374239489895,1151.0636250404261
200110300PHO,https://www.basketball-reference.com/boxscores/pbp/200110300PHO.html,Phoenix Suns,Denver Nuggets,PHO,DEN,S. Marion,R. LaFrentz,T. Gugliotta,PHO,DEN,T. Gugliotta,/players/g/guglito01.html,PHO,DEN,S. Marion,/players/m/mariosh01.html,R. LaFrentz,/players/l/lafrera01.html,1.0,25.0,20.64722518107249,8.333333333333334,3.236463217548798,0,8,0,2,0,7,1500.0,1405.8026733340807,0.6,0.6013494247983049,500.0,256.0950368569744,1200.0,1186.3158072671429
200110300UTA,https://www.basketball-reference.com/boxscores/pbp/200110300UTA.html,Utah Jazz,Milwaukee Bucks,UTA,MIL,G. Ostertag,J. Przybilla,R. Allen,UTA,MIL,J. Stockton,/players/s/stockjo01.html,MIL,UTA,G. Ostertag,/players/o/ostergr01.html,J. Przybilla,/players/p/przybjo01.html,0.0,25.754499945273025,21.84863752927425,1.0002100882328553,2.4989489585816136,88,13,43,3,45,11,1706.0172259788,1545.8819071720193,0.6102468141534239,0.6025710836815904,213.7735849879448,249.981745859045,1222.5804617060844,1178.6037492718967
200110300SAC,https://www.basketball-reference.com/boxscores/pbp/200110300SAC.html,Sacramento Kings,Seattle SuperSonics,SAC,SEA,V. Divac,C. Booth,S. Pollard,SAC,SEA,M. Bibby,/players/b/bibbymi01.html,SAC,SEA,V. Divac,/players/d/divacvl01.html,C. Booth,/players/b/boothca01.html,1.0,25.06490603204821,24.70828710139439,0.8346870265484999,1.6155827941179293,223,28,109,15,114,14,1920.6387136983544,1627.5406583539386,0.6518582510940049,0.6062185570684819,229.3214066951687,236.3177596092586,1219.8079608018322,1212.3324026072705
200110300LAL,https://www.basketball-reference.com/boxscores/pbp/200110300LAL.html,Los Angeles Lakers,Portland Trail Blazers,LAL,POR,S. O'Neal,D. Davis,S. O'Neal,LAL,POR,L. Hunter,/players/h/hunteli01.html,LAL,POR,S. O'Neal,/players/o/onealsh01.html,D. Davis,/players/d/davisda01.html,1.0,30.323686232789473,26.36127335010493,0.8676197378734753,0.8274394537083646,317,246,233,131,85,116,1865.8701817154467,2202.464048799396,0.65569682243925,0.6555330361060054,232.06435575740463,252.6243742213744,1453.1450448968615,1276.130303338889
200110310BOS,https://www.basketball-reference.com/boxscores/pbp/200110310BOS.html,Boston Celtics,New Jersey Nets,BOS,NJN,T. Battie,K. Van Horn,P. Pierce,BOS,NJN,E. Williams,/players/w/willier01.html,BOS,NJN,T. Battie,/players/b/battito01.html,K. Van Horn,/players/v/vanhoke01.html,1.0,24.81824967566789,24.290347699096845,1.031952417964835,0.8724445457391857,90,144,42,68,48,77,1878.3815343752246,1620.840378785684,0.6078726436499519,0.6233148356122319,231.30655932208055,226.37770868790523,1211.9513854323104,1186.109134901225
