Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Home Tipper Link,Away Tipper,Away Tipper Link,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses
202102210NYK,https://www.basketball-reference.com/boxscores/pbp/202102210NYK.html,New York Knicks,Minnesota Timberwolves,NYK,MIN,N. Noel,/players/n/noelne01.html,K. Towns,/players/t/townska01.html,K. Towns,MIN,NYK,J. Vanderbilt,/players/v/vandeja01.html,MIN,NYK,K. Towns,/players/t/townska01.html,N. Noel,/players/n/noelne01.html,1.0,22.482589773505058,24.436243177745382,0.8522329883447343,0.8298527390960297,171,372,78,190,93,182
202102210ORL,https://www.basketball-reference.com/boxscores/pbp/202102210ORL.html,Orlando Magic,Detroit Pistons,ORL,DET,N. Vučević,/players/v/vucevni01.html,M. Plumlee,/players/p/plumlma01.html,J. Grant,DET,ORL,S. Bey,/players/b/beysa01.html,DET,ORL,M. Plumlee,/players/p/plumlma01.html,N. Vučević,/players/v/vucevni01.html,1.0,18.914512237149584,22.292602107847692,0.8576003041408974,0.8294314441723026,556,289,207,118,349,170
202102210TOR,https://www.basketball-reference.com/boxscores/pbp/202102210TOR.html,Toronto Raptors,Philadelphia 76ers,TOR,PHI,O. Anunoby,/players/a/anunoog01.html,J. Embiid,/players/e/embiijo01.html,D. Bembry,PHI,TOR,D. Green,/players/g/greenda02.html,TOR,PHI,J. Embiid,/players/e/embiijo01.html,O. Anunoby,/players/a/anunoog01.html,0.0,24.695905161814686,25.023490470273305,5.595426666534521,0.8387254836646253,3,255,1,154,2,100
202102210ATL,https://www.basketball-reference.com/boxscores/pbp/202102210ATL.html,Atlanta Hawks,Denver Nuggets,ATL,DEN,C. Capela,/players/c/capelca01.html,N. Jokić,/players/j/jokicni01.html,K. Huerter,DEN,ATL,J. Murray,/players/m/murraja01.html,ATL,DEN,N. Jokić,/players/j/jokicni01.html,C. Capela,/players/c/capelca01.html,0.0,22.839467994854854,23.419033091100022,0.8261733287501432,0.8237370033495518,311,309,147,146,164,162
202102210LAC,https://www.basketball-reference.com/boxscores/pbp/202102210LAC.html,Los Angeles Clippers,Brooklyn Nets,LAC,BRK,S. Ibaka,/players/i/ibakase01.html,J. Green,/players/g/greenje02.html,K. Irving,BRK,LAC,B. Brown,/players/b/brownbr01.html,BRK,LAC,J. Green,/players/g/greenje02.html,S. Ibaka,/players/i/ibakase01.html,1.0,22.72002444511127,21.881705191889786,0.8234314148153041,0.862057830218966,457,164,217,67,241,97
202102210MIL,https://www.basketball-reference.com/boxscores/pbp/202102210MIL.html,Milwaukee Bucks,Sacramento Kings,MIL,SAC,B. Lopez,/players/l/lopezbr01.html,M. Bagley,/players/b/baglema01.html,R. Holmes,SAC,MIL,B. Hield,/players/h/hieldbu01.html,SAC,MIL,M. Bagley,/players/b/baglema01.html,B. Lopez,/players/l/lopezbr01.html,1.0,26.82154835343081,20.269241098298696,0.8581458245372261,2.063584504793444,790,18,483,6,308,11
202102220HOU,https://www.basketball-reference.com/boxscores/pbp/202102220HOU.html,Houston Rockets,Chicago Bulls,HOU,CHI,D. House,/players/h/houseda01.html,W. Carter,/players/c/cartewe01.html,C. White,CHI,HOU,C. White,/players/w/whiteco01.html,CHI,HOU,W. Carter,/players/c/cartewe01.html,D. House,/players/h/houseda01.html,1.0,14.48518429182842,22.336780380990408,4.707065942356732,0.943164219062451,4,106,0,48,4,57
202102220DAL,https://www.basketball-reference.com/boxscores/pbp/202102220DAL.html,Dallas Mavericks,Memphis Grizzlies,DAL,MEM,D. Powell,/players/p/poweldw01.html,J. Valančiūnas,/players/v/valanjo01.html,J. Richardson,MEM,DAL,G. Allen,/players/a/allengr01.html,DAL,MEM,J. Valančiūnas,/players/v/valanjo01.html,D. Powell,/players/p/poweldw01.html,0.0,17.99110612155308,22.8647825037541,1.2400658059312875,0.8229689850058288,64,518,15,238,49,280
202102220OKC,https://www.basketball-reference.com/boxscores/pbp/202102220OKC.html,Oklahoma City Thunder,Miami Heat,OKC,MIA,I. Roby,/players/r/robyis01.html,B. Adebayo,/players/a/adebaba01.html,L. Dort,OKC,MIA,T. Maledon,/players/m/maledth01.html,OKC,MIA,I. Roby,/players/r/robyis01.html,B. Adebayo,/players/a/adebaba01.html,1.0,22.643776733733244,24.187513013251884,2.8678215271710092,0.8562955599328149,8,162,4,85,4,78
202102220PHO,https://www.basketball-reference.com/boxscores/pbp/202102220PHO.html,Phoenix Suns,Portland Trail Blazers,PHO,POR,D. Ayton,/players/a/aytonde01.html,E. Kanter,/players/k/kanteen01.html,D. Booker,PHO,POR,F. Kaminsky,/players/k/kaminfr01.html,PHO,POR,D. Ayton,/players/a/aytonde01.html,E. Kanter,/players/k/kanteen01.html,1.0,21.610235062139743,20.483743116816875,0.9075858712764122,1.0256291690587986,130,88,52,29,78,60
202102220UTA,https://www.basketball-reference.com/boxscores/pbp/202102220UTA.html,Utah Jazz,Charlotte Hornets,UTA,CHO,R. Gobert,/players/g/goberru01.html,C. Zeller,/players/z/zelleco01.html,R. O'Neale,UTA,CHO,M. Conley,/players/c/conlemi01.html,UTA,CHO,R. Gobert,/players/g/goberru01.html,C. Zeller,/players/z/zelleco01.html,1.0,24.486492832127755,19.606910222185615,0.8244870308664041,0.8585360006429565,440,236,247,67,193,170
202102220LAL,https://www.basketball-reference.com/boxscores/pbp/202102220LAL.html,Los Angeles Lakers,Washington Wizards,LAL,WAS,M. Gasol,/players/g/gasolma01.html,M. Wagner,/players/w/wagnemo01.html,M. Wagner,LAL,WAS,L. James,/players/j/jamesle01.html,WAS,LAL,M. Gasol,/players/g/gasolma01.html,M. Wagner,/players/w/wagnemo01.html,0.0,23.28235432678199,19.88563613884415,0.820856668213778,2.7484434753588185,901,9,532,3,370,7
202102230CLE,https://www.basketball-reference.com/boxscores/pbp/202102230CLE.html,Cleveland Cavaliers,Atlanta Hawks,CLE,ATL,J. Allen,/players/a/allenja01.html,C. Capela,/players/c/capelca01.html,J. Collins,CLE,ATL,I. Okoro,/players/o/okorois01.html,ATL,CLE,J. Allen,/players/a/allenja01.html,C. Capela,/players/c/capelca01.html,0.0,26.129878093968163,22.758599078373603,0.8646308909696824,0.8259273870957622,193,311,129,147,64,165
202102230ORL,https://www.basketball-reference.com/boxscores/pbp/202102230ORL.html,Orlando Magic,Detroit Pistons,ORL,DET,N. Vučević,/players/v/vucevni01.html,M. Plumlee,/players/p/plumlma01.html,S. Mykhailiuk,DET,ORL,D. Smith,/players/s/smithde03.html,DET,ORL,M. Plumlee,/players/p/plumlma01.html,N. Vučević,/players/v/vucevni01.html,1.0,18.856753690210134,22.3466635860263,0.8575879866780053,0.8299388975943918,557,290,207,119,350,170
202102230BRK,https://www.basketball-reference.com/boxscores/pbp/202102230BRK.html,Brooklyn Nets,Sacramento Kings,BRK,SAC,D. Jordan,/players/j/jordade01.html,M. Bagley,/players/b/baglema01.html,K. Irving,BRK,SAC,B. Brown,/players/b/brownbr01.html,BRK,SAC,D. Jordan,/players/j/jordade01.html,M. Bagley,/players/b/baglema01.html,1.0,24.771382182126665,21.252478854330683,0.8272941828289554,1.9825581037014908,785,18,514,7,274,12
