Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses
200010310NJN,https://www.basketball-reference.com/boxscores/pbp/200010310NJN.html,New Jersey Nets,Cleveland Cavaliers,NJN,CLE,K. Martin,Z. Ilgauskas,C. Weatherspoon,NJN,CLE,S. Marbury,/players/m/marbust01.html,CLE,NJN,K. Martin,/players/m/martike01.html,Z. Ilgauskas,/players/i/ilgauzy01.html,0.0,25.0,29.29780788295053,8.333333333333334,1.0425530562127168,0,89,0,63,0,27
200010310ORL,https://www.basketball-reference.com/boxscores/pbp/200010310ORL.html,Orlando Magic,Washington Wizards,ORL,WAS,G. Hill,J. White,J. Amaechi,ORL,WAS,J. Amaechi,/players/a/amaecjo01.html,ORL,WAS,G. Hill,/players/h/hillgr01.html,J. White,/players/w/whiteja01.html,1.0,26.75224217868617,21.483046806821548,1.138457629862946,1.5504972571661224,63,39,37,10,26,30
200010310DAL,https://www.basketball-reference.com/boxscores/pbp/200010310DAL.html,Dallas Mavericks,Milwaukee Bucks,DAL,MIL,D. Nowitzki,E. Johnson,S. Nash,MIL,DAL,S. Cassell,/players/c/cassesa01.html,DAL,MIL,E. Johnson,/players/j/johnser02.html,D. Nowitzki,/players/n/nowitdi01.html,0.0,25.15637835643675,26.58885531224898,2.2390326691021745,0.8674637934528853,14,170,6,98,8,71
200010310NYK,https://www.basketball-reference.com/boxscores/pbp/200010310NYK.html,New York Knicks,Philadelphia 76ers,NYK,PHI,M. Camby,T. Ratliff,T. Ratliff,NYK,PHI,A. Houston,/players/h/houstal01.html,PHI,NYK,M. Camby,/players/c/cambyma01.html,T. Ratliff,/players/r/ratlith01.html,0.0,25.601587883209618,23.486844480394726,1.1461973563749615,0.85822236239508,67,173,36,74,31,100
200010310TOR,https://www.basketball-reference.com/boxscores/pbp/200010310TOR.html,Toronto Raptors,Detroit Pistons,TOR,DET,A. Davis,B. Wallace,J. Stackhouse,DET,TOR,C. Atkins,/players/a/atkinch01.html,DET,TOR,B. Wallace,/players/w/wallabe01.html,A. Davis,/players/d/davisan01.html,1.0,22.281708494365226,27.047750445011875,1.0953148639345385,0.9772218055608797,82,95,29,58,54,36
200010310CHI,https://www.basketball-reference.com/boxscores/pbp/200010310CHI.html,Chicago Bulls,Sacramento Kings,CHI,SAC,M. Ruffin,V. Divac,P. Stojaković,SAC,CHI,B. Jackson,/players/j/jacksbo01.html,SAC,CHI,V. Divac,/players/d/divacvl01.html,M. Ruffin,/players/r/ruffimi01.html,1.0,13.556671738732003,25.837731838281297,4.155000740907062,0.8896812816042408,7,136,0,70,7,65
200010310HOU,https://www.basketball-reference.com/boxscores/pbp/200010310HOU.html,Houston Rockets,Minnesota Timberwolves,HOU,MIN,H. Olajuwon,K. Garnett,T. Brandon,MIN,HOU,C. Billups,/players/b/billuch01.html,MIN,HOU,K. Garnett,/players/g/garneke01.html,H. Olajuwon,/players/o/olajuha01.html,1.0,26.989206023959042,24.70711745051653,0.9826445919313892,0.8823996950543195,93,152,51,63,42,88
200010310SAS,https://www.basketball-reference.com/boxscores/pbp/200010310SAS.html,San Antonio Spurs,Indiana Pacers,SAS,IND,D. Robinson,J. O'Neal,J. O'Neal,IND,SAS,T. Best,/players/b/besttr01.html,IND,SAS,J. O'Neal,/players/o/onealje01.html,D. Robinson,/players/r/robinda01.html,1.0,27.886396692605377,20.229568869061602,0.8419066884179713,6.5206902784334515,231,2,141,0,90,1
200010310UTA,https://www.basketball-reference.com/boxscores/pbp/200010310UTA.html,Utah Jazz,Los Angeles Clippers,UTA,LAC,O. Polynice,D. Miles,J. McInnis,LAC,UTA,J. McInnis,/players/m/mcinnje01.html,LAC,UTA,D. Miles,/players/m/milesda01.html,O. Polynice,/players/p/polynol01.html,1.0,26.994032336690925,25.0,0.8622090268626473,8.333333333333334,159,1,86,0,73,0
200010310GSW,https://www.basketball-reference.com/boxscores/pbp/200010310GSW.html,Golden State Warriors,Phoenix Suns,GSW,PHO,E. Dampier,C. Dudley,E. Dampier,GSW,PHO,A. Jamison,/players/j/jamisan01.html,GSW,PHO,E. Dampier,/players/d/dampier01.html,C. Dudley,/players/d/dudlech02.html,1.0,24.764689098685167,23.879658005395456,0.9045731655471053,1.2520598813012445,143,48,61,19,83,30
