Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tipoff Winner,Tipoff Winner Link,Tipoff Loser,Tipoff Loser Link,Tipoff Winner Scores
200401310NYK,https://www.basketball-reference.com/boxscores/pbp/200401310NYK.html,New York Knicks,Phoenix Suns,NYK,PHO,D. Mutombo,J. Voskuhl,C. Jacobsen,PHO,NYK,L. Barbosa,/players/b/barbole01.html,PHO,NYK,J. Voskuhl,/players/v/voskuja01.html,D. Mutombo,/players/m/mutomdi01.html,1
200401310IND,https://www.basketball-reference.com/boxscores/pbp/200401310IND.html,Indiana Pacers,Boston Celtics,IND,BOS,J. O'Neal,M. Blount,J. O'Neal,IND,BOS,J. Tinsley,/players/t/tinslja01.html,IND,BOS,J. O'Neal,/players/o/onealje01.html,M. Blount,/players/b/blounma01.html,1
200401310NOH,https://www.basketball-reference.com/boxscores/pbp/200401310NOH.html,New Orleans Hornets,Miami Heat,NOH,MIA,J. Magloire,U. Haslem,D. Wade,NOH,MIA,D. Armstrong,/players/a/armstda01.html,MIA,NOH,J. Magloire,/players/m/magloja01.html,U. Haslem,/players/h/hasleud01.html,0
200401310SAS,https://www.basketball-reference.com/boxscores/pbp/200401310SAS.html,San Antonio Spurs,Utah Jazz,SAS,UTA,T. Duncan,G. Ostertag,A. Kirilenko,UTA,SAS,C. Arroyo,/players/a/arroyca01.html,UTA,SAS,G. Ostertag,/players/o/ostergr01.html,T. Duncan,/players/d/duncati01.html,1
200401310POR,https://www.basketball-reference.com/boxscores/pbp/200401310POR.html,Portland Trail Blazers,Chicago Bulls,POR,CHI,R. Wallace,E. Curry,J. Crawford,CHI,POR,K. Hinrich,/players/h/hinriki01.html,CHI,POR,E. Curry,/players/c/curryed01.html,R. Wallace,/players/w/wallara01.html,1
200401310SEA,https://www.basketball-reference.com/boxscores/pbp/200401310SEA.html,Seattle SuperSonics,Sacramento Kings,SEA,SAC,C. Booth,V. Divac,R. Allen,SEA,SAC,V. Potapenko,/players/p/potapvi01.html,SEA,SAC,C. Booth,/players/b/boothca01.html,V. Divac,/players/d/divacvl01.html,1
200402010TOR,https://www.basketball-reference.com/boxscores/pbp/200402010TOR.html,Toronto Raptors,Los Angeles Lakers,TOR,LAL,C. Bosh,S. O'Neal,D. Marshall,LAL,TOR,D. George,/players/g/georgde01.html,TOR,LAL,S. O'Neal,/players/o/onealsh01.html,C. Bosh,/players/b/boshch01.html,0
200402010MIN,https://www.basketball-reference.com/boxscores/pbp/200402010MIN.html,Minnesota Timberwolves,Philadelphia 76ers,MIN,PHI,K. Garnett,S. Dalembert,K. Thomas,MIN,PHI,S. Cassell,/players/c/cassesa01.html,PHI,MIN,K. Garnett,/players/g/garneke01.html,S. Dalembert,/players/d/dalemsa01.html,0
200402020IND,https://www.basketball-reference.com/boxscores/pbp/200402020IND.html,Indiana Pacers,Los Angeles Lakers,IND,LAL,J. Foster,H. Grant,M. World Peace,LAL,IND,K. Rush,/players/r/rushka01.html,IND,LAL,H. Grant,/players/g/grantho01.html,J. Foster,/players/f/fosteje01.html,0
200402020ATL,https://www.basketball-reference.com/boxscores/pbp/200402020ATL.html,Atlanta Hawks,Los Angeles Clippers,ATL,LAC,T. Ratliff,C. Kaman,S. Abdur-Rahim,LAC,ATL,M. Jarić,/players/j/jaricma01.html,ATL,LAC,C. Kaman,/players/k/kamanch01.html,T. Ratliff,/players/r/ratlith01.html,0
200402020MIA,https://www.basketball-reference.com/boxscores/pbp/200402020MIA.html,Miami Heat,Detroit Pistons,MIA,DET,U. Haslem,B. Wallace,T. Prince,DET,MIA,C. Billups,/players/b/billuch01.html,DET,MIA,B. Wallace,/players/w/wallabe01.html,U. Haslem,/players/h/hasleud01.html,1
200402020MEM,https://www.basketball-reference.com/boxscores/pbp/200402020MEM.html,Memphis Grizzlies,Golden State Warriors,MEM,GSW,P. Gasol,E. Dampier,C. Cheaney,GSW,MEM,S. Claxton,/players/c/claxtsp01.html,GSW,MEM,E. Dampier,/players/d/dampier01.html,P. Gasol,/players/g/gasolpa01.html,1
200402020NOH,https://www.basketball-reference.com/boxscores/pbp/200402020NOH.html,New Orleans Hornets,New Jersey Nets,NOH,NJN,J. Magloire,J. Collins,K. Kittles,NJN,NOH,J. Kidd,/players/k/kiddja01.html,NJN,NOH,J. Collins,/players/c/collija04.html,J. Magloire,/players/m/magloja01.html,1
200402020DEN,https://www.basketball-reference.com/boxscores/pbp/200402020DEN.html,Denver Nuggets,Portland Trail Blazers,DEN,POR,M. Camby,R. Wallace,A. Miller,DEN,POR,N. Hilário,/players/h/hilarne01.html,DEN,POR,M. Camby,/players/c/cambyma01.html,R. Wallace,/players/w/wallara01.html,1
200402020PHO,https://www.basketball-reference.com/boxscores/pbp/200402020PHO.html,Phoenix Suns,Houston Rockets,PHO,HOU,J. Voskuhl,Y. Ming,S. Marion,HOU,PHO,M. Jackson,/players/j/jacksma01.html,PHO,HOU,Y. Ming,/players/m/mingya01.html,J. Voskuhl,/players/v/voskuja01.html,0
200402020UTA,https://www.basketball-reference.com/boxscores/pbp/200402020UTA.html,Utah Jazz,San Antonio Spurs,UTA,SAS,G. Ostertag,T. Duncan,T. Duncan,UTA,SAS,C. Arroyo,/players/a/arroyca01.html,SAS,UTA,G. Ostertag,/players/o/ostergr01.html,T. Duncan,/players/d/duncati01.html,0
200402020SEA,https://www.basketball-reference.com/boxscores/pbp/200402020SEA.html,Seattle SuperSonics,Chicago Bulls,SEA,CHI,V. Potapenko,E. Curry,R. Lewis,CHI,SEA,K. Hinrich,/players/h/hinriki01.html,SEA,CHI,E. Curry,/players/c/curryed01.html,V. Potapenko,/players/p/potapvi01.html,0
200402030PHI,https://www.basketball-reference.com/boxscores/pbp/200402030PHI.html,Philadelphia 76ers,Toronto Raptors,PHI,TOR,S. Dalembert,C. Bosh,A. Iverson,TOR,PHI,D. Marshall,/players/m/marshdo01.html,PHI,TOR,C. Bosh,/players/b/boshch01.html,S. Dalembert,/players/d/dalemsa01.html,0
200402030DET,https://www.basketball-reference.com/boxscores/pbp/200402030DET.html,Detroit Pistons,Cleveland Cavaliers,DET,CLE,B. Wallace,Z. Ilgauskas,T. Prince,CLE,DET,J. McInnis,/players/m/mcinnje01.html,DET,CLE,Z. Ilgauskas,/players/i/ilgauzy01.html,B. Wallace,/players/w/wallabe01.html,0
200402030NYK,https://www.basketball-reference.com/boxscores/pbp/200402030NYK.html,New York Knicks,Indiana Pacers,NYK,IND,D. Mutombo,J. O'Neal,M. World Peace,NYK,IND,K. Thomas,/players/t/thomaku01.html,IND,NYK,D. Mutombo,/players/m/mutomdi01.html,J. O'Neal,/players/o/onealje01.html,0
200402030MIN,https://www.basketball-reference.com/boxscores/pbp/200402030MIN.html,Minnesota Timberwolves,Orlando Magic,MIN,ORL,K. Garnett,A. DeClercq,J. Howard,MIN,ORL,E. Johnson,/players/j/johnser02.html,ORL,MIN,K. Garnett,/players/g/garneke01.html,A. DeClercq,/players/d/declean01.html,0
200402030DAL,https://www.basketball-reference.com/boxscores/pbp/200402030DAL.html,Dallas Mavericks,Golden State Warriors,DAL,GSW,D. Fortson,E. Dampier,S. Claxton,GSW,DAL,S. Claxton,/players/c/claxtsp01.html,GSW,DAL,E. Dampier,/players/d/dampier01.html,D. Fortson,/players/f/fortsda01.html,1
200402030SAC,https://www.basketball-reference.com/boxscores/pbp/200402030SAC.html,Sacramento Kings,Seattle SuperSonics,SAC,SEA,V. Divac,V. Potapenko,M. Bibby,SAC,SEA,M. Bibby,/players/b/bibbymi01.html,SAC,SEA,V. Divac,/players/d/divacvl01.html,V. Potapenko,/players/p/potapvi01.html,1
200402040BOS,https://www.basketball-reference.com/boxscores/pbp/200402040BOS.html,Boston Celtics,Los Angeles Clippers,BOS,LAC,M. Blount,C. Kaman,E. House,BOS,LAC,M. James,/players/j/jamesmi01.html,LAC,BOS,M. Blount,/players/b/blounma01.html,C. Kaman,/players/k/kamanch01.html,0
200402040TOR,https://www.basketball-reference.com/boxscores/pbp/200402040TOR.html,Toronto Raptors,Orlando Magic,TOR,ORL,D. Marshall,A. DeClercq,A. Williams,TOR,ORL,R. Archibald,/players/a/archiro01.html,TOR,ORL,D. Marshall,/players/m/marshdo01.html,A. DeClercq,/players/d/declean01.html,1
200402040WAS,https://www.basketball-reference.com/boxscores/pbp/200402040WAS.html,Washington Wizards,Memphis Grizzlies,WAS,MEM,B. Haywood,P. Gasol,K. Brown,MEM,WAS,J. Posey,/players/p/poseyja01.html,WAS,MEM,P. Gasol,/players/g/gasolpa01.html,B. Haywood,/players/h/haywobr01.html,0
200402040ATL,https://www.basketball-reference.com/boxscores/pbp/200402040ATL.html,Atlanta Hawks,Minnesota Timberwolves,ATL,MIN,T. Ratliff,K. Garnett,L. Sprewell,MIN,ATL,E. Johnson,/players/j/johnser02.html,MIN,ATL,K. Garnett,/players/g/garneke01.html,T. Ratliff,/players/r/ratlith01.html,1
