Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses,Home Glicko Mu,Away Glicko Mu,Home Glicko Sigma,Away Glicko Sigma,Home Glicko Phi,Away Glicko Phi,Home Elo,Away Elo
201210300MIA,https://www.basketball-reference.com/boxscores/pbp/201210300MIA.html,Miami Heat,Boston Celtics,MIA,BOS,C. Bosh,K. Garnett,S. Battier,BOS,MIA,C. Lee,/players/l/leeco01.html,MIA,BOS,K. Garnett,/players/g/garneke01.html,C. Bosh,/players/b/boshch01.html,0.0,25.553684254321972,24.598976464651376,0.822897034082025,0.8220832916316054,506,789,283,401,223,387,2109.4255907020183,1932.4176075354355,0.6990064428773625,0.7624443764896454,233.57963271471783,249.88275319378968,1316.0230133758275,1248.8119179123296
201210300LAL,https://www.basketball-reference.com/boxscores/pbp/201210300LAL.html,Los Angeles Lakers,Dallas Mavericks,LAL,DAL,D. Howard,B. Wright,S. Nash,DAL,LAL,D. Collison,/players/c/collida01.html,LAL,DAL,B. Wright,/players/w/wrighbr03.html,D. Howard,/players/h/howardw01.html,0.0,27.272612536954142,21.79796320439316,0.84399631626583,2.4907006549582986,612,13,394,5,221,8,2143.534067471665,1522.2344331044535,0.6875500474155747,0.6043827211547272,287.7109216992915,226.87834525750583,1390.7862113279552,1191.8903696145633
201210310PHI,https://www.basketball-reference.com/boxscores/pbp/201210310PHI.html,Philadelphia 76ers,Denver Nuggets,PHI,DEN,L. Allen,K. Koufos,A. Iguodala,DEN,PHI,T. Lawson,/players/l/lawsoty01.html,DEN,PHI,K. Koufos,/players/k/koufoko01.html,L. Allen,/players/a/allenla01.html,1.0,14.572851800347914,24.32312585212995,2.960307946061841,1.4866495616607969,13,34,1,17,12,16,935.7407756912976,1670.7024990267382,0.5981039072138855,0.6084020354807259,262.9710575047123,218.2513799639765,1158.8792354445916,1225.404590894144
201210310TOR,https://www.basketball-reference.com/boxscores/pbp/201210310TOR.html,Toronto Raptors,Indiana Pacers,TOR,IND,J. Valančiūnas,R. Hibbert,P. George,IND,TOR,G. Hill,/players/h/hillge01.html,IND,TOR,R. Hibbert,/players/h/hibbero01.html,J. Valančiūnas,/players/v/valanjo01.html,1.0,25.0,23.22790661863885,8.333333333333334,0.8440912261681962,1,223,0,105,1,117,1500.0,1608.7047948430954,0.6,0.6394784673306336,500.0,237.9790313295303,1200.0,1228.3250267115345
201210310DET,https://www.basketball-reference.com/boxscores/pbp/201210310DET.html,Detroit Pistons,Houston Rockets,DET,HOU,G. Monroe,Ö. Aşık,J. Harden,DET,HOU,G. Monroe,/players/m/monrogr01.html,HOU,DET,G. Monroe,/players/m/monrogr01.html,Ö. Aşık,/players/a/asikom01.html,0.0,18.58176833981775,18.212860763551276,1.2377711491361025,3.6569836441097094,60,5,15,1,45,5,861.7565731221495,1138.3199162405094,0.6115084136012242,0.598770429149006,269.26668889230217,235.5005056833052,1116.470757575248,1184.5641453145965
201210310CHI,https://www.basketball-reference.com/boxscores/pbp/201210310CHI.html,Chicago Bulls,Sacramento Kings,CHI,SAC,J. Noah,J. Thompson,D. Cousins,CHI,SAC,K. Hinrich,/players/h/hinriki01.html,SAC,CHI,J. Noah,/players/n/noahjo01.html,J. Thompson,/players/t/thompja02.html,0.0,25.468414161032694,21.55538564756487,0.8393666306532697,1.122781285978513,265,66,157,24,108,43,1808.0746444566205,1412.126334582611,0.6587797129033578,0.6054957252363874,248.7269582384257,212.0158990472136,1311.2173232955067,1169.3697673792406
201210310NOH,https://www.basketball-reference.com/boxscores/pbp/201210310NOH.html,New Orleans Hornets,San Antonio Spurs,NOH,SAS,R. Lopez,T. Duncan,T. Duncan,SAS,NOH,T. Parker,/players/p/parketo01.html,SAS,NOH,T. Duncan,/players/d/duncati01.html,R. Lopez,/players/l/lopezro01.html,1.0,24.14202306597226,26.23456601578213,0.9537758412898479,0.8309814709802595,97,604,48,343,49,261,1506.365825206508,2007.0680309729607,0.6135775112587384,0.7538328051918055,210.86646413996704,243.7492499319801,1234.362543242449,1357.6536018362226
201210310UTA,https://www.basketball-reference.com/boxscores/pbp/201210310UTA.html,Utah Jazz,Dallas Mavericks,UTA,DAL,A. Jefferson,B. Wright,D. Collison,DAL,UTA,O. Mayo,/players/m/mayooj01.html,DAL,UTA,B. Wright,/players/w/wrighbr03.html,A. Jefferson,/players/j/jeffeal01.html,1.0,22.127088432690037,23.06722166105888,0.8368202715349655,2.3558459970865715,316,14,128,6,189,8,1223.6372201948413,1754.2143024673694,0.6580367398993535,0.6063012638510807,286.20832704574894,241.78844683838585,1165.0015273726935,1199.4762179461054
201210310PHO,https://www.basketball-reference.com/boxscores/pbp/201210310PHO.html,Phoenix Suns,Golden State Warriors,PHO,GSW,M. Gortat,A. Bogut,A. Bogut,GSW,PHO,S. Curry,/players/c/curryst01.html,GSW,PHO,A. Bogut,/players/b/bogutan01.html,M. Gortat,/players/g/gortama01.html,1.0,23.684538823540727,24.17267587808556,1.0050859271023107,0.8221037613178381,84,328,38,157,46,170,1735.0320176817245,1775.7844452384784,0.6146616401058035,0.6385200227708623,226.55555284528515,216.7776897216151,1219.9126257289731,1239.0199609848025
201210310LAC,https://www.basketball-reference.com/boxscores/pbp/201210310LAC.html,Los Angeles Clippers,Memphis Grizzlies,LAC,MEM,D. Jordan,M. Gasol,R. Gay,LAC,MEM,C. Paul,/players/p/paulch01.html,MEM,LAC,D. Jordan,/players/j/jordade01.html,M. Gasol,/players/g/gasolma01.html,0.0,26.44905028228345,26.488665759811017,0.8660223174457875,0.8435394187219839,165,299,103,181,62,119,1793.3772068656347,1717.7042972130296,0.6247511174098015,0.6708454424269049,225.91524889222225,237.2100147624091,1344.0398053822735,1368.4318238102198
