Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses,Home Glicko Mu,Away Glicko Mu,Home Glicko Sigma,Away Glicko Sigma,Home Glicko Phi,Away Glicko Phi,Home Elo,Away Elo
201710170GSW,https://www.basketball-reference.com/boxscores/pbp/201710170GSW.html,Golden State Warriors,Houston Rockets,GSW,HOU,Z. Pachulia,C. Capela,J. Harden,HOU,GSW,R. Anderson,/players/a/anderry01.html,HOU,GSW,C. Capela,/players/c/capelca01.html,Z. Pachulia,/players/p/pachuza01.html,1.0,22.047331109073273,22.83241626056417,0.8294570366493729,1.0054175129385878,276,81,111,36,166,44,1384.7211855883459,1583.326709537614,0.6530320181209216,0.6139731852789949,253.9410586225922,230.44635992798558,1183.22732533847,1205.0398638842114
201710180DET,https://www.basketball-reference.com/boxscores/pbp/201710180DET.html,Detroit Pistons,Charlotte Hornets,DET,CHO,A. Drummond,D. Howard,A. Bradley,CHO,DET,D. Bacon,/players/b/bacondw01.html,DET,CHO,D. Howard,/players/h/howardw01.html,A. Drummond,/players/d/drumman01.html,0.0,27.71078123878957,26.46681426709302,0.8660068486800878,0.8311820044802107,338,981,246,636,92,347,1541.8909233036213,1760.4823634873248,0.6502847681639125,0.8277143022018045,238.3258927015573,261.8085101806381,1431.392032068435,1368.2264443291738
201710180IND,https://www.basketball-reference.com/boxscores/pbp/201710180IND.html,Indiana Pacers,Brooklyn Nets,IND,BRK,M. Turner,T. Mozgov,D. Collison,IND,BRK,B. Bogdanović,/players/b/bogdabo02.html,IND,BRK,M. Turner,/players/t/turnemy01.html,T. Mozgov,/players/m/mozgoti01.html,1.0,20.931458827903054,22.110921876822534,0.9917802464828779,0.8220118333505451,89,279,33,122,57,158,1508.4791681564834,1538.4023949590805,0.6204980079849197,0.6913283060266171,216.5313458556627,251.6267480145689,1158.6382314831062,1169.1411774603876
201710180ORL,https://www.basketball-reference.com/boxscores/pbp/201710180ORL.html,Orlando Magic,Miami Heat,ORL,MIA,N. Vučević,H. Whiteside,G. Dragić,MIA,ORL,D. Waiters,/players/w/waitedi01.html,MIA,ORL,H. Whiteside,/players/w/whiteha01.html,N. Vučević,/players/v/vucevni01.html,1.0,22.419340170126095,23.93237367790447,0.8284261570213505,0.8550267142301307,319,161,132,83,187,77,1271.5094487098254,1682.3849380641793,0.6705515021368517,0.626046448402351,220.14461538443538,221.3411043907964,1196.3691230350835,1259.2703667400583
201710180WAS,https://www.basketball-reference.com/boxscores/pbp/201710180WAS.html,Washington Wizards,Philadelphia 76ers,WAS,PHI,M. Gortat,J. Embiid,O. Porter,WAS,PHI,J. Smith,/players/s/smithja02.html,WAS,PHI,M. Gortat,/players/g/gortama01.html,J. Embiid,/players/e/embiijo01.html,1.0,25.449559476162246,25.56327203201425,0.8270659150366138,1.5022475084470424,487,31,276,19,211,13,1503.1660770911346,1795.5802359801621,0.6906304691120234,0.608517705114343,287.63411577165533,228.228003745975,1332.1071876166795,1243.6369612101844
201710180BOS,https://www.basketball-reference.com/boxscores/pbp/201710180BOS.html,Boston Celtics,Milwaukee Bucks,BOS,MIL,A. Horford,T. Maker,K. Middleton,BOS,MIL,M. Smart,/players/s/smartma01.html,MIL,BOS,A. Horford,/players/h/horfoal01.html,T. Maker,/players/m/makerth01.html,0.0,23.068339191042572,20.457280512733433,0.8210228794855892,1.3803543617917682,241,39,113,14,130,26,1452.3324706964725,1653.2773767263943,0.6501015653356919,0.6051634456904595,247.88468030007166,211.19921790484483,1217.5509905128206,1170.5572432257386
201710180MEM,https://www.basketball-reference.com/boxscores/pbp/201710180MEM.html,Memphis Grizzlies,New Orleans Pelicans,MEM,NOP,M. Gasol,A. Davis,J. Ennis,MEM,NOP,J. Green,/players/g/greenja01.html,MEM,NOP,M. Gasol,/players/g/gasolma01.html,A. Davis,/players/d/davisan02.html,1.0,24.97954759625152,25.016892749198828,0.8223751711222758,0.8187669344160555,679,276,417,142,263,135,1303.610341238611,1797.1673103367013,0.7598986510725784,0.6384544956164403,236.0197395603989,216.57589398606288,1291.8498201257266,1313.1933526348378
201710180DAL,https://www.basketball-reference.com/boxscores/pbp/201710180DAL.html,Dallas Mavericks,Atlanta Hawks,DAL,ATL,H. Barnes,D. Dedmon,D. Schröder,ATL,DAL,D. Schröder,/players/s/schrode01.html,ATL,DAL,D. Dedmon,/players/d/dedmode01.html,H. Barnes,/players/b/barneha02.html,1.0,18.723935036148713,25.378100685240717,6.260831115314724,1.0141567772065279,2,82,0,50,2,31,1357.429378319258,1487.4218972255114,0.5997586828895053,0.6246590406025256,358.42074177578763,231.03549795909987,1195.0862890120627,1288.8097103136838
201710180UTA,https://www.basketball-reference.com/boxscores/pbp/201710180UTA.html,Utah Jazz,Denver Nuggets,UTA,DEN,R. Gobert,P. Millsap,D. Favors,UTA,DEN,D. Favors,/players/f/favorde01.html,UTA,DEN,R. Gobert,/players/g/goberru01.html,P. Millsap,/players/m/millspa01.html,1.0,24.57430334043789,21.88634124886059,0.8393467062292252,1.1743021212185891,186,51,99,21,87,31,1924.4003521740512,1591.7302814011666,0.6479838094098336,0.6149512577974813,216.03654731537117,246.1946976715433,1287.7261601835949,1179.1213874781326
201710180SAS,https://www.basketball-reference.com/boxscores/pbp/201710180SAS.html,San Antonio Spurs,Minnesota Timberwolves,SAS,MIN,P. Gasol,K. Towns,D. Murray,MIN,SAS,J. Teague,/players/t/teaguje01.html,SAS,MIN,K. Towns,/players/t/townska01.html,P. Gasol,/players/g/gasolpa01.html,0.0,24.895140159530012,22.54762715264632,0.8246022819300168,0.8638555367134788,852,164,459,72,395,92,1725.7439793189471,1488.4246677898645,0.8336957715077135,0.6232974348052123,268.00510184687266,229.98022609188442,1298.4734055111428,1206.6000695675687
