Game Code,Home Short,Away Short,Home Tipper,Away Tipper,Tip Winning Team,Tip Losing Team,First Scoring Team,Scored Upon Team,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,fanduelHomeOdds,draftkingsHomeOdds,mgmHomeOdds,bestHomeOdds,fanduelAwayOdds,draftkingsAwayOdds,mgmAwayOdds,bestAwayOdds
202104200ATL,ATL,ORL,Clint Capela,Wendell Carter Jr.,ATL,ORL,ORL,ATL,False,22.760163474293243,22.78417634615128,0.828007142843669,0.9120447111601108,-186.0,-167,-145,-145,+144.0,+130,+105,+144
202104200NOP,NOP,BRK,Steven Adams,Steven Adams,NOP,BRK,NOP,BRK,True,26.89864027994046,25.0,0.8517287218186093,8.333333333333334,-130.0,-122,-120,-120,+102.0,-104,-115,+102
202104200NYK,NYK,CHO,Nerlens Noel,Nerlens Noel,NYK,CHO,NYK,CHO,True,22.574093101074155,25.02929535266719,0.8419653954601649,5.108495389749709,-113.0,-124,-135,-113,-113.0,-103,-105,-103
202104200POR,POR,LAC,Enes Kanter,Ivica Zubac,LAC,POR,POR,LAC,False,20.27379602134328,22.14756548203828,0.9646001675066058,0.8690798402812575,+104.0,+118,-105,+118,-132.0,-150,-135,-132
202104200SAC,SAC,MIN,Hassan Whiteside,Karl-Anthony Towns,MIN,SAC,SAC,MIN,False,24.68568074977313,25.00712283123569,0.8265931087190168,0.8320451000080198,-111.0,-109,-125,-109,-115.0,-117,-110,-110
202104210CLE,CLE,CHI,Jarrett Allen,Nikola Vucevic,CLE,CHI,CLE,CHI,True,25.90904422756665,18.64183461498556,0.8665446133773164,0.8551914781394456,-111.0,,-115,-111,-115.0,,-120,-115
202104210IND,IND,OKC,Oshae Brissett,Moses Brown,OKC,IND,OKC,IND,True,25.0,22.732815548187776,8.333333333333334,2.0640238805747706,-132.0,,-135,-132,+104.0,,-105,+104
202104210PHI,PHI,PHO,Joel Embiid,Joel Embiid,PHO,PHI,PHI,PHO,False,25.353880184704938,22.624743576566143,0.8398616424658486,0.8733692404490319,-140.0,,-115,-115,+110.00000000000001,,-115,+110
202104210TOR,TOR,BRK,Khem Birch,Khem Birch,BRK,TOR,TOR,BRK,False,18.65130704830956,21.85840193932727,2.0855003163229484,0.8600973339154473,-118.0,,-125,-118,-108.0,,-110,-108
202104210WAS,WAS,GSW,Alex Len,Kevon Looney,GSW,WAS,GSW,WAS,True,21.20844944835008,22.32503106520241,0.8521698166964232,1.665807796044581,-111.0,,-115,-111,-115.0,,-120,-115
202104210HOU,HOU,UTA,Christian Wood,Rudy Gobert,UTA,HOU,UTA,HOU,True,24.06462996044809,24.640092720001245,1.4741705296926155,0.8320686252778923,+144.0,,+105,+144,-186.0,,-145,-145
202104210NYK,NYK,ATL,Nerlens Noel,Clint Capela,ATL,NYK,ATL,NYK,True,22.662759131057737,22.84779171434483,0.8428376016085782,0.8275856399803814,+102.0,,-115,+102,-130.0,,-120,-120
202104210DAL,DAL,DET,Dwight Powell,Mason Plumlee,DET,DAL,DAL,DET,False,17.758418519049567,22.817226682849288,1.22250463095988,0.8291201116843362,-136.0,,-140,-136,+106.0,,+100,+106
202104210SAS,SAS,MIA,Jakob Poeltl,Bam Adebayo,MIA,SAS,SAS,MIA,False,22.945774817935657,24.005372212752707,0.9916934158107128,0.8466501046552417,-113.0,,-115,-113,-113.0,,-115,-113
202104210LAC,LAC,MEM,Ivica Zubac,Xavier Tillman,MEM,LAC,MEM,LAC,True,22.22209123040432,17.4819297495586,0.8683550625896043,3.753795481800106,-113.0,,-120,-113,-113.0,,-115,-113
202104210POR,POR,DEN,Jusuf Nurkic,Nikola Jokic,POR,DEN,DEN,POR,False,26.176975074206627,23.54914782031638,0.8454985770188984,0.8208848883503835,-140.0,,-115,-115,+110.00000000000001,,-120,+110
202104210SAC,SAC,MIN,Hassan Whiteside,Karl-Anthony Towns,SAC,MIN,MIN,SAC,False,24.601969667523456,25.09193068063928,0.8262730579051663,0.831608641730746,-120.0,,-125,-120,-106.0,,-110,-106
202104220BOS,BOS,PHO,Tristan Thompson,Tristan Thompson,PHO,BOS,BOS,PHO,False,20.23428824860358,22.55839630678876,0.8383183525954253,0.8728276397642625,+112.00000000000001,-106,-115,+112,-142.0,-121,-120,-120
202104220MIL,MIL,PHI,Brook Lopez,Joel Embiid,MIL,PHI,MIL,PHI,True,26.22212208000896,25.415279217974792,0.8482489493163277,0.839973132399075,-156.0,-129,-135,-129,+122.0,+101,-105,+122
202104220ORL,ORL,NOP,Mo Bamba,Steven Adams,NOP,ORL,ORL,NOP,False,18.43718176686492,26.94681507147964,6.218762614707759,0.8540778263120916,+134.0,+116,-105,+134,-172.0,-148,-135,-135
202104220SAS,SAS,DET,Jakob Poeltl,Isaiah Stewart,SAS,DET,DET,SAS,False,22.837255631063865,20.50000144953271,0.9878208730947984,3.619070603027081,-125.0,-125,-135,-125,-102.0,-103,-105,-102
202104220CHI,CHI,CHO,Nikola Vucevic,Nikola Vucevic,CHI,CHO,CHI,CHO,True,18.61432800790933,21.79606465367629,0.8566492347071314,4.338610721482619,-113.0,-113,-120,-113,-113.0,-113,-115,-113
202104220DAL,DAL,LAL,Kristaps Porzingis,Andre Drummond,LAL,DAL,DAL,LAL,False,0.0,0.0,0.0,0.0,+108.0,-113,-125,+108,-138.0,-113,-110,-110
202104230ATL,ATL,MIA,Onyeka Okongwu,Bam Adebayo,ATL,MIA,ATL,MIA,True,18.841813578459004,24.08467544019307,6.277999651051119,0.8461433129414159,+108.0,+107,-110,+108,-138.0,-136,-125,-125
202104230BRK,BRK,BOS,Tristan Thompson,Tristan Thompson,BOS,BRK,BRK,BOS,False,24.52401646060064,20.169221812005432,0.8305523668711845,0.8383329299834115,-118.0,-121,-125,-118,-108.0,-106,-110,-106
202104230CHO,CHO,CLE,Jarrett Allen,Jarrett Allen,CLE,CHO,CLE,CHO,True,14.052626429294172,25.937279097848155,4.561872275062649,0.8678457885046472,+106.0,+110,-120,+110,-136.0,-139,-115,-115
202104230HOU,HOU,LAC,Christian Wood,Ivica Zubac,HOU,LAC,HOU,LAC,True,0.0,0.0,0.0,0.0,-111.0,+116,+100,+116,-115.0,-134.4582593250444,-140,-115
202104230OKC,OKC,WAS,Moses Brown,Alex Len,OKC,WAS,OKC,WAS,True,23.11108537345192,21.13021010801522,2.038791174039126,0.8517576456906754,-111.0,+110,-105,+110,-115.0,-136.45643610487525,-135,-115
202104230GSW,GSW,DEN,Kevon Looney,Nikola Jokic,GSW,DEN,GSW,DEN,True,22.62190688264732,23.489507747371498,1.6345527907200097,0.8213183213819938,-115.0,-103,-115,-103,-111.0,-125,-120,-111
202104230POR,POR,MEM,Jusuf Nurkic,Xavier Tillman,POR,MEM,MEM,POR,False,26.24020827390401,19.89863666186296,0.8454620098186196,3.359410013614572,-136.0,-113,-120,-113,+106.0,-113,-115,+106
202104240NYK,NYK,TOR,Nerlens Noel,Khem Birch,NYK,TOR,NYK,TOR,True,0.0,0.0,0.0,0.0,,,,,,,,
202104240MIL,MIL,PHI,Brook Lopez,Tobias Harris,MIL,PHI,PHI,MIL,False,26.30473146172348,18.51081772196288,0.8476044027054237,6.254908786064672,-142.0,,-140,-140,+112.00000000000001,,+100,+112
202104240IND,IND,DET,JaKarr Sampson,Mason Plumlee,DET,IND,DET,IND,True,18.06489204610864,22.85756421544921,4.644701380271865,0.830224896274408,-122.0,-120,-125,-120,-104.0,-107,-110,-104
202104240MIA,MIA,CHI,Bam Adebayo,Nikola Vucevic,MIA,CHI,MIA,CHI,True,23.98614237100045,18.71947403058948,0.8473160197338616,0.8567416824047682,-146.0,-132,-125,-125,+113.99999999999999,+104,-110,+114
202104240NOP,NOP,SAS,Steven Adams,Jakob Poeltl,SAS,NOP,NOP,SAS,False,26.971933889694217,22.919211799415447,0.8565871504707988,0.9861218124591844,-136.0,-129,-120,-120,+106.0,+102,-115,+106
202104240DAL,DAL,LAL,Dwight Powell,Andre Drummond,LAL,DAL,LAL,DAL,True,0.0,0.0,0.0,0.0,+113.99999999999999,-103,-115,+114,-146.0,-124,-115,-115
202104240UTA,UTA,MIN,Rudy Gobert,Karl-Anthony Towns,UTA,MIN,UTA,MIN,True,24.720758251527705,25.174813846773084,0.8318598098949848,0.83122568174719,-156.0,-152,-145,-145,+122.0,+120,+105,+122
202104240DEN,DEN,HOU,Nikola Jokic,D.J. Wilson,DEN,HOU,DEN,HOU,True,23.396236482107007,20.069748338358856,0.8210523729734184,6.488566297360086,-146.0,-143,-145,-143,+113.99999999999999,+112,+105,+114
202104250CHO,CHO,BOS,Tristan Thompson,Tristan Thompson,BOS,CHO,BOS,CHO,True,13.699940027611618,20.31336986307133,4.386361734428222,0.8367435417751952,+112.00000000000001,-108,-105,+112,-142.0,-118,-135,-118
202104250BRK,BRK,PHO,Deandre Ayton,DeAndre Jordan,BRK,PHO,BRK,PHO,True,24.382505609161537,22.62887641295192,0.8291581186949286,0.8721542906748004,-142.0,-121,-115,-115,+112.00000000000001,-106,-115,+112
202104250POR,POR,MEM,Jusuf Nurkic,Jonas Valanciunas,MEM,POR,MEM,POR,True,26.273639151557603,23.138234507340293,0.847113988155764,0.8287566047760568,-136.0,-118,-125,-118,+106.0,-108,-110,+106
202104250WAS,WAS,CLE,Alex Len,Jarrett Allen,CLE,WAS,CLE,WAS,True,21.06161346161157,25.950156514240007,0.851724853907699,0.8706306734216315,-108.0,-129,-135,-108,-120.0,+101,-105,+101
202104250ATL,ATL,MIL,Clint Capela,Brook Lopez,MIL,ATL,MIL,ATL,True,22.9331675631481,26.332098663555893,0.8272118013954932,0.8500902562572512,+122.0,+116,-105,+122,-156.0,-148,-135,-135
202104250ORL,ORL,IND,Wendell Carter Jr.,JaKarr Sampson,ORL,IND,IND,ORL,False,22.678045422458045,16.813608448944677,0.9097030618184708,4.228967784645565,-102.0,-106,-110,-102,-125.0,-121,-125,-121
202104250GSW,GSW,SAC,Kevon Looney,Richaun Holmes,GSW,SAC,SAC,GSW,False,22.98851495214164,22.838514513831143,1.601459509500842,0.9451095002067968,-140.0,-134,-135,-134,+110.00000000000001,+105,-105,+110
202104260DET,DET,ATL,Mason Plumlee,Clint Capela,DET,ATL,DET,ATL,True,22.8979329853971,22.879569094144244,0.8320882703386173,0.8277647782980507,-115.0,-103,-115,-103,-111.0,-125,-120,-111
202104260ORL,ORL,LAL,Wendell Carter Jr.,Andre Drummond,ORL,LAL,ORL,LAL,True,0.0,0.0,0.0,0.0,-113.0,+110,-105,+110,-113.0,-139,-135,-113
202104260PHI,PHI,OKC,Joel Embiid,Moses Brown,OKC,PHI,PHI,OKC,False,25.33425857214452,23.50103088798764,0.8395046079397155,1.9842883179345123,-158.0,-139,-140,-139,+124.0,+110,+100,+124
202104260WAS,WAS,SAS,Alex Len,Jakob Poeltl,WAS,SAS,WAS,SAS,True,21.01769155742973,23.111458416377094,0.8523592840905285,0.9805134007735854,-128.0,-113,-115,-113,+100.0,-113,-120,-100
202104260NYK,NYK,PHO,Nerlens Noel,Nerlens Noel,NYK,PHO,NYK,PHO,True,22.57423930015039,22.552349995643304,0.8421337875712853,0.8712989294308479,-122.0,-113,-115,-113,-104.0,-113,-120,-104
202104260TOR,TOR,CLE,Khem Birch,Jarrett Allen,CLE,TOR,CLE,TOR,True,18.31048254149519,25.9960312428083,2.032442764689537,0.8709454171050531,-104.0,-118,-135,-104,-122.0,-108,-105,-105
202104260MIA,MIA,CHI,Bam Adebayo,Nikola Vucevic,MIA,CHI,CHI,MIA,False,24.026678628024,18.67803958319285,0.8481573402041257,0.8574295918027953,-154.0,-139,-135,-135,+120.0,+110,-105,+120
202104260MIN,MIN,UTA,Karl-Anthony Towns,Rudy Gobert,UTA,MIN,UTA,MIN,True,25.08150720225293,24.81420589733116,0.8306118361450827,0.831231942383839,+113.99999999999999,+105,+100,+114,-146.0,-134,-140,-134
202104260NOP,NOP,LAC,Willy Hernangomez,Ivica Zubac,LAC,NOP,LAC,NOP,True,17.18085579817164,22.09164099636425,2.688608081920376,0.8676352055022913,-138.0,-108,-115,-108,+108.0,-118,-120,+108
202104260DEN,DEN,MEM,Nikola Jokic,Jonas Valanciunas,MEM,DEN,MEM,DEN,True,23.43996272021901,23.263289326191973,0.8233713560895032,0.8276245902713737,-120.0,-122,-125,-120,-106.0,-105,-110,-105
202104260SAC,SAC,DAL,Richaun Holmes,Dwight Powell,SAC,DAL,SAC,DAL,True,22.729656948461898,17.671197009943317,0.942324793204583,1.2155510913198464,+113.99999999999999,-105,-110,+114,-146.0,-122,-125,-122
